
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: Frames and bytes       |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      4 |   789 |
|  0.5 <>  1.0 |      7 |  1708 |
|  1.0 <>  1.5 |      4 |   556 |
|  1.5 <>  2.0 |      5 |   549 |
|  2.0 <>  2.5 |      1 |    68 |
|  2.5 <>  3.0 |      0 |     0 |
|  3.0 <>  3.5 |      0 |     0 |
|  3.5 <>  4.0 |      0 |     0 |
|  4.0 <>  4.5 |      0 |     0 |
|  4.5 <>  5.0 |      0 |     0 |
|  5.0 <>  5.5 |      0 |     0 |
|  5.5 <>  6.0 |      0 |     0 |
|  6.0 <>  6.5 |      0 |     0 |
|  6.5 <>  7.0 |      0 |     0 |
|  7.0 <>  7.5 |      0 |     0 |
|  7.5 <>  8.0 |      0 |     0 |
|  8.0 <>  8.5 |      0 |     0 |
|  8.5 <>  9.0 |      1 |   319 |
|  9.0 <>  9.5 |      0 |     0 |
|  9.5 <> 10.0 |      1 |   319 |
| 10.0 <> 10.5 |      1 |    89 |
| 10.5 <> 11.0 |      1 |   319 |
| 11.0 <> 11.5 |      5 |   509 |
| 11.5 <> 12.0 |     44 | 24929 |
| 12.0 <> 12.5 |     66 | 35132 |
| 12.5 <> 13.0 |     67 | 33530 |
| 13.0 <> 13.5 |     66 | 34257 |
| 13.5 <> 14.0 |     50 | 31425 |
| 14.0 <> 14.5 |     50 | 31593 |
| 14.5 <> 15.0 |     55 | 21615 |
| 15.0 <> 15.5 |     37 | 23352 |
| 15.5 <> 16.0 |     67 | 25760 |
| 16.0 <> 16.5 |     90 | 41185 |
| 16.5 <> 17.0 |     68 | 35360 |
| 17.0 <> 17.5 |     63 | 33484 |
| 17.5 <> 18.0 |     48 | 31528 |
| 18.0 <> 18.5 |     64 | 33692 |
| 18.5 <> 19.0 |     81 | 28621 |
| 19.0 <> 19.5 |     68 | 26956 |
| 19.5 <> 20.0 |     73 | 28827 |
| 20.0 <> 20.5 |     42 | 29558 |
| 20.5 <> 21.0 |     41 | 31516 |
| 21.0 <> 21.5 |     54 | 15199 |
| 21.5 <> 22.0 |     74 | 20680 |
| 22.0 <> 22.5 |     87 | 38776 |
| 22.5 <> 23.0 |     52 | 33924 |
| 23.0 <> 23.5 |    104 | 37942 |
| 23.5 <> 24.0 |     58 | 33261 |
| 24.0 <> 24.5 |     47 | 30977 |
| 24.5 <> 25.0 |     53 | 31943 |
| 25.0 <> 25.5 |     31 | 29468 |
| 25.5 <> 26.0 |     57 | 33298 |
| 26.0 <> 26.5 |    125 | 37675 |
| 26.5 <> 27.0 |     67 | 36268 |
| 27.0 <> 27.5 |     41 | 30710 |
| 27.5 <> 28.0 |     52 | 32784 |
| 28.0 <> 28.5 |     51 | 32962 |
| 28.5 <> 29.0 |     48 | 27714 |
| 29.0 <> 29.5 |     52 | 31049 |
| 29.5 <> 30.0 |     52 | 21337 |
| 30.0 <> 30.5 |     44 | 14144 |
| 30.5 <> 31.0 |     78 | 32594 |
| 31.0 <> 31.5 |     49 | 31321 |
| 31.5 <> 32.0 |     51 | 31558 |
| 32.0 <> 32.5 |     58 | 33030 |
| 32.5 <> 33.0 |     54 | 31837 |
| 33.0 <> 33.5 |     62 | 14645 |
| 33.5 <> 34.0 |     74 | 35793 |
| 34.0 <> 34.5 |     55 | 30646 |
| 34.5 <> 35.0 |     25 |  7838 |
| 35.0 <> 35.5 |     16 |  3825 |
| 35.5 <> 36.0 |     40 | 10065 |
| 36.0 <> 36.5 |     20 |  6806 |
| 36.5 <> 37.0 |     26 |  3181 |
| 37.0 <> 37.5 |     13 |  1159 |
| 37.5 <> 38.0 |     11 |  2022 |
| 38.0 <> 38.5 |     22 |  4320 |
| 38.5 <> 39.0 |     18 |  3559 |
| 39.0 <> 39.6 |     20 |  1388 |
=================================
