
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==106.205.93.239 |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      2 |   673 |
|  0.5 <>  1.0 |      4 |   244 |
|  1.0 <>  1.5 |      2 |   424 |
|  1.5 <>  2.0 |      2 |   136 |
|  2.0 <>  2.5 |      0 |     0 |
|  2.5 <>  3.0 |      0 |     0 |
|  3.0 <>  3.5 |      0 |     0 |
|  3.5 <>  4.0 |      0 |     0 |
|  4.0 <>  4.5 |      0 |     0 |
|  4.5 <>  5.0 |      0 |     0 |
|  5.0 <>  5.5 |      0 |     0 |
|  5.5 <>  6.0 |      0 |     0 |
|  6.0 <>  6.5 |      0 |     0 |
|  6.5 <>  7.0 |      0 |     0 |
|  7.0 <>  7.5 |      0 |     0 |
|  7.5 <>  8.0 |      0 |     0 |
|  8.0 <>  8.5 |      0 |     0 |
|  8.5 <>  9.0 |      1 |   319 |
|  9.0 <>  9.5 |      0 |     0 |
|  9.5 <> 10.0 |      1 |   319 |
| 10.0 <> 10.5 |      1 |    89 |
| 10.5 <> 11.0 |      1 |   319 |
| 11.0 <> 11.5 |      1 |    76 |
| 11.5 <> 12.0 |     25 |  2430 |
| 12.0 <> 12.5 |     37 |  5814 |
| 12.5 <> 13.0 |     33 |  4033 |
| 13.0 <> 13.5 |     35 |  3726 |
| 13.5 <> 14.0 |     23 |  2412 |
| 14.0 <> 14.5 |     22 |  1532 |
| 14.5 <> 15.0 |     34 |  4984 |
| 15.0 <> 15.5 |     18 |  1224 |
| 15.5 <> 16.0 |     45 |  6112 |
| 16.0 <> 16.5 |     49 | 10979 |
| 16.5 <> 17.0 |     35 |  4789 |
| 17.0 <> 17.5 |     29 |  2855 |
| 17.5 <> 18.0 |     22 |  2794 |
| 18.0 <> 18.5 |     33 |  3874 |
| 18.5 <> 19.0 |     44 |  5050 |
| 19.0 <> 19.5 |     37 |  4857 |
| 19.5 <> 20.0 |     41 |  4234 |
| 20.0 <> 20.5 |     21 |  1428 |
| 20.5 <> 21.0 |     20 |  1360 |
| 21.0 <> 21.5 |     26 |  2712 |
| 21.5 <> 22.0 |     48 |  8814 |
| 22.0 <> 22.5 |     53 |  8645 |
| 22.5 <> 23.0 |     26 |  3185 |
| 23.0 <> 23.5 |     53 |  8325 |
| 23.5 <> 24.0 |     28 |  2838 |
| 24.0 <> 24.5 |     25 |  2175 |
| 24.5 <> 25.0 |     27 |  2789 |
| 25.0 <> 25.5 |     11 |   748 |
| 25.5 <> 26.0 |     26 |  1809 |
| 26.0 <> 26.5 |     76 |  8534 |
| 26.5 <> 27.0 |     32 |  5402 |
| 27.0 <> 27.5 |     15 |  1020 |
| 27.5 <> 28.0 |     26 |  3745 |
| 28.0 <> 28.5 |     24 |  2177 |
| 28.5 <> 29.0 |     24 |  3074 |
| 29.0 <> 29.5 |     22 |  1990 |
| 29.5 <> 30.0 |     28 |  3800 |
| 30.0 <> 30.5 |     27 |  4244 |
| 30.5 <> 31.0 |     43 |  6361 |
| 31.0 <> 31.5 |     25 |  2173 |
| 31.5 <> 32.0 |     24 |  1647 |
| 32.0 <> 32.5 |     28 |  2862 |
| 32.5 <> 33.0 |     24 |  2889 |
| 33.0 <> 33.5 |     36 |  3965 |
| 33.5 <> 34.0 |     39 |  5253 |
| 34.0 <> 34.5 |     22 |  1871 |
| 34.5 <> 35.0 |     11 |  1341 |
| 35.0 <> 35.5 |      9 |  1123 |
| 35.5 <> 36.0 |     23 |  3212 |
| 36.0 <> 36.5 |      9 |  1534 |
| 36.5 <> 37.0 |     17 |  1886 |
| 37.0 <> 37.5 |      7 |   521 |
| 37.5 <> 38.0 |      5 |   848 |
| 38.0 <> 38.5 |     13 |  1298 |
| 38.5 <> 39.0 |     11 |  2000 |
| 39.0 <> 39.6 |     12 |   780 |
=================================
