
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: ip.dst==106.204.32.66   |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |     74 |  67264 |
|  0.5 <>  1.0 |     57 |  69861 |
|  1.0 <>  1.5 |     12 |   9854 |
|  1.5 <>  2.0 |     24 |  14533 |
|  2.0 <>  2.5 |     30 |  32397 |
|  2.5 <>  3.0 |     25 |  18829 |
|  3.0 <>  3.5 |      9 |   6598 |
|  3.5 <>  4.0 |     14 |   7090 |
|  4.0 <>  4.5 |      6 |   2427 |
|  4.5 <>  5.0 |     12 |   1778 |
|  5.0 <>  5.5 |      4 |    465 |
|  5.5 <>  6.0 |     51 |  30509 |
|  6.0 <>  6.5 |    104 | 100039 |
|  6.5 <>  7.0 |      0 |      0 |
|  7.0 <>  7.5 |      3 |    204 |
|  7.5 <>  8.0 |      0 |      0 |
|  8.0 <>  8.5 |      0 |      0 |
|  8.5 <>  9.0 |      0 |      0 |
|  9.0 <>  9.5 |     24 |   1632 |
|  9.5 <> 10.0 |      0 |      0 |
| 10.0 <> 10.5 |      0 |      0 |
| 10.5 <> 11.0 |      0 |      0 |
| 11.0 <> 11.5 |      0 |      0 |
| 11.5 <> 12.0 |      0 |      0 |
| 12.0 <> 12.5 |      0 |      0 |
| 12.5 <> 13.0 |      0 |      0 |
| 13.0 <> 13.5 |      0 |      0 |
| 13.5 <> 14.0 |      3 |    239 |
| 14.0 <> 14.5 |      2 |    727 |
| 14.5 <> 15.0 |      1 |     68 |
==================================
