
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: Frames and bytes        |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |     21 |  12105 |
|  0.5 <>  1.0 |    126 |  72809 |
|  1.0 <>  1.5 |    196 | 111162 |
|  1.5 <>  2.0 |     92 |  54289 |
|  2.0 <>  2.5 |    233 | 159231 |
|  2.5 <>  3.0 |    121 |  63834 |
|  3.0 <>  3.5 |     64 |  30143 |
|  3.5 <>  4.0 |     37 |  19754 |
|  4.0 <>  4.5 |     73 |  46363 |
|  4.5 <>  5.0 |    253 | 127133 |
|  5.0 <>  5.5 |    186 | 123936 |
|  5.5 <>  6.0 |    209 | 177755 |
|  6.0 <>  6.5 |     87 |  59197 |
|  6.5 <>  7.0 |     48 |  31828 |
|  7.0 <>  7.5 |    150 |  58964 |
|  7.5 <>  8.0 |     41 |  14643 |
|  8.0 <>  8.5 |    133 |  58098 |
|  8.5 <>  9.0 |    133 |  94420 |
|  9.0 <>  9.5 |     38 |  33910 |
|  9.5 <> 10.0 |     47 |  10559 |
| 10.0 <> 10.5 |     32 |  11122 |
| 10.5 <> 11.0 |     74 |  36975 |
| 11.0 <> 11.5 |     71 |  29928 |
| 11.5 <> 12.0 |      8 |   1125 |
| 12.0 <> 12.5 |     31 |   9946 |
| 12.5 <> 13.0 |     29 |   5266 |
| 13.0 <> 13.5 |     19 |   2702 |
| 13.5 <> 14.0 |      8 |    774 |
| 14.0 <> 14.5 |      4 |    309 |
| 14.5 <> 15.0 |      7 |    476 |
| 15.0 <> 15.5 |     10 |    680 |
| 15.5 <> 16.0 |      0 |      0 |
| 16.0 <> 16.5 |      1 |     76 |
| 16.5 <> 17.0 |      7 |   1774 |
| 17.0 <> 17.8 |      3 |    204 |
==================================
