
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==106.204.32.66  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |     11 |  1704 |
|  0.5 <>  1.0 |     69 | 13401 |
|  1.0 <>  1.5 |     97 | 12132 |
|  1.5 <>  2.0 |     56 | 12448 |
|  2.0 <>  2.5 |    103 | 18540 |
|  2.5 <>  3.0 |     67 | 12710 |
|  3.0 <>  3.5 |     35 |  4565 |
|  3.5 <>  4.0 |     18 |  1880 |
|  4.0 <>  4.5 |     45 |  7103 |
|  4.5 <>  5.0 |    135 | 23691 |
|  5.0 <>  5.5 |     91 | 17784 |
|  5.5 <>  6.0 |     78 | 11108 |
|  6.0 <>  6.5 |     41 |  4880 |
|  6.5 <>  7.0 |     28 |  3155 |
|  7.0 <>  7.5 |     78 |  9482 |
|  7.5 <>  8.0 |     26 |  5558 |
|  8.0 <>  8.5 |     66 |  9356 |
|  8.5 <>  9.0 |     61 |  6354 |
|  9.0 <>  9.5 |     11 |   748 |
|  9.5 <> 10.0 |     29 |  3326 |
| 10.0 <> 10.5 |     18 |  3641 |
| 10.5 <> 11.0 |     43 |  4736 |
| 11.0 <> 11.5 |     30 |  2040 |
| 11.5 <> 12.0 |      7 |   543 |
| 12.0 <> 12.5 |     16 |  2665 |
| 12.5 <> 13.0 |     18 |  2132 |
| 13.0 <> 13.5 |     10 |  1434 |
| 13.5 <> 14.0 |      4 |   309 |
| 14.0 <> 14.5 |      1 |    68 |
| 14.5 <> 15.0 |      6 |   408 |
| 15.0 <> 15.5 |      4 |   272 |
| 15.5 <> 16.0 |      0 |     0 |
| 16.0 <> 16.5 |      1 |    76 |
| 16.5 <> 17.0 |      4 |   971 |
| 17.0 <> 17.8 |      3 |   204 |
=================================
