
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.dst==106.205.93.239 |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |     25 | 30342 |
|  0.5 <>  1.0 |     33 | 21379 |
|  1.0 <>  1.5 |     22 | 23256 |
|  1.5 <>  2.0 |      1 |   316 |
|  2.0 <>  2.5 |      0 |     0 |
|  2.5 <>  3.0 |      1 |    68 |
|  3.0 <>  3.5 |      0 |     0 |
|  3.5 <>  4.0 |      0 |     0 |
|  4.0 <>  4.5 |      0 |     0 |
|  4.5 <>  5.0 |     10 |   680 |
|  5.0 <>  5.5 |      0 |     0 |
|  5.5 <>  6.0 |      2 |   394 |
|  6.0 <>  6.5 |     14 | 13568 |
|  6.5 <>  7.0 |     17 | 21654 |
|  7.0 <>  7.5 |     43 | 21135 |
|  7.5 <>  8.0 |     36 | 30518 |
|  8.0 <>  8.5 |     26 | 29708 |
|  8.5 <>  9.0 |     26 | 30017 |
|  9.0 <>  9.5 |     23 | 29266 |
|  9.5 <> 10.0 |     31 | 30510 |
| 10.0 <> 10.5 |     39 | 17242 |
| 10.5 <> 11.0 |     27 | 25350 |
| 11.0 <> 11.5 |     13 | 10473 |
| 11.5 <> 12.0 |     19 | 25258 |
| 12.0 <> 12.5 |     22 | 30224 |
| 12.5 <> 13.0 |     22 | 15835 |
| 13.0 <> 13.5 |     33 | 12494 |
| 13.5 <> 14.0 |     23 | 24386 |
| 14.0 <> 14.5 |     25 | 30829 |
| 14.5 <> 15.0 |     36 | 29154 |
| 15.0 <> 15.5 |     42 | 29830 |
| 15.5 <> 16.0 |     28 | 30066 |
| 16.0 <> 16.5 |     26 | 29767 |
| 16.5 <> 17.0 |     26 | 29222 |
| 17.0 <> 17.5 |     23 | 30541 |
| 17.5 <> 18.0 |     28 | 31060 |
| 18.0 <> 18.5 |     43 | 29626 |
| 18.5 <> 19.0 |     40 | 30729 |
| 19.0 <> 19.5 |     25 | 28818 |
| 19.5 <> 20.0 |     26 | 28730 |
| 20.0 <> 20.5 |     27 | 30785 |
| 20.5 <> 21.0 |     23 | 23395 |
| 21.0 <> 21.5 |     24 | 30229 |
| 21.5 <> 22.0 |     27 | 12773 |
| 22.0 <> 22.5 |     38 | 16516 |
| 22.5 <> 23.0 |     31 | 30200 |
| 23.0 <> 23.5 |     27 | 29007 |
| 23.5 <> 24.0 |     28 | 30754 |
| 24.0 <> 24.5 |     24 | 29421 |
| 24.5 <> 25.0 |     34 | 23448 |
| 25.0 <> 25.5 |     22 |  9828 |
| 25.5 <> 26.0 |     26 | 25521 |
| 26.0 <> 26.5 |     23 | 18393 |
| 26.5 <> 27.0 |      5 |  1000 |
| 27.0 <> 27.5 |      9 |  1230 |
| 27.5 <> 28.0 |     11 |  6603 |
| 28.0 <> 28.5 |      7 |  1221 |
| 28.5 <> 29.0 |      4 |   288 |
| 29.0 <> 29.5 |     10 |  1668 |
| 29.5 <> 30.0 |      6 |  2818 |
| 30.0 <> 30.5 |      8 |  1461 |
| 30.5 <> 31.0 |     11 | 13687 |
| 31.0 <> 31.5 |      3 |  1444 |
| 31.5 <> 32.0 |      0 |     0 |
| 32.0 <> 32.5 |      1 |    68 |
| 32.5 <> 33.0 |      1 |    68 |
| 33.0 <> 33.5 |      2 |   163 |
| 33.5 <> 34.0 |      1 |    76 |
| 34.0 <> 34.5 |     14 |  3379 |
| 34.5 <> 35.0 |     11 |   836 |
| 35.0 <> 35.5 |      5 |   380 |
| 35.5 <> 36.0 |      3 |  2709 |
| 36.0 <> 36.5 |     12 |  7265 |
| 36.5 <> 37.0 |      3 |  2671 |
| 37.0 <> 37.5 |     10 | 11624 |
| 37.5 <> 38.0 |     11 |  8972 |
| 38.0 <> 38.5 |      8 |  7785 |
| 38.5 <> 39.0 |      4 |  3131 |
| 39.0 <> 39.5 |      7 |  7847 |
| 39.5 <> 40.0 |     21 | 17236 |
| 40.0 <> 40.5 |     30 | 30081 |
| 40.5 <> 41.0 |     49 | 25325 |
| 41.0 <> 41.7 |     30 |  2725 |
=================================
