
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: Frames and bytes       |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      2 |   408 |
|  0.5 <>  1.0 |      0 |     0 |
|  1.0 <>  1.5 |     41 | 19422 |
|  1.5 <>  2.0 |     65 | 35064 |
|  2.0 <>  2.5 |     69 | 34865 |
|  2.5 <>  3.0 |     62 | 32360 |
|  3.0 <>  3.5 |     45 | 30927 |
|  3.5 <>  4.0 |     51 | 32800 |
|  4.0 <>  4.5 |     56 | 24969 |
|  4.5 <>  5.0 |     49 | 24491 |
|  5.0 <>  5.5 |     61 | 22172 |
|  5.5 <>  6.0 |     90 | 40193 |
|  6.0 <>  6.5 |     62 | 34341 |
|  6.5 <>  7.0 |     65 | 32437 |
|  7.0 <>  7.5 |     55 | 35195 |
|  7.5 <>  8.0 |     61 | 32075 |
|  8.0 <>  8.5 |     80 | 32111 |
|  8.5 <>  9.0 |     69 | 23490 |
|  9.0 <>  9.5 |     76 | 31767 |
|  9.5 <> 10.0 |     39 | 26618 |
| 10.0 <> 10.5 |     43 | 31652 |
| 10.5 <> 11.0 |     48 | 18098 |
| 11.0 <> 11.5 |     69 | 15484 |
| 11.5 <> 12.0 |     89 | 39559 |
| 12.0 <> 12.5 |     51 | 33428 |
| 12.5 <> 13.0 |    104 | 39644 |
| 13.0 <> 13.5 |     66 | 33433 |
| 13.5 <> 14.0 |     45 | 30366 |
| 14.0 <> 14.5 |     55 | 33437 |
| 14.5 <> 15.0 |     34 | 30157 |
| 15.0 <> 15.5 |     47 | 32630 |
| 15.5 <> 16.0 |     92 | 35769 |
| 16.0 <> 16.5 |    105 | 38254 |
| 16.5 <> 17.0 |     44 | 29794 |
| 17.0 <> 17.5 |     54 | 34288 |
| 17.5 <> 18.0 |     45 | 30641 |
| 18.0 <> 18.5 |     49 | 28319 |
| 18.5 <> 19.0 |     41 | 30010 |
| 19.0 <> 19.5 |     64 | 27483 |
| 19.5 <> 20.0 |     36 | 11470 |
| 20.0 <> 20.5 |     81 | 30430 |
| 20.5 <> 21.0 |     55 | 32432 |
| 21.0 <> 21.5 |     50 | 31184 |
| 21.5 <> 22.0 |     47 | 33304 |
| 22.0 <> 22.5 |     58 | 32142 |
| 22.5 <> 23.0 |     68 | 14484 |
| 23.0 <> 23.5 |     68 | 33787 |
| 23.5 <> 24.0 |     60 | 32410 |
| 24.0 <> 24.5 |     36 | 12816 |
| 24.5 <> 25.0 |     10 |  2033 |
| 25.0 <> 25.5 |     36 |  7084 |
| 25.5 <> 26.0 |     30 | 11579 |
| 26.0 <> 26.5 |     16 |  1747 |
| 26.5 <> 27.0 |     21 |  2449 |
| 27.0 <> 27.5 |     13 |  2166 |
| 27.5 <> 28.0 |     16 |  2687 |
| 28.0 <> 28.5 |     24 |  5192 |
| 28.5 <> 29.2 |      7 |   476 |
=================================
