
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==106.205.93.239 |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |     12 |  1275 |
|  0.5 <>  1.0 |     37 |  5367 |
|  1.0 <>  1.5 |     38 |  4860 |
|  1.5 <>  2.0 |     28 |  2384 |
|  2.0 <>  2.5 |     21 |  1452 |
|  2.5 <>  3.0 |     27 |  3770 |
|  3.0 <>  3.5 |     29 |  3088 |
|  3.5 <>  4.0 |     25 |  2633 |
|  4.0 <>  4.5 |     39 |  3706 |
|  4.5 <>  5.0 |     51 | 13148 |
|  5.0 <>  5.5 |     30 |  2955 |
|  5.5 <>  6.0 |     25 |  1883 |
|  6.0 <>  6.5 |     31 |  4315 |
|  6.5 <>  7.0 |     42 |  4800 |
|  7.0 <>  7.5 |     41 |  5699 |
|  7.5 <>  8.0 |     32 |  4014 |
|  8.0 <>  8.5 |     10 |  1196 |
|  8.5 <>  9.0 |      0 |     0 |
|  9.0 <>  9.5 |     30 |  2499 |
|  9.5 <> 10.0 |     25 |  1700 |
| 10.0 <> 10.5 |     15 |  1507 |
| 10.5 <> 11.0 |     41 |  7367 |
| 11.0 <> 11.5 |     45 |  7756 |
| 11.5 <> 12.0 |     34 |  4153 |
| 12.0 <> 12.5 |     41 |  8778 |
| 12.5 <> 13.0 |     31 |  3090 |
| 13.0 <> 13.5 |     25 |  2148 |
| 13.5 <> 14.0 |     24 |  2579 |
| 14.0 <> 14.5 |     13 |  1364 |
| 14.5 <> 15.0 |     29 |  1972 |
| 15.0 <> 15.5 |     25 |  1740 |
| 15.5 <> 16.0 |     54 |  5988 |
| 16.0 <> 16.5 |     35 |  2388 |
| 16.5 <> 17.0 |     15 |  1060 |
| 17.0 <> 17.5 |     24 |  6815 |
| 17.5 <> 18.0 |     33 |  2768 |
| 18.0 <> 18.5 |     28 |  3481 |
| 18.5 <> 19.0 |     25 |  3115 |
| 19.0 <> 19.5 |     15 |  1587 |
| 19.5 <> 20.0 |     15 |  1506 |
| 20.0 <> 20.5 |     33 |  3609 |
| 20.5 <> 21.0 |     50 |  8046 |
| 21.0 <> 21.5 |     35 |  4593 |
| 21.5 <> 22.0 |     21 |  1911 |
| 22.0 <> 22.5 |     28 |  2425 |
| 22.5 <> 23.0 |     18 |  1224 |
| 23.0 <> 23.5 |     30 |  2492 |
| 23.5 <> 24.0 |     34 |  4302 |
| 24.0 <> 24.5 |     19 |  3752 |
| 24.5 <> 25.0 |     13 |  1479 |
| 25.0 <> 25.5 |      0 |     0 |
| 25.5 <> 26.0 |      2 |   173 |
| 26.0 <> 26.5 |      1 |    68 |
| 26.5 <> 27.0 |     15 |   996 |
| 27.0 <> 27.5 |      1 |    83 |
| 27.5 <> 28.0 |      6 |  1681 |
| 28.0 <> 28.5 |     89 | 17511 |
| 28.5 <> 29.0 |     27 |  3137 |
| 29.0 <> 29.5 |     26 |  1780 |
| 29.5 <> 30.0 |     22 |  1496 |
| 30.0 <> 30.5 |     24 |  1632 |
| 30.5 <> 31.0 |     16 |  1172 |
| 31.0 <> 31.5 |     10 |   680 |
| 31.5 <> 32.0 |     38 |  3042 |
| 32.0 <> 32.5 |     28 |  3471 |
| 32.5 <> 33.0 |      5 |   360 |
| 33.0 <> 33.5 |      4 |  1056 |
| 33.5 <> 34.0 |     12 |  1340 |
| 34.0 <> 34.5 |     14 |  1843 |
| 34.5 <> 35.0 |      2 |   136 |
| 35.0 <> 35.5 |      1 |   105 |
| 35.5 <> 36.0 |      1 |    68 |
| 36.0 <> 36.5 |      6 |  1174 |
| 36.5 <> 37.0 |      2 |   136 |
| 37.0 <> 37.6 |      9 |   576 |
=================================
