
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: ip.dst==110.225.77.68   |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |     39 |  42104 |
|  0.5 <>  1.0 |    111 | 111678 |
|  1.0 <>  1.5 |     32 |  32165 |
|  1.5 <>  2.0 |     35 |  44306 |
|  2.0 <>  2.5 |    130 | 130813 |
|  2.5 <>  3.0 |     41 |  37292 |
|  3.0 <>  3.5 |     33 |  25114 |
|  3.5 <>  4.0 |     45 |  56578 |
|  4.0 <>  4.5 |     26 |  16010 |
|  4.5 <>  5.0 |     47 |  42048 |
|  5.0 <>  5.5 |    100 | 100869 |
|  5.5 <>  6.0 |     29 |  33498 |
|  6.0 <>  6.5 |    117 | 137884 |
|  6.5 <>  7.0 |     61 |  80307 |
|  7.0 <>  7.5 |     45 |  38423 |
|  7.5 <>  8.0 |     22 |  10954 |
|  8.0 <>  8.5 |     23 |  11737 |
|  8.5 <>  9.0 |    109 | 115135 |
|  9.0 <>  9.5 |     17 |   9705 |
|  9.5 <> 10.0 |     11 |   7671 |
| 10.0 <> 10.5 |     52 |  60388 |
| 10.5 <> 11.0 |     44 |  44577 |
| 11.0 <> 11.5 |     10 |  10341 |
| 11.5 <> 12.0 |      3 |    682 |
| 12.0 <> 12.5 |     27 |  10045 |
| 12.5 <> 13.0 |     10 |   1031 |
| 13.0 <> 13.5 |      5 |    999 |
| 13.5 <> 14.0 |     12 |   1775 |
| 14.0 <> 14.5 |      9 |   3490 |
| 14.5 <> 15.0 |      4 |    272 |
| 15.0 <> 15.5 |      5 |    404 |
| 15.5 <> 16.0 |     29 |   4712 |
| 16.0 <> 16.5 |    150 | 158541 |
| 16.5 <> 17.0 |      1 |     68 |
| 17.0 <> 17.5 |      0 |      0 |
| 17.5 <> 18.0 |      0 |      0 |
| 18.0 <> 18.5 |      0 |      0 |
| 18.5 <> 19.0 |     25 |   1700 |
| 19.0 <> 19.5 |      0 |      0 |
| 19.5 <> 20.0 |      0 |      0 |
| 20.0 <> 20.5 |      0 |      0 |
| 20.5 <> 21.0 |      1 |     76 |
| 21.0 <> 21.5 |      2 |    757 |
| 21.5 <> 22.2 |      2 |    136 |
==================================
