
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: Frames and bytes        |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      1 |     89 |
|  0.5 <>  1.0 |      0 |      0 |
|  1.0 <>  1.5 |      4 |    425 |
|  1.5 <>  2.0 |     97 |  55529 |
|  2.0 <>  2.5 |    255 | 154003 |
|  2.5 <>  3.0 |    144 |  92044 |
|  3.0 <>  3.5 |    225 | 141485 |
|  3.5 <>  4.0 |     81 |  38629 |
|  4.0 <>  4.5 |    110 |  85640 |
|  4.5 <>  5.0 |     24 |   9069 |
|  5.0 <>  5.5 |    210 | 102960 |
|  5.5 <>  6.0 |    209 | 128928 |
|  6.0 <>  6.5 |     46 |  20442 |
|  6.5 <>  7.0 |    185 | 166714 |
|  7.0 <>  7.5 |     73 |  52121 |
|  7.5 <>  8.0 |     68 |  16494 |
|  8.0 <>  8.5 |     73 |  18439 |
|  8.5 <>  9.0 |    197 | 128110 |
|  9.0 <>  9.5 |    100 |  52996 |
|  9.5 <> 10.0 |     27 |   4861 |
| 10.0 <> 10.5 |     82 |  35157 |
| 10.5 <> 11.0 |     51 |  36144 |
| 11.0 <> 11.5 |     24 |  18527 |
| 11.5 <> 12.0 |     22 |   7690 |
| 12.0 <> 12.5 |     60 |  15287 |
| 12.5 <> 13.0 |      8 |   1163 |
| 13.0 <> 13.5 |     24 |   2394 |
| 13.5 <> 14.0 |    167 |  76026 |
| 14.0 <> 14.5 |    203 | 124102 |
| 14.5 <> 15.0 |      0 |      0 |
| 15.0 <> 15.5 |      8 |    547 |
| 15.5 <> 16.0 |      0 |      0 |
| 16.0 <> 16.5 |     17 |   1156 |
| 16.5 <> 17.0 |      0 |      0 |
| 17.0 <> 17.5 |      0 |      0 |
| 17.5 <> 18.0 |      3 |    204 |
| 18.0 <> 18.5 |     67 |   5930 |
| 18.5 <> 19.4 |      3 |    204 |
==================================
