
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==110.225.77.68  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      6 |   704 |
|  0.5 <>  1.0 |      0 |     0 |
|  1.0 <>  1.5 |     53 |  9637 |
|  1.5 <>  2.0 |     91 | 14884 |
|  2.0 <>  2.5 |    172 | 32078 |
|  2.5 <>  3.0 |     49 | 12763 |
|  3.0 <>  3.5 |     10 |  6286 |
|  3.5 <>  4.0 |     12 |   816 |
|  4.0 <>  4.5 |     36 |  6704 |
|  4.5 <>  5.0 |     15 |  2431 |
|  5.0 <>  5.5 |      0 |     0 |
|  5.5 <>  6.0 |      8 |   544 |
|  6.0 <>  6.5 |      0 |     0 |
|  6.5 <>  7.0 |      0 |     0 |
|  7.0 <>  7.5 |      0 |     0 |
|  7.5 <>  8.0 |      6 |   408 |
|  8.0 <>  8.5 |      0 |     0 |
|  8.5 <>  9.0 |      2 |   144 |
|  9.0 <>  9.5 |     22 |  1628 |
|  9.5 <> 10.0 |     62 | 19732 |
| 10.0 <> 10.5 |     32 |  2200 |
| 10.5 <> 11.0 |     26 |  1768 |
| 11.0 <> 11.5 |      0 |     0 |
| 11.5 <> 12.0 |      1 |    68 |
| 12.0 <> 12.5 |      1 |    68 |
| 12.5 <> 13.0 |      0 |     0 |
| 13.0 <> 13.5 |      0 |     0 |
| 13.5 <> 14.1 |     17 |  1156 |
=================================
