
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.dst==110.225.77.68  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      0 |     0 |
|  0.5 <>  1.0 |      1 |   931 |
|  1.0 <>  1.5 |      0 |     0 |
|  1.5 <>  2.0 |      0 |     0 |
|  2.0 <>  2.5 |      0 |     0 |
|  2.5 <>  3.0 |      7 |  6093 |
|  3.0 <>  3.5 |     28 | 32048 |
|  3.5 <>  4.0 |     13 | 14709 |
|  4.0 <>  4.5 |     13 | 11222 |
|  4.5 <>  5.0 |     14 | 14897 |
|  5.0 <>  5.5 |     10 |  3007 |
|  5.5 <>  6.0 |      5 |   356 |
|  6.0 <>  6.5 |      7 |  8667 |
|  6.5 <>  7.0 |     11 |  8369 |
|  7.0 <>  7.5 |     27 | 29188 |
|  7.5 <>  8.0 |     24 | 30805 |
|  8.0 <>  8.5 |     14 | 15200 |
|  8.5 <>  9.0 |     12 |  1040 |
|  9.0 <>  9.5 |     41 | 27838 |
|  9.5 <> 10.0 |     35 | 32509 |
| 10.0 <> 10.5 |     12 | 13311 |
| 10.5 <> 11.0 |     15 | 13033 |
| 11.0 <> 11.5 |     17 | 12753 |
| 11.5 <> 12.0 |     14 | 12536 |
| 12.0 <> 12.5 |     24 | 20781 |
| 12.5 <> 13.0 |     10 |  6006 |
| 13.0 <> 13.5 |     16 | 21327 |
| 13.5 <> 14.0 |      8 |  8059 |
| 14.0 <> 14.5 |     12 | 12914 |
| 14.5 <> 15.0 |      9 | 11683 |
| 15.0 <> 15.5 |      8 |  3356 |
| 15.5 <> 16.0 |     11 |  6149 |
| 16.0 <> 16.5 |      9 |  5836 |
| 16.5 <> 17.0 |     12 | 11073 |
| 17.0 <> 17.5 |     20 |  9100 |
| 17.5 <> 18.0 |     12 | 11546 |
| 18.0 <> 18.5 |      7 |  5820 |
| 18.5 <> 19.0 |     15 | 13455 |
| 19.0 <> 19.5 |     24 |  8291 |
| 19.5 <> 20.0 |     28 | 18739 |
| 20.0 <> 20.5 |     41 | 46191 |
| 20.5 <> 21.0 |     53 | 64076 |
| 21.0 <> 21.5 |      7 |  4048 |
| 21.5 <> 22.0 |      5 |   958 |
| 22.0 <> 22.5 |      3 |   822 |
| 22.5 <> 23.0 |      4 |   478 |
| 23.0 <> 23.5 |     22 |  4266 |
| 23.5 <> 24.0 |      7 |  6534 |
| 24.0 <> 24.5 |      3 |  2335 |
| 24.5 <> 25.0 |      6 |  5005 |
| 25.0 <> 25.5 |      6 |  5301 |
| 25.5 <> 26.0 |      1 |    56 |
| 26.0 <> 26.5 |      8 |  7474 |
| 26.5 <> 27.0 |      4 |  4077 |
| 27.0 <> 27.5 |      7 |  6586 |
| 27.5 <> 28.0 |      8 |  6801 |
| 28.0 <> 28.5 |      0 |     0 |
| 28.5 <> 29.0 |      0 |     0 |
| 29.0 <> 29.5 |      8 |  6560 |
| 29.5 <> 30.0 |      5 |  5812 |
| 30.0 <> 30.5 |      0 |     0 |
| 30.5 <> 31.0 |      0 |     0 |
| 31.0 <> 31.5 |      5 |  5384 |
| 31.5 <> 32.0 |      1 |  1436 |
| 32.0 <> 32.5 |      4 |  1696 |
| 32.5 <> 33.0 |      0 |     0 |
| 33.0 <> 33.5 |     12 | 13809 |
| 33.5 <> 34.0 |     14 | 11868 |
| 34.0 <> 34.5 |      6 |   436 |
| 34.5 <> 35.0 |      3 |   204 |
| 35.0 <> 35.6 |      4 |  1640 |
=================================
