
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: ip.dst==106.202.104.16  |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      5 |    340 |
|  0.5 <>  1.0 |      1 |     68 |
|  1.0 <>  1.5 |      6 |    408 |
|  1.5 <>  2.0 |      3 |    204 |
|  2.0 <>  2.5 |      0 |      0 |
|  2.5 <>  3.0 |      1 |     68 |
|  3.0 <>  3.5 |      3 |    204 |
|  3.5 <>  4.0 |      0 |      0 |
|  4.0 <>  4.5 |      0 |      0 |
|  4.5 <>  5.0 |      1 |     68 |
|  5.0 <>  5.5 |      3 |    204 |
|  5.5 <>  6.0 |      3 |    204 |
|  6.0 <>  6.5 |      1 |     68 |
|  6.5 <>  7.0 |      0 |      0 |
|  7.0 <>  7.5 |      5 |    367 |
|  7.5 <>  8.0 |      0 |      0 |
|  8.0 <>  8.5 |      1 |     68 |
|  8.5 <>  9.0 |      1 |     68 |
|  9.0 <>  9.5 |      0 |      0 |
|  9.5 <> 10.0 |      0 |      0 |
| 10.0 <> 10.5 |      0 |      0 |
| 10.5 <> 11.0 |      1 |     68 |
| 11.0 <> 11.5 |      0 |      0 |
| 11.5 <> 12.0 |      0 |      0 |
| 12.0 <> 12.5 |      0 |      0 |
| 12.5 <> 13.0 |      3 |    278 |
| 13.0 <> 13.5 |     19 |   2339 |
| 13.5 <> 14.0 |      5 |    802 |
| 14.0 <> 14.5 |      0 |      0 |
| 14.5 <> 15.0 |      0 |      0 |
| 15.0 <> 15.5 |      0 |      0 |
| 15.5 <> 16.0 |      0 |      0 |
| 16.0 <> 16.5 |     53 |  72157 |
| 16.5 <> 17.0 |     56 |  67926 |
| 17.0 <> 17.5 |     28 |  24450 |
| 17.5 <> 18.0 |      4 |   1360 |
| 18.0 <> 18.5 |      0 |      0 |
| 18.5 <> 19.0 |      0 |      0 |
| 19.0 <> 19.5 |      0 |      0 |
| 19.5 <> 20.0 |     10 |  11761 |
| 20.0 <> 20.5 |     44 |  48746 |
| 20.5 <> 21.0 |     57 |  70997 |
| 21.0 <> 21.5 |    120 | 142542 |
| 21.5 <> 22.0 |     87 |  85092 |
| 22.0 <> 22.5 |     73 |  92344 |
| 22.5 <> 23.0 |      2 |   2842 |
| 23.0 <> 23.5 |     51 |  55101 |
| 23.5 <> 24.0 |     48 |  52221 |
| 24.0 <> 24.5 |     64 |  62790 |
| 24.5 <> 25.0 |     40 |  46899 |
| 25.0 <> 25.5 |     41 |  43846 |
| 25.5 <> 26.0 |      5 |   1935 |
| 26.0 <> 26.5 |     46 |  43685 |
| 26.5 <> 27.0 |     24 |   8983 |
| 27.0 <> 27.5 |     67 |  88626 |
| 27.5 <> 28.0 |     39 |  42553 |
| 28.0 <> 28.5 |     82 | 105632 |
| 28.5 <> 29.0 |      0 |      0 |
| 29.0 <> 29.5 |     21 |  13181 |
| 29.5 <> 30.0 |     49 |  59622 |
| 30.0 <> 30.5 |      8 |   4236 |
| 30.5 <> 31.0 |      8 |   4562 |
| 31.0 <> 31.5 |     12 |   1298 |
| 31.5 <> 32.0 |      3 |   1487 |
| 32.0 <> 32.5 |      6 |   1271 |
| 32.5 <> 33.0 |     12 |   1718 |
| 33.0 <> 33.5 |      1 |     68 |
| 33.5 <> 34.0 |      0 |      0 |
| 34.0 <> 34.5 |      0 |      0 |
| 34.5 <> 35.0 |      0 |      0 |
| 35.0 <> 35.5 |     19 |  26035 |
| 35.5 <> 36.0 |     82 | 106921 |
| 36.0 <> 36.5 |      7 |   7684 |
| 36.5 <> 37.0 |      0 |      0 |
| 37.0 <> 37.5 |      0 |      0 |
| 37.5 <> 38.0 |      0 |      0 |
| 38.0 <> 38.5 |      0 |      0 |
| 38.5 <> 39.0 |      0 |      0 |
| 39.0 <> 39.5 |      0 |      0 |
| 39.5 <> 40.0 |      0 |      0 |
| 40.0 <> 40.6 |     40 |   2624 |
==================================
