
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==106.202.104.16 |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      4 |   272 |
|  0.5 <>  1.0 |      0 |     0 |
|  1.0 <>  1.5 |      7 |   476 |
|  1.5 <>  2.0 |      2 |   136 |
|  2.0 <>  2.5 |      1 |    68 |
|  2.5 <>  3.0 |      0 |     0 |
|  3.0 <>  3.5 |      3 |   204 |
|  3.5 <>  4.0 |      1 |    68 |
|  4.0 <>  4.5 |      1 |    68 |
|  4.5 <>  5.0 |      0 |     0 |
|  5.0 <>  5.5 |      3 |   204 |
|  5.5 <>  6.0 |      3 |   204 |
|  6.0 <>  6.5 |      1 |    68 |
|  6.5 <>  7.0 |      2 |   136 |
|  7.0 <>  7.5 |      3 |   204 |
|  7.5 <>  8.0 |      1 |    68 |
|  8.0 <>  8.5 |      0 |     0 |
|  8.5 <>  9.0 |      1 |    68 |
|  9.0 <>  9.5 |      0 |     0 |
|  9.5 <> 10.0 |      0 |     0 |
| 10.0 <> 10.5 |      1 |    68 |
| 10.5 <> 11.0 |      0 |     0 |
| 11.0 <> 11.5 |      0 |     0 |
| 11.5 <> 12.0 |      0 |     0 |
| 12.0 <> 12.5 |      0 |     0 |
| 12.5 <> 13.0 |      9 |  1470 |
| 13.0 <> 13.5 |     18 |  1878 |
| 13.5 <> 14.0 |      5 |   486 |
| 14.0 <> 14.5 |      0 |     0 |
| 14.5 <> 15.0 |      0 |     0 |
| 15.0 <> 15.5 |      0 |     0 |
| 15.5 <> 16.0 |      1 |   499 |
| 16.0 <> 16.5 |     52 |  7999 |
| 16.5 <> 17.0 |     69 |  8006 |
| 17.0 <> 17.5 |     29 |  3967 |
| 17.5 <> 18.0 |      4 |   654 |
| 18.0 <> 18.5 |      0 |     0 |
| 18.5 <> 19.0 |      0 |     0 |
| 19.0 <> 19.5 |      0 |     0 |
| 19.5 <> 20.0 |     12 |  1671 |
| 20.0 <> 20.5 |     44 |  7191 |
| 20.5 <> 21.0 |     54 | 11170 |
| 21.0 <> 21.5 |     89 | 18141 |
| 21.5 <> 22.0 |     81 | 13915 |
| 22.0 <> 22.5 |     56 |  5863 |
| 22.5 <> 23.0 |      2 |   738 |
| 23.0 <> 23.5 |     56 | 13342 |
| 23.5 <> 24.0 |     57 | 11354 |
| 24.0 <> 24.5 |     83 | 13070 |
| 24.5 <> 25.0 |     37 | 10208 |
| 25.0 <> 25.5 |     31 |  5444 |
| 25.5 <> 26.0 |      6 |  1588 |
| 26.0 <> 26.5 |     45 |  6870 |
| 26.5 <> 27.0 |     23 |  3801 |
| 27.0 <> 27.5 |     49 |  4220 |
| 27.5 <> 28.0 |     49 | 11117 |
| 28.0 <> 28.5 |     64 |  4881 |
| 28.5 <> 29.0 |      0 |     0 |
| 29.0 <> 29.5 |     35 |  5493 |
| 29.5 <> 30.0 |     43 |  4515 |
| 30.0 <> 30.5 |      7 |  1641 |
| 30.5 <> 31.0 |     12 |  2145 |
| 31.0 <> 31.5 |     11 |  1757 |
| 31.5 <> 32.0 |      5 |  1153 |
| 32.0 <> 32.5 |      8 |  1069 |
| 32.5 <> 33.0 |     14 |  2642 |
| 33.0 <> 33.5 |      1 |    68 |
| 33.5 <> 34.0 |      0 |     0 |
| 34.0 <> 34.5 |      0 |     0 |
| 34.5 <> 35.0 |      0 |     0 |
| 35.0 <> 35.5 |     32 | 11469 |
| 35.5 <> 36.0 |     91 | 20187 |
| 36.0 <> 36.5 |      4 |   272 |
| 36.5 <> 37.0 |      0 |     0 |
| 37.0 <> 37.5 |      0 |     0 |
| 37.5 <> 38.0 |      0 |     0 |
| 38.0 <> 38.5 |      0 |     0 |
| 38.5 <> 39.0 |      0 |     0 |
| 39.0 <> 39.5 |      0 |     0 |
| 39.5 <> 40.0 |     33 |  2232 |
| 40.0 <> 40.6 |     25 |  1688 |
=================================
