
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: ip.dst==106.202.104.16  |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |     33 |  43457 |
|  0.5 <>  1.0 |     62 |  68939 |
|  1.0 <>  1.5 |     97 | 119497 |
|  1.5 <>  2.0 |     88 |  92969 |
|  2.0 <>  2.5 |     60 |  57319 |
|  2.5 <>  3.0 |     50 |  69233 |
|  3.0 <>  3.5 |     14 |  11003 |
|  3.5 <>  4.0 |     79 |  92448 |
|  4.0 <>  4.5 |     38 |  43680 |
|  4.5 <>  5.0 |     72 |  72586 |
|  5.0 <>  5.5 |     14 |   6046 |
|  5.5 <>  6.0 |     33 |  38451 |
|  6.0 <>  6.5 |     29 |  37336 |
|  6.5 <>  7.0 |     38 |  16327 |
|  7.0 <>  7.5 |     67 |  88731 |
|  7.5 <>  8.0 |      9 |   5216 |
|  8.0 <>  8.5 |     66 |  81269 |
|  8.5 <>  9.0 |     50 |  62020 |
|  9.0 <>  9.5 |      0 |      0 |
|  9.5 <> 10.0 |     51 |  47044 |
| 10.0 <> 10.5 |     25 |  29621 |
| 10.5 <> 11.0 |      5 |   1016 |
| 11.0 <> 11.5 |     15 |   5022 |
| 11.5 <> 12.0 |      3 |   1531 |
| 12.0 <> 12.5 |      5 |    541 |
| 12.5 <> 13.0 |     10 |   1704 |
| 13.0 <> 13.5 |      5 |    896 |
| 13.5 <> 14.0 |      1 |     68 |
| 14.0 <> 14.5 |      0 |      0 |
| 14.5 <> 15.0 |      0 |      0 |
| 15.0 <> 15.5 |      0 |      0 |
| 15.5 <> 16.0 |     73 |  97473 |
| 16.0 <> 16.5 |     35 |  43167 |
| 16.5 <> 17.0 |      0 |      0 |
| 17.0 <> 17.5 |      0 |      0 |
| 17.5 <> 18.0 |      0 |      0 |
| 18.0 <> 18.5 |      0 |      0 |
| 18.5 <> 19.0 |      0 |      0 |
| 19.0 <> 19.5 |      0 |      0 |
| 19.5 <> 20.0 |      0 |      0 |
| 20.0 <> 20.8 |      6 |    408 |
==================================
