
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: Frames and bytes       |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      7 |  4246 |
|  0.5 <>  1.0 |     27 | 22104 |
|  1.0 <>  1.5 |     20 | 15285 |
|  1.5 <>  2.0 |     20 | 13231 |
|  2.0 <>  2.5 |     13 |  8127 |
|  2.5 <>  3.0 |     41 | 25350 |
|  3.0 <>  3.5 |     28 | 13954 |
|  3.5 <>  4.0 |     96 | 68596 |
|  4.0 <>  4.5 |      7 |  3883 |
|  4.5 <>  5.0 |     54 | 39518 |
|  5.0 <>  5.5 |     50 | 32261 |
|  5.5 <>  6.0 |     12 |  5377 |
|  6.0 <>  6.5 |     48 | 29630 |
|  6.5 <>  7.0 |     19 | 13341 |
|  7.0 <>  7.5 |     84 | 48136 |
|  7.5 <>  8.0 |     29 | 16346 |
|  8.0 <>  8.5 |      5 |  4882 |
|  8.5 <>  9.0 |     68 | 42558 |
|  9.0 <>  9.5 |     39 | 23412 |
|  9.5 <> 10.0 |    112 | 81418 |
| 10.0 <> 10.5 |     38 | 15112 |
| 10.5 <> 11.0 |     21 | 11763 |
| 11.0 <> 11.5 |     67 | 60813 |
| 11.5 <> 12.0 |      1 |   713 |
| 12.0 <> 12.5 |      0 |     0 |
| 12.5 <> 13.0 |      0 |     0 |
| 13.0 <> 13.5 |      8 |  3250 |
| 13.5 <> 14.0 |     13 |  8892 |
| 14.0 <> 14.5 |      6 |  2107 |
| 14.5 <> 15.0 |      2 |   136 |
| 15.0 <> 15.5 |      1 |    68 |
| 15.5 <> 16.0 |      5 |  1171 |
| 16.0 <> 16.5 |      3 |  1853 |
| 16.5 <> 17.0 |      5 |  3418 |
| 17.0 <> 17.5 |      9 |  3599 |
| 17.5 <> 18.0 |     11 |  4328 |
| 18.0 <> 18.5 |     13 |  7484 |
| 18.5 <> 19.0 |    120 | 68445 |
| 19.0 <> 19.5 |     60 | 34649 |
| 19.5 <> 20.0 |    170 | 91061 |
| 20.0 <> 20.5 |     58 | 39132 |
| 20.5 <> 21.0 |     43 | 35858 |
| 21.0 <> 21.5 |     42 | 28786 |
| 21.5 <> 22.0 |     95 | 64134 |
| 22.0 <> 22.5 |     50 | 14894 |
| 22.5 <> 23.0 |     30 |  7664 |
| 23.0 <> 23.5 |     35 | 24021 |
| 23.5 <> 24.0 |     86 | 75898 |
| 24.0 <> 24.5 |     94 | 48638 |
| 24.5 <> 25.0 |     89 | 60569 |
| 25.0 <> 25.5 |     72 | 53422 |
| 25.5 <> 26.0 |     36 | 24281 |
| 26.0 <> 26.5 |     48 | 25493 |
| 26.5 <> 27.0 |     38 | 19947 |
| 27.0 <> 27.5 |     45 | 25491 |
| 27.5 <> 28.0 |     10 |  2806 |
| 28.0 <> 28.5 |     24 |  7541 |
| 28.5 <> 29.0 |      4 |   284 |
| 29.0 <> 29.5 |     25 |  9882 |
| 29.5 <> 30.0 |     13 |  5773 |
| 30.0 <> 30.5 |     30 | 18260 |
| 30.5 <> 31.0 |     88 | 64189 |
| 31.0 <> 31.5 |    110 | 68210 |
| 31.5 <> 32.0 |     43 | 29544 |
| 32.0 <> 32.5 |      0 |     0 |
| 32.5 <> 33.0 |      0 |     0 |
| 33.0 <> 33.5 |      0 |     0 |
| 33.5 <> 34.0 |      0 |     0 |
| 34.0 <> 34.5 |      0 |     0 |
| 34.5 <> 35.0 |      0 |     0 |
| 35.0 <> 35.5 |      0 |     0 |
| 35.5 <> 36.0 |      0 |     0 |
| 36.0 <> 36.5 |      0 |     0 |
| 36.5 <> 37.0 |      0 |     0 |
| 37.0 <> 37.5 |      1 |    68 |
| 37.5 <> 38.0 |      1 |    68 |
| 38.0 <> 38.5 |      1 |    68 |
| 38.5 <> 39.4 |     30 |  2040 |
=================================
