
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.dst==106.202.104.16 |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      3 |  3077 |
|  0.5 <>  1.0 |     13 | 18668 |
|  1.0 <>  1.5 |      8 | 11141 |
|  1.5 <>  2.0 |     10 | 12527 |
|  2.0 <>  2.5 |      7 |  6867 |
|  2.5 <>  3.0 |     21 | 22522 |
|  3.0 <>  3.5 |     10 |  9194 |
|  3.5 <>  4.0 |     52 | 64599 |
|  4.0 <>  4.5 |      2 |  2017 |
|  4.5 <>  5.0 |     30 | 37312 |
|  5.0 <>  5.5 |     21 | 23992 |
|  5.5 <>  6.0 |      7 |  5037 |
|  6.0 <>  6.5 |     22 | 23194 |
|  6.5 <>  7.0 |     11 | 11724 |
|  7.0 <>  7.5 |     44 | 40828 |
|  7.5 <>  8.0 |     11 | 12000 |
|  8.0 <>  8.5 |      3 |  4081 |
|  8.5 <>  9.0 |     37 | 37738 |
|  9.0 <>  9.5 |     20 | 20856 |
|  9.5 <> 10.0 |     63 | 72001 |
| 10.0 <> 10.5 |     21 | 13956 |
| 10.5 <> 11.0 |     10 | 10385 |
| 11.0 <> 11.5 |     42 | 59113 |
| 11.5 <> 12.0 |      0 |     0 |
| 12.0 <> 12.5 |      0 |     0 |
| 12.5 <> 13.0 |      0 |     0 |
| 13.0 <> 13.5 |      2 |  2842 |
| 13.5 <> 14.0 |      0 |     0 |
| 14.0 <> 14.5 |      0 |     0 |
| 14.5 <> 15.0 |      1 |    68 |
| 15.0 <> 15.5 |      0 |     0 |
| 15.5 <> 16.0 |      4 |   272 |
| 16.0 <> 16.5 |      0 |     0 |
| 16.5 <> 17.0 |      1 |   913 |
| 17.0 <> 17.5 |      3 |  1813 |
| 17.5 <> 18.0 |      5 |  2419 |
| 18.0 <> 18.5 |      6 |  4612 |
| 18.5 <> 19.0 |     57 | 60069 |
| 19.0 <> 19.5 |     30 | 27389 |
| 19.5 <> 20.0 |     87 | 76441 |
| 20.0 <> 20.5 |     33 | 33311 |
| 20.5 <> 21.0 |     24 | 32807 |
| 21.0 <> 21.5 |     24 | 24512 |
| 21.5 <> 22.0 |     50 | 57723 |
| 22.0 <> 22.5 |     25 | 12466 |
| 22.5 <> 23.0 |     17 |  5829 |
| 23.0 <> 23.5 |     17 | 21431 |
| 23.5 <> 24.0 |     49 | 69172 |
| 24.0 <> 24.5 |     43 | 38264 |
| 24.5 <> 25.0 |     43 | 54081 |
| 25.0 <> 25.5 |     43 | 50884 |
| 25.5 <> 26.0 |     19 | 22432 |
| 26.0 <> 26.5 |     23 | 22443 |
| 26.5 <> 27.0 |     18 | 17632 |
| 27.0 <> 27.5 |     22 | 21512 |
| 27.5 <> 28.0 |      4 |  1914 |
| 28.0 <> 28.5 |     12 |  4698 |
| 28.5 <> 29.0 |      0 |     0 |
| 29.0 <> 29.5 |     12 |  7586 |
| 29.5 <> 30.0 |      7 |  5365 |
| 30.0 <> 30.5 |     10 |  9452 |
| 30.5 <> 31.0 |     40 | 53045 |
| 31.0 <> 31.5 |     55 | 57831 |
| 31.5 <> 32.0 |     21 | 23230 |
| 32.0 <> 32.5 |      0 |     0 |
| 32.5 <> 33.0 |      0 |     0 |
| 33.0 <> 33.5 |      0 |     0 |
| 33.5 <> 34.0 |      0 |     0 |
| 34.0 <> 34.5 |      0 |     0 |
| 34.5 <> 35.0 |      0 |     0 |
| 35.0 <> 35.5 |      0 |     0 |
| 35.5 <> 36.0 |      0 |     0 |
| 36.0 <> 36.5 |      0 |     0 |
| 36.5 <> 37.0 |      0 |     0 |
| 37.0 <> 37.5 |      0 |     0 |
| 37.5 <> 38.0 |      1 |    68 |
| 38.0 <> 38.5 |      0 |     0 |
| 38.5 <> 39.4 |      1 |    68 |
=================================
