
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==106.202.104.16 |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      4 |  1169 |
|  0.5 <>  1.0 |     14 |  3436 |
|  1.0 <>  1.5 |     12 |  4144 |
|  1.5 <>  2.0 |     10 |   704 |
|  2.0 <>  2.5 |      6 |  1260 |
|  2.5 <>  3.0 |     20 |  2828 |
|  3.0 <>  3.5 |     18 |  4760 |
|  3.5 <>  4.0 |     44 |  3997 |
|  4.0 <>  4.5 |      5 |  1866 |
|  4.5 <>  5.0 |     24 |  2206 |
|  5.0 <>  5.5 |     29 |  8269 |
|  5.5 <>  6.0 |      5 |   340 |
|  6.0 <>  6.5 |     26 |  6436 |
|  6.5 <>  7.0 |      8 |  1617 |
|  7.0 <>  7.5 |     40 |  7308 |
|  7.5 <>  8.0 |     18 |  4346 |
|  8.0 <>  8.5 |      2 |   801 |
|  8.5 <>  9.0 |     31 |  4820 |
|  9.0 <>  9.5 |     19 |  2556 |
|  9.5 <> 10.0 |     49 |  9417 |
| 10.0 <> 10.5 |     17 |  1156 |
| 10.5 <> 11.0 |     11 |  1378 |
| 11.0 <> 11.5 |     25 |  1700 |
| 11.5 <> 12.0 |      1 |   713 |
| 12.0 <> 12.5 |      0 |     0 |
| 12.5 <> 13.0 |      0 |     0 |
| 13.0 <> 13.5 |      6 |   408 |
| 13.5 <> 14.0 |     13 |  8892 |
| 14.0 <> 14.5 |      6 |  2107 |
| 14.5 <> 15.0 |      1 |    68 |
| 15.0 <> 15.5 |      1 |    68 |
| 15.5 <> 16.0 |      1 |   899 |
| 16.0 <> 16.5 |      3 |  1853 |
| 16.5 <> 17.0 |      4 |  2505 |
| 17.0 <> 17.5 |      6 |  1786 |
| 17.5 <> 18.0 |      6 |  1909 |
| 18.0 <> 18.5 |      7 |  2872 |
| 18.5 <> 19.0 |     63 |  8376 |
| 19.0 <> 19.5 |     30 |  7260 |
| 19.5 <> 20.0 |     83 | 14620 |
| 20.0 <> 20.5 |     25 |  5821 |
| 20.5 <> 21.0 |     19 |  3051 |
| 21.0 <> 21.5 |     18 |  4274 |
| 21.5 <> 22.0 |     45 |  6411 |
| 22.0 <> 22.5 |     25 |  2428 |
| 22.5 <> 23.0 |     13 |  1835 |
| 23.0 <> 23.5 |     18 |  2590 |
| 23.5 <> 24.0 |     37 |  6726 |
| 24.0 <> 24.5 |     51 | 10374 |
| 24.5 <> 25.0 |     46 |  6488 |
| 25.0 <> 25.5 |     29 |  2538 |
| 25.5 <> 26.0 |     17 |  1849 |
| 26.0 <> 26.5 |     25 |  3050 |
| 26.5 <> 27.0 |     20 |  2315 |
| 27.0 <> 27.5 |     23 |  3979 |
| 27.5 <> 28.0 |      6 |   892 |
| 28.0 <> 28.5 |     12 |  2843 |
| 28.5 <> 29.0 |      4 |   284 |
| 29.0 <> 29.5 |     13 |  2296 |
| 29.5 <> 30.0 |      6 |   408 |
| 30.0 <> 30.5 |     20 |  8808 |
| 30.5 <> 31.0 |     48 | 11144 |
| 31.0 <> 31.5 |     55 | 10379 |
| 31.5 <> 32.0 |     22 |  6314 |
| 32.0 <> 32.5 |      0 |     0 |
| 32.5 <> 33.0 |      0 |     0 |
| 33.0 <> 33.5 |      0 |     0 |
| 33.5 <> 34.0 |      0 |     0 |
| 34.0 <> 34.5 |      0 |     0 |
| 34.5 <> 35.0 |      0 |     0 |
| 35.0 <> 35.5 |      0 |     0 |
| 35.5 <> 36.0 |      0 |     0 |
| 36.0 <> 36.5 |      0 |     0 |
| 36.5 <> 37.0 |      0 |     0 |
| 37.0 <> 37.5 |      1 |    68 |
| 37.5 <> 38.0 |      0 |     0 |
| 38.0 <> 38.5 |      1 |    68 |
| 38.5 <> 39.4 |     29 |  1972 |
=================================
