
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: ip.dst==117.96.39.17    |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      0 |      0 |
|  0.5 <>  1.0 |     41 |  57632 |
|  1.0 <>  1.5 |      9 |   8100 |
|  1.5 <>  2.0 |      0 |      0 |
|  2.0 <>  2.5 |      1 |     56 |
|  2.5 <>  3.0 |      0 |      0 |
|  3.0 <>  3.5 |      0 |      0 |
|  3.5 <>  4.0 |      0 |      0 |
|  4.0 <>  4.5 |      0 |      0 |
|  4.5 <>  5.0 |      0 |      0 |
|  5.0 <>  5.5 |     16 |   7353 |
|  5.5 <>  6.0 |      7 |   4968 |
|  6.0 <>  6.5 |      5 |    380 |
|  6.5 <>  7.0 |      0 |      0 |
|  7.0 <>  7.5 |      0 |      0 |
|  7.5 <>  8.0 |      0 |      0 |
|  8.0 <>  8.5 |      0 |      0 |
|  8.5 <>  9.0 |      0 |      0 |
|  9.0 <>  9.5 |     15 |  18972 |
|  9.5 <> 10.0 |     62 |  74079 |
| 10.0 <> 10.5 |     25 |  32993 |
| 10.5 <> 11.0 |     14 |  14994 |
| 11.0 <> 11.5 |     11 |   5581 |
| 11.5 <> 12.0 |      0 |      0 |
| 12.0 <> 12.5 |      0 |      0 |
| 12.5 <> 13.0 |      0 |      0 |
| 13.0 <> 13.5 |      0 |      0 |
| 13.5 <> 14.0 |      0 |      0 |
| 14.0 <> 14.5 |      0 |      0 |
| 14.5 <> 15.0 |      0 |      0 |
| 15.0 <> 15.5 |      0 |      0 |
| 15.5 <> 16.0 |      5 |   2231 |
| 16.0 <> 16.5 |     13 |  13146 |
| 16.5 <> 17.0 |      2 |   1897 |
| 17.0 <> 17.5 |      0 |      0 |
| 17.5 <> 18.0 |      0 |      0 |
| 18.0 <> 18.5 |      0 |      0 |
| 18.5 <> 19.0 |      0 |      0 |
| 19.0 <> 19.5 |      0 |      0 |
| 19.5 <> 20.0 |      0 |      0 |
| 20.0 <> 20.5 |      0 |      0 |
| 20.5 <> 21.0 |      0 |      0 |
| 21.0 <> 21.5 |      0 |      0 |
| 21.5 <> 22.0 |      2 |    390 |
| 22.0 <> 22.5 |     26 |  35896 |
| 22.5 <> 23.0 |    107 | 135435 |
| 23.0 <> 23.5 |      0 |      0 |
| 23.5 <> 24.0 |      0 |      0 |
| 24.0 <> 24.5 |      0 |      0 |
| 24.5 <> 25.0 |      0 |      0 |
| 25.0 <> 25.5 |      6 |    372 |
| 25.5 <> 26.0 |      0 |      0 |
| 26.0 <> 26.5 |      0 |      0 |
| 26.5 <> 27.0 |      0 |      0 |
| 27.0 <> 27.5 |      0 |      0 |
| 27.5 <> 28.0 |     16 |   6489 |
| 28.0 <> 28.5 |     19 |  19231 |
| 28.5 <> 29.0 |      0 |      0 |
| 29.0 <> 29.5 |      0 |      0 |
| 29.5 <> 30.0 |      0 |      0 |
| 30.0 <> 30.5 |      0 |      0 |
| 30.5 <> 31.0 |      0 |      0 |
| 31.0 <> 31.5 |      0 |      0 |
| 31.5 <> 32.0 |      0 |      0 |
| 32.0 <> 32.5 |      0 |      0 |
| 32.5 <> 33.0 |      0 |      0 |
| 33.0 <> 33.5 |     18 |  14069 |
| 33.5 <> 34.0 |     30 |  33321 |
| 34.0 <> 34.5 |      0 |      0 |
| 34.5 <> 35.0 |      0 |      0 |
| 35.0 <> 35.5 |      0 |      0 |
| 35.5 <> 36.0 |      0 |      0 |
| 36.0 <> 36.5 |      0 |      0 |
| 36.5 <> 37.0 |      0 |      0 |
| 37.0 <> 37.5 |      0 |      0 |
| 37.5 <> 38.0 |      0 |      0 |
| 38.0 <> 38.5 |      0 |      0 |
| 38.5 <> 39.0 |      5 |   2327 |
| 39.0 <> 39.5 |     15 |  11956 |
| 39.5 <> 40.0 |      0 |      0 |
| 40.0 <> 40.5 |      0 |      0 |
| 40.5 <> 41.0 |      0 |      0 |
| 41.0 <> 41.5 |      0 |      0 |
| 41.5 <> 42.0 |      0 |      0 |
| 42.0 <> 42.5 |      0 |      0 |
| 42.5 <> 43.0 |      0 |      0 |
| 43.0 <> 43.5 |      0 |      0 |
| 43.5 <> 44.0 |      6 |    793 |
| 44.0 <> 44.5 |      0 |      0 |
| 44.5 <> 45.0 |      2 |    525 |
| 45.0 <> 45.5 |     52 |  69377 |
| 45.5 <> 46.0 |      5 |   5373 |
| 46.0 <> 46.5 |     51 |  55320 |
| 46.5 <> 47.0 |     39 |  47035 |
| 47.0 <> 47.5 |     68 |  64106 |
| 47.5 <> 48.0 |      0 |      0 |
| 48.0 <> 48.5 |      0 |      0 |
| 48.5 <> 49.0 |      0 |      0 |
| 49.0 <> 49.5 |      1 |     56 |
| 49.5 <> 50.0 |      0 |      0 |
| 50.0 <> 50.5 |      0 |      0 |
| 50.5 <> 51.0 |      0 |      0 |
| 51.0 <> 51.5 |      1 |    308 |
| 51.5 <> 52.0 |     12 |   2584 |
| 52.0 <> 52.5 |      2 |    124 |
| 52.5 <> 53.0 |     11 |   3725 |
| 53.0 <> 53.5 |     32 |  38005 |
| 53.5 <> 54.0 |     37 |  45640 |
| 54.0 <> 54.5 |     26 |  25353 |
| 54.5 <> 55.0 |     11 |   5211 |
| 55.0 <> 55.5 |      3 |   1123 |
| 55.5 <> 56.0 |      6 |   4786 |
| 56.0 <> 56.5 |      2 |   2872 |
| 56.5 <> 57.0 |     20 |  10368 |
| 57.0 <> 57.5 |     11 |  10724 |
| 57.5 <> 58.0 |      7 |   8565 |
| 58.0 <> 58.5 |      8 |   3850 |
| 58.5 <> 59.0 |     20 |  21149 |
| 59.0 <> 59.5 |     11 |   7122 |
| 59.5 <> 60.0 |     47 |  62657 |
| 60.0 <> 60.5 |      8 |  10947 |
| 60.5 <> 61.0 |      0 |      0 |
| 61.0 <> 61.5 |      1 |     68 |
| 61.5 <> 62.0 |      1 |     56 |
| 62.0 <> 62.5 |      0 |      0 |
| 62.5 <> 63.0 |     16 |  18514 |
| 63.0 <> 63.5 |     45 |  55553 |
| 63.5 <> 64.0 |     15 |   6321 |
| 64.0 <> 64.5 |     67 |  90275 |
| 64.5 <> 65.0 |     31 |  34200 |
| 65.0 <> 65.5 |     27 |   1656 |
| 65.5 <> 66.0 |      5 |    340 |
| 66.0 <> 66.5 |      0 |      0 |
| 66.5 <> 67.0 |      0 |      0 |
| 67.0 <> 67.5 |      0 |      0 |
| 67.5 <> 68.0 |      2 |    508 |
| 68.0 <> 68.5 |     35 |  35260 |
| 68.5 <> 69.0 |     53 |  67829 |
| 69.0 <> 69.5 |     11 |   8357 |
| 69.5 <> 70.0 |      0 |      0 |
| 70.0 <> 70.5 |      3 |    983 |
| 70.5 <> 71.0 |      4 |    693 |
| 71.0 <> 71.5 |      7 |   6891 |
| 71.5 <> 72.0 |     14 |  20104 |
| 72.0 <> 72.5 |     10 |  13872 |
| 72.5 <> 73.0 |      6 |   3625 |
| 73.0 <> 73.5 |      8 |   7960 |
| 73.5 <> 74.0 |      0 |      0 |
| 74.0 <> 74.5 |      0 |      0 |
| 74.5 <> 75.0 |      5 |   1210 |
| 75.0 <> 75.5 |      2 |    152 |
| 75.5 <> 76.0 |     30 |  17758 |
| 76.0 <> 76.5 |      5 |   5885 |
| 76.5 <> 77.0 |      3 |    643 |
| 77.0 <> 77.5 |      2 |    152 |
| 77.5 <> 78.0 |      7 |   4462 |
| 78.0 <> 78.5 |      6 |   1022 |
| 78.5 <> 79.0 |      6 |   1664 |
| 79.0 <> 79.5 |      0 |      0 |
| 79.5 <> 80.0 |      0 |      0 |
| 80.0 <> 80.5 |      0 |      0 |
| 80.5 <> 81.0 |      0 |      0 |
| 81.0 <> 81.5 |      0 |      0 |
| 81.5 <> 82.0 |      0 |      0 |
| 82.0 <> 82.5 |      6 |   4350 |
| 82.5 <> 83.0 |      0 |      0 |
| 83.0 <> 83.5 |      0 |      0 |
| 83.5 <> 84.0 |      0 |      0 |
| 84.0 <> 84.5 |      0 |      0 |
| 84.5 <> 85.0 |      1 |     68 |
| 85.0 <> 85.5 |      2 |    136 |
| 85.5 <> 86.0 |      1 |     68 |
| 86.0 <> 86.5 |      0 |      0 |
| 86.5 <> 87.0 |      0 |      0 |
| 87.0 <> 87.5 |      0 |      0 |
| 87.5 <> 88.0 |      1 |    275 |
| 88.0 <> 88.5 |      1 |     76 |
| 88.5 <> 89.0 |     11 |    861 |
| 89.0 <> 89.6 |     10 |   5506 |
==================================
