
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==117.96.39.17   |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      2 |   588 |
|  0.5 <>  1.0 |     35 |  2913 |
|  1.0 <>  1.5 |      9 |  1493 |
|  1.5 <>  2.0 |      1 |    56 |
|  2.0 <>  2.5 |      0 |     0 |
|  2.5 <>  3.0 |      0 |     0 |
|  3.0 <>  3.5 |      0 |     0 |
|  3.5 <>  4.0 |      0 |     0 |
|  4.0 <>  4.5 |      0 |     0 |
|  4.5 <>  5.0 |      0 |     0 |
|  5.0 <>  5.5 |     25 |  3986 |
|  5.5 <>  6.0 |     16 |  1312 |
|  6.0 <>  6.5 |      5 |   328 |
|  6.5 <>  7.0 |      0 |     0 |
|  7.0 <>  7.5 |      0 |     0 |
|  7.5 <>  8.0 |      0 |     0 |
|  8.0 <>  8.5 |      0 |     0 |
|  8.5 <>  9.0 |      0 |     0 |
|  9.0 <>  9.5 |      9 |  1530 |
|  9.5 <> 10.0 |     55 |  7712 |
| 10.0 <> 10.5 |     22 |  1358 |
| 10.5 <> 11.0 |     21 |  1818 |
| 11.0 <> 11.5 |     11 |  1792 |
| 11.5 <> 12.0 |      0 |     0 |
| 12.0 <> 12.5 |      0 |     0 |
| 12.5 <> 13.0 |      0 |     0 |
| 13.0 <> 13.5 |      0 |     0 |
| 13.5 <> 14.0 |      0 |     0 |
| 14.0 <> 14.5 |      0 |     0 |
| 14.5 <> 15.0 |      0 |     0 |
| 15.0 <> 15.5 |      0 |     0 |
| 15.5 <> 16.0 |      6 |   855 |
| 16.0 <> 16.5 |     16 |  2909 |
| 16.5 <> 17.0 |      3 |   202 |
| 17.0 <> 17.5 |      0 |     0 |
| 17.5 <> 18.0 |      0 |     0 |
| 18.0 <> 18.5 |      0 |     0 |
| 18.5 <> 19.0 |      0 |     0 |
| 19.0 <> 19.5 |      0 |     0 |
| 19.5 <> 20.0 |      0 |     0 |
| 20.0 <> 20.5 |      0 |     0 |
| 20.5 <> 21.0 |      0 |     0 |
| 21.0 <> 21.5 |      0 |     0 |
| 21.5 <> 22.0 |      4 |   720 |
| 22.0 <> 22.5 |     33 |  6198 |
| 22.5 <> 23.0 |     90 | 16315 |
| 23.0 <> 23.5 |      1 |    68 |
| 23.5 <> 24.0 |      0 |     0 |
| 24.0 <> 24.5 |      0 |     0 |
| 24.5 <> 25.0 |      0 |     0 |
| 25.0 <> 25.5 |      6 |   384 |
| 25.5 <> 26.0 |      0 |     0 |
| 26.0 <> 26.5 |      0 |     0 |
| 26.5 <> 27.0 |      0 |     0 |
| 27.0 <> 27.5 |      2 |   163 |
| 27.5 <> 28.0 |     16 |  3960 |
| 28.0 <> 28.5 |     26 |  6124 |
| 28.5 <> 29.0 |      0 |     0 |
| 29.0 <> 29.5 |      0 |     0 |
| 29.5 <> 30.0 |      0 |     0 |
| 30.0 <> 30.5 |      0 |     0 |
| 30.5 <> 31.0 |      0 |     0 |
| 31.0 <> 31.5 |      0 |     0 |
| 31.5 <> 32.0 |      0 |     0 |
| 32.0 <> 32.5 |      0 |     0 |
| 32.5 <> 33.0 |      0 |     0 |
| 33.0 <> 33.5 |     22 |  3209 |
| 33.5 <> 34.0 |     41 |  6186 |
| 34.0 <> 34.5 |      0 |     0 |
| 34.5 <> 35.0 |      0 |     0 |
| 35.0 <> 35.5 |      0 |     0 |
| 35.5 <> 36.0 |      0 |     0 |
| 36.0 <> 36.5 |      0 |     0 |
| 36.5 <> 37.0 |      0 |     0 |
| 37.0 <> 37.5 |      0 |     0 |
| 37.5 <> 38.0 |      0 |     0 |
| 38.0 <> 38.5 |      0 |     0 |
| 38.5 <> 39.0 |      8 |   677 |
| 39.0 <> 39.5 |     17 |  3036 |
| 39.5 <> 40.0 |      0 |     0 |
| 40.0 <> 40.5 |      0 |     0 |
| 40.5 <> 41.0 |      0 |     0 |
| 41.0 <> 41.5 |      0 |     0 |
| 41.5 <> 42.0 |      0 |     0 |
| 42.0 <> 42.5 |      0 |     0 |
| 42.5 <> 43.0 |      0 |     0 |
| 43.0 <> 43.5 |      2 |   112 |
| 43.5 <> 44.0 |      4 |   236 |
| 44.0 <> 44.5 |      2 |   136 |
| 44.5 <> 45.0 |      1 |    76 |
| 45.0 <> 45.5 |     39 |  3219 |
| 45.5 <> 46.0 |     12 |  5342 |
| 46.0 <> 46.5 |     67 | 14319 |
| 46.5 <> 47.0 |     48 |  8953 |
| 47.0 <> 47.5 |     72 | 11146 |
| 47.5 <> 48.0 |      1 |    68 |
| 48.0 <> 48.5 |      0 |     0 |
| 48.5 <> 49.0 |      1 |  1436 |
| 49.0 <> 49.5 |      0 |     0 |
| 49.5 <> 50.0 |      0 |     0 |
| 50.0 <> 50.5 |      0 |     0 |
| 50.5 <> 51.0 |      0 |     0 |
| 51.0 <> 51.5 |     10 |   771 |
| 51.5 <> 52.0 |     14 |  6064 |
| 52.0 <> 52.5 |      2 |   148 |
| 52.5 <> 53.0 |     12 |  1418 |
| 53.0 <> 53.5 |     36 |  4443 |
| 53.5 <> 54.0 |     30 |  6329 |
