
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: Frames and bytes        |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      1 |     89 |
|  0.5 <>  1.0 |      0 |      0 |
|  1.0 <>  1.5 |      0 |      0 |
|  1.5 <>  2.0 |      0 |      0 |
|  2.0 <>  2.5 |      0 |      0 |
|  2.5 <>  3.0 |      0 |      0 |
|  3.0 <>  3.5 |      0 |      0 |
|  3.5 <>  4.0 |      0 |      0 |
|  4.0 <>  4.5 |      0 |      0 |
|  4.5 <>  5.0 |      0 |      0 |
|  5.0 <>  5.5 |     29 |  16405 |
|  5.5 <>  6.0 |    136 |  84824 |
|  6.0 <>  6.5 |    194 | 140988 |
|  6.5 <>  7.0 |     79 |  44978 |
|  7.0 <>  7.5 |      0 |      0 |
|  7.5 <>  8.0 |      2 |    120 |
|  8.0 <>  8.5 |      0 |      0 |
|  8.5 <>  9.0 |      2 |    120 |
|  9.0 <>  9.5 |      0 |      0 |
|  9.5 <> 10.0 |      0 |      0 |
| 10.0 <> 10.5 |      1 |    464 |
| 10.5 <> 11.0 |    189 | 100876 |
| 11.0 <> 11.5 |    226 | 133143 |
| 11.5 <> 12.0 |     52 |  25727 |
| 12.0 <> 12.5 |     37 |  20090 |
| 12.5 <> 13.0 |      0 |      0 |
| 13.0 <> 13.5 |      0 |      0 |
| 13.5 <> 14.0 |      0 |      0 |
| 14.0 <> 14.5 |      0 |      0 |
| 14.5 <> 15.0 |      0 |      0 |
| 15.0 <> 15.5 |      0 |      0 |
| 15.5 <> 16.0 |      6 |    507 |
| 16.0 <> 16.5 |      0 |      0 |
| 16.5 <> 17.0 |     16 |   1087 |
| 17.0 <> 17.5 |      1 |     90 |
| 17.5 <> 18.0 |    119 |  28040 |
| 18.0 <> 18.5 |     10 |   3819 |
| 18.5 <> 19.0 |      5 |   2399 |
| 19.0 <> 19.5 |      4 |   1227 |
| 19.5 <> 20.0 |      1 |     78 |
| 20.0 <> 20.5 |      0 |      0 |
| 20.5 <> 21.0 |      0 |      0 |
| 21.0 <> 21.5 |      1 |    344 |
| 21.5 <> 22.0 |      0 |      0 |
| 22.0 <> 22.5 |      0 |      0 |
| 22.5 <> 23.0 |     41 |   9100 |
| 23.0 <> 23.5 |     27 |  13252 |
| 23.5 <> 24.0 |     27 |  11842 |
| 24.0 <> 24.5 |      0 |      0 |
| 24.5 <> 25.0 |      3 |    339 |
