
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: ip.dst==117.96.39.17    |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      0 |      0 |
|  0.5 <>  1.0 |      0 |      0 |
|  1.0 <>  1.5 |      0 |      0 |
|  1.5 <>  2.0 |      0 |      0 |
|  2.0 <>  2.5 |      0 |      0 |
|  2.5 <>  3.0 |      0 |      0 |
|  3.0 <>  3.5 |      0 |      0 |
|  3.5 <>  4.0 |      0 |      0 |
|  4.0 <>  4.5 |      0 |      0 |
|  4.5 <>  5.0 |      0 |      0 |
|  5.0 <>  5.5 |     13 |  14981 |
|  5.5 <>  6.0 |     62 |  70909 |
|  6.0 <>  6.5 |    102 | 134064 |
|  6.5 <>  7.0 |     39 |  41816 |
|  7.0 <>  7.5 |      0 |      0 |
|  7.5 <>  8.0 |      1 |     64 |
|  8.0 <>  8.5 |      0 |      0 |
|  8.5 <>  9.0 |      1 |     64 |
|  9.0 <>  9.5 |      0 |      0 |
|  9.5 <> 10.0 |      0 |      0 |
| 10.0 <> 10.5 |      0 |      0 |
| 10.5 <> 11.0 |     85 |  90785 |
| 11.0 <> 11.5 |    120 | 122459 |
| 11.5 <> 12.0 |     20 |  21366 |
| 12.0 <> 12.5 |     18 |  17978 |
| 12.5 <> 13.0 |      0 |      0 |
| 13.0 <> 13.5 |      0 |      0 |
| 13.5 <> 14.0 |      0 |      0 |
| 14.0 <> 14.5 |      0 |      0 |
| 14.5 <> 15.0 |      0 |      0 |
| 15.0 <> 15.5 |      0 |      0 |
| 15.5 <> 16.0 |      0 |      0 |
| 16.0 <> 16.5 |      0 |      0 |
| 16.5 <> 17.0 |      0 |      0 |
| 17.0 <> 17.5 |      0 |      0 |
| 17.5 <> 18.0 |     63 |  23016 |
| 18.0 <> 18.5 |      4 |   2508 |
| 18.5 <> 19.0 |      2 |    183 |
| 19.0 <> 19.5 |      3 |   1159 |
| 19.5 <> 20.0 |      0 |      0 |
| 20.0 <> 20.5 |      0 |      0 |
| 20.5 <> 21.0 |      0 |      0 |
| 21.0 <> 21.5 |      0 |      0 |
| 21.5 <> 22.0 |      0 |      0 |
| 22.0 <> 22.5 |      0 |      0 |
| 22.5 <> 23.0 |     17 |   7475 |
| 23.0 <> 23.5 |     12 |  12002 |
| 23.5 <> 24.0 |     14 |  11060 |
| 24.0 <> 24.5 |      0 |      0 |
| 24.5 <> 25.0 |      1 |    185 |
| 25.0 <> 25.5 |      4 |   2268 |
| 25.5 <> 26.0 |      0 |      0 |
| 26.0 <> 26.5 |      1 |   1436 |
| 26.5 <> 27.0 |      0 |      0 |
| 27.0 <> 27.5 |      3 |    251 |
| 27.5 <> 28.0 |      2 |    770 |
| 28.0 <> 28.5 |      7 |    757 |
| 28.5 <> 29.0 |     10 |    858 |
| 29.0 <> 29.5 |      3 |    653 |
| 29.5 <> 30.0 |     19 |  19230 |
| 30.0 <> 30.5 |      0 |      0 |
| 30.5 <> 31.0 |      0 |      0 |
| 31.0 <> 31.5 |      0 |      0 |
| 31.5 <> 32.0 |      0 |      0 |
| 32.0 <> 32.5 |      0 |      0 |
| 32.5 <> 33.0 |      0 |      0 |
| 33.0 <> 33.5 |      0 |      0 |
| 33.5 <> 34.0 |      2 |    112 |
| 34.0 <> 34.5 |      0 |      0 |
| 34.5 <> 35.0 |     26 |  19614 |
| 35.0 <> 35.5 |     10 |  13107 |
| 35.5 <> 36.0 |      0 |      0 |
| 36.0 <> 36.5 |      0 |      0 |
| 36.5 <> 37.0 |      0 |      0 |
| 37.0 <> 37.5 |     24 |  16302 |
| 37.5 <> 38.0 |     47 |  41461 |
| 38.0 <> 38.5 |      0 |      0 |
| 38.5 <> 39.0 |      0 |      0 |
| 39.0 <> 39.5 |     58 |  68776 |
| 39.5 <> 40.0 |      5 |   5816 |
| 40.0 <> 40.5 |      0 |      0 |
| 40.5 <> 41.0 |     31 |  38021 |
| 41.0 <> 41.5 |      1 |    887 |
| 41.5 <> 42.0 |      0 |      0 |
| 42.0 <> 42.5 |      0 |      0 |
| 42.5 <> 43.0 |     29 |  12590 |
| 43.0 <> 43.5 |     17 |  19084 |
| 43.5 <> 44.0 |     61 |  83816 |
| 44.0 <> 44.5 |     14 |   4748 |
| 44.5 <> 45.0 |     48 |  63257 |
| 45.0 <> 45.5 |      5 |   2097 |
| 45.5 <> 46.0 |     21 |  18088 |
| 46.0 <> 46.5 |     25 |  13701 |
| 46.5 <> 47.0 |     16 |   2839 |
| 47.0 <> 47.5 |      0 |      0 |
| 47.5 <> 48.0 |     24 |  10376 |
| 48.0 <> 48.5 |     39 |  37585 |
| 48.5 <> 49.0 |     30 |  28559 |
| 49.0 <> 49.5 |      1 |    308 |
| 49.5 <> 50.0 |     11 |   1586 |
| 50.0 <> 50.5 |     10 |   2576 |
| 50.5 <> 51.0 |      9 |   6814 |
| 51.0 <> 51.5 |      0 |      0 |
| 51.5 <> 52.0 |      0 |      0 |
| 52.0 <> 52.5 |      2 |    136 |
| 52.5 <> 53.0 |     10 |   7073 |
| 53.0 <> 53.5 |     13 |   9557 |
| 53.5 <> 54.0 |     16 |  13930 |
| 54.0 <> 54.5 |     15 |   1020 |
| 54.5 <> 55.0 |     13 |   2048 |
| 55.0 <> 55.5 |      9 |   5950 |
| 55.5 <> 56.0 |     11 |  13908 |
| 56.0 <> 56.5 |     21 |  24116 |
| 56.5 <> 57.0 |      1 |     68 |
| 57.0 <> 57.5 |      0 |      0 |
| 57.5 <> 58.0 |      0 |      0 |
| 58.0 <> 58.5 |     37 |  44428 |
| 58.5 <> 59.0 |     25 |  26364 |
| 59.0 <> 59.5 |      3 |    264 |
| 59.5 <> 60.0 |      6 |    842 |
| 60.0 <> 60.5 |      5 |    372 |
| 60.5 <> 61.0 |     54 |  55318 |
| 61.0 <> 61.5 |     14 |  17281 |
| 61.5 <> 62.0 |      0 |      0 |
| 62.0 <> 62.5 |      0 |      0 |
| 62.5 <> 63.0 |      1 |    128 |
| 63.0 <> 63.5 |      0 |      0 |
| 63.5 <> 64.0 |      0 |      0 |
| 64.0 <> 64.5 |      1 |    128 |
| 64.5 <> 65.0 |      0 |      0 |
| 65.0 <> 65.5 |      0 |      0 |
| 65.5 <> 66.0 |      0 |      0 |
| 66.0 <> 66.5 |      1 |     68 |
| 66.5 <> 67.0 |      5 |    400 |
| 67.0 <> 67.5 |      1 |    280 |
| 67.5 <> 68.0 |      2 |   2649 |
| 68.0 <> 68.5 |      5 |   2340 |
| 68.5 <> 69.0 |      9 |   3210 |
| 69.0 <> 69.5 |      0 |      0 |
| 69.5 <> 70.0 |      1 |     93 |
| 70.0 <> 70.5 |      0 |      0 |
| 70.5 <> 71.0 |      0 |      0 |
| 71.0 <> 71.5 |      0 |      0 |
| 71.5 <> 72.0 |      0 |      0 |
| 72.0 <> 72.5 |      0 |      0 |
| 72.5 <> 73.0 |      2 |    566 |
| 73.0 <> 73.5 |      5 |   3912 |
| 73.5 <> 74.0 |      8 |   4169 |
| 74.0 <> 74.5 |      7 |    926 |
| 74.5 <> 75.0 |     10 |   4894 |
| 75.0 <> 75.5 |      2 |    795 |
| 75.5 <> 76.0 |      0 |      0 |
| 76.0 <> 76.5 |      0 |      0 |
| 76.5 <> 77.0 |      0 |      0 |
| 77.0 <> 77.5 |      0 |      0 |
| 77.5 <> 78.0 |      0 |      0 |
| 78.0 <> 78.5 |      1 |    275 |
| 78.5 <> 79.0 |      2 |    152 |
| 79.0 <> 79.5 |      4 |   1117 |
| 79.5 <> 80.0 |      6 |   1565 |
| 80.0 <> 80.7 |      6 |   1159 |
==================================
