
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==117.96.39.17   |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      1 |    89 |
|  0.5 <>  1.0 |      0 |     0 |
|  1.0 <>  1.5 |      0 |     0 |
|  1.5 <>  2.0 |      0 |     0 |
|  2.0 <>  2.5 |      0 |     0 |
|  2.5 <>  3.0 |      0 |     0 |
|  3.0 <>  3.5 |      0 |     0 |
|  3.5 <>  4.0 |      0 |     0 |
|  4.0 <>  4.5 |      0 |     0 |
|  4.5 <>  5.0 |      0 |     0 |
|  5.0 <>  5.5 |     16 |  1424 |
|  5.5 <>  6.0 |     74 | 13915 |
|  6.0 <>  6.5 |     92 |  6924 |
|  6.5 <>  7.0 |     40 |  3162 |
|  7.0 <>  7.5 |      0 |     0 |
|  7.5 <>  8.0 |      1 |    56 |
|  8.0 <>  8.5 |      0 |     0 |
|  8.5 <>  9.0 |      1 |    56 |
|  9.0 <>  9.5 |      0 |     0 |
|  9.5 <> 10.0 |      0 |     0 |
| 10.0 <> 10.5 |      1 |   464 |
| 10.5 <> 11.0 |    104 | 10091 |
| 11.0 <> 11.5 |    106 | 10684 |
| 11.5 <> 12.0 |     32 |  4361 |
| 12.0 <> 12.5 |     19 |  2112 |
| 12.5 <> 13.0 |      0 |     0 |
| 13.0 <> 13.5 |      0 |     0 |
| 13.5 <> 14.0 |      0 |     0 |
| 14.0 <> 14.5 |      0 |     0 |
| 14.5 <> 15.0 |      0 |     0 |
| 15.0 <> 15.5 |      0 |     0 |
| 15.5 <> 16.0 |      6 |   507 |
| 16.0 <> 16.5 |      0 |     0 |
| 16.5 <> 17.0 |     16 |  1087 |
| 17.0 <> 17.5 |      1 |    90 |
| 17.5 <> 18.0 |     56 |  5024 |
| 18.0 <> 18.5 |      6 |  1311 |
| 18.5 <> 19.0 |      3 |  2216 |
| 19.0 <> 19.5 |      1 |    68 |
| 19.5 <> 20.0 |      1 |    78 |
| 20.0 <> 20.5 |      0 |     0 |
| 20.5 <> 21.0 |      0 |     0 |
| 21.0 <> 21.5 |      1 |   344 |
| 21.5 <> 22.0 |      0 |     0 |
| 22.0 <> 22.5 |      0 |     0 |
| 22.5 <> 23.0 |     24 |  1625 |
| 23.0 <> 23.5 |     15 |  1250 |
| 23.5 <> 24.0 |     13 |   782 |
| 24.0 <> 24.5 |      0 |     0 |
| 24.5 <> 25.0 |      2 |   154 |
