
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.dst==117.96.39.17   |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      0 |     0 |
|  0.5 <>  1.0 |      1 |    68 |
|  1.0 <>  1.5 |      2 |  1553 |
|  1.5 <>  2.0 |      3 |  4308 |
|  2.0 <>  2.5 |      5 |  5181 |
|  2.5 <>  3.0 |      1 |    64 |
|  3.0 <>  3.5 |      0 |     0 |
|  3.5 <>  4.0 |      0 |     0 |
|  4.0 <>  4.5 |      1 |    64 |
|  4.5 <>  5.0 |      2 |   529 |
|  5.0 <>  5.5 |      4 |  1153 |
|  5.5 <>  6.0 |     10 |  2829 |
|  6.0 <>  6.5 |      1 |    76 |
|  6.5 <>  7.0 |      1 |    76 |
|  7.0 <>  7.5 |      5 |  4444 |
|  7.5 <>  8.0 |      0 |     0 |
|  8.0 <>  8.5 |      1 |  1436 |
|  8.5 <>  9.0 |      7 |  8684 |
|  9.0 <>  9.5 |      4 |  4376 |
|  9.5 <> 10.0 |      5 |  4452 |
| 10.0 <> 10.5 |      1 |  1436 |
| 10.5 <> 11.0 |      5 |  3740 |
| 11.0 <> 11.5 |      1 |  1436 |
| 11.5 <> 12.0 |      0 |     0 |
| 12.0 <> 12.5 |      0 |     0 |
| 12.5 <> 13.0 |      0 |     0 |
| 13.0 <> 13.5 |     16 | 12857 |
| 13.5 <> 14.0 |      1 |  1436 |
| 14.0 <> 14.5 |     13 | 15948 |
| 14.5 <> 15.0 |      0 |     0 |
| 15.0 <> 15.5 |      0 |     0 |
| 15.5 <> 16.0 |      1 |  1436 |
| 16.0 <> 16.5 |      4 |  4376 |
| 16.5 <> 17.0 |      0 |     0 |
| 17.0 <> 17.5 |      7 |  5980 |
| 17.5 <> 18.0 |      2 |  1767 |
| 18.0 <> 18.5 |      1 |  1436 |
| 18.5 <> 19.0 |      8 |  7784 |
| 19.0 <> 19.5 |      3 |  4308 |
| 19.5 <> 20.0 |      0 |     0 |
| 20.0 <> 20.5 |      6 |  7602 |
| 20.5 <> 21.0 |      6 |  5505 |
| 21.0 <> 21.5 |      1 |  1436 |
| 21.5 <> 22.0 |      6 |  6234 |
| 22.0 <> 22.5 |      4 |  4986 |
| 22.5 <> 23.0 |      1 |  1436 |
| 23.0 <> 23.5 |      4 |  5373 |
| 23.5 <> 24.0 |      1 |  1436 |
| 24.0 <> 24.5 |      7 |  6283 |
| 24.5 <> 25.0 |      7 |  2414 |
| 25.0 <> 25.5 |      6 |  6676 |
| 25.5 <> 26.0 |     11 |  5384 |
| 26.0 <> 26.5 |      0 |     0 |
| 26.5 <> 27.0 |      7 |  6218 |
| 27.0 <> 27.5 |      4 |  1747 |
| 27.5 <> 28.0 |      4 |  5724 |
| 28.0 <> 28.5 |      6 |  4144 |
| 28.5 <> 29.0 |      6 |  4230 |
| 29.0 <> 29.5 |      4 |  5684 |
| 29.5 <> 30.0 |      0 |     0 |
| 30.0 <> 30.5 |     10 |  7508 |
| 30.5 <> 31.0 |      1 |  1416 |
| 31.0 <> 31.5 |     13 |  7908 |
| 31.5 <> 32.0 |      0 |     0 |
| 32.0 <> 32.5 |      4 |  5349 |
| 32.5 <> 33.0 |      0 |     0 |
| 33.0 <> 33.5 |      0 |     0 |
| 33.5 <> 34.0 |      1 |    68 |
| 34.0 <> 34.5 |      0 |     0 |
| 34.5 <> 35.0 |      0 |     0 |
| 35.0 <> 35.5 |      0 |     0 |
| 35.5 <> 36.4 |      0 |     0 |
=================================
