72.8.180.58,106.211.78.227,112,0.000000000,0.0004,0 objects
106.211.78.227,98.124.156.54,204,0.016283000,0.4696,0 objects
106.211.78.227,98.124.156.54,432,0.413599000,82.6197,0 objects
106.211.78.227,54.243.145.108,1381,0.750350000,1.2351,1 objects with urls like: http://ping.chartbeat.net/ping?h=timesofindia.indi...
106.211.78.227,54.243.47.172,424,1.003033000,2.0060,0 objects
106.211.78.227,173.194.36.111,1613,4.015207000,94.6894,0 objects
106.211.78.227,50.22.231.38,2130,5.721163000,47.7922,0 objects
106.211.78.227,23.21.95.104,204,6.187092000,0.3473,0 objects
106.211.78.227,96.17.182.40,169858,10.748562000,104.7161,38 objects with urls like: http://timesofindia.indiatimes.com/breakingnews/br...
106.211.78.227,98.124.156.54,136,12.705114000,0.0002,0 objects
106.211.78.227,54.243.145.108,1450,15.751950000,1.0901,1 objects with urls like: http://ping.chartbeat.net/ping?h=timesofindia.indi...
106.211.78.227,54.243.47.172,424,16.001365000,2.0438,0 objects
106.211.78.227,98.124.156.54,204,22.130511000,0.4587,0 objects
106.211.78.227,98.124.156.54,204,22.130826000,0.4586,0 objects
106.211.78.227,96.17.182.40,24318,25.106305000,6.3236,10 objects with urls like: http://timesofindia.indiatimes.com/css_min.cms?ver...
106.211.78.227,96.17.182.40,14349,25.107630000,6.4426,8 objects with urls like: http://timesofindia.indiatimes.com/before_body_js....
106.211.78.227,96.17.182.40,18306,25.108375000,6.4316,8 objects with urls like: http://timesofindia.indiatimes.com/double_google_a...
106.211.78.227,23.35.36.211,776,25.109739000,0.1394,1 objects with urls like: http://cdn.optimizely.com/js/83181943.js	25.109739...
106.211.78.227,96.17.182.40,36915,25.126299000,55.3234,14 objects with urls like: http://timesofindia.indiatimes.com/photo/19479988....
106.211.78.227,96.17.182.40,10892,25.131343000,47.8469,5 objects with urls like: http://timesofindia.indiatimes.com/photo/16627036....
106.211.78.227,96.17.182.73,3691,25.186935000,15.3829,2 objects with urls like: http://static.rewards.indiatimes.com/js/lb.js	25.6...
106.211.78.227,223.165.31.15,1627,25.202017000,0.6974,1 objects with urls like: http://ads.indiatimes.com/ads.dll/genptypead?sloti...
106.211.78.227,96.17.182.65,31559,25.206832000,38.1779,6 objects with urls like: http://adscontent2.indiatimes.com/nsjsonrequest_v1...
106.211.78.227,74.125.135.95,940,25.209433000,0.7101,1 objects with urls like: http://ajax.googleapis.com/ajax/libs/jquery/1.8.1/...
106.211.78.227,223.165.31.12,929,25.301979000,0.4532,1 objects with urls like: http://netspiderads3.indiatimes.com/ads.dll/getjso...
106.211.78.227,96.17.182.40,93708,25.355649000,77.0749,17 objects with urls like: http://timesofindia.indiatimes.com/photo/4467783.c...
106.211.78.227,173.194.36.89,16158,25.374091000,12.9960,2 objects with urls like: http://www.googletagservices.com/tag/js/gpt.js	25....
106.211.78.227,173.194.36.73,2116,25.378082000,0.8414,2 objects with urls like: http://www.google-analytics.com/ga.js	25.378082000...
106.211.78.227,96.17.182.43,3183,25.378898000,0.6483,2 objects with urls like: http://b.scorecardresearch.com/beacon.js	25.378898...
106.211.78.227,96.17.182.57,424,25.684508000,5.8255,0 objects
106.211.78.227,96.17.182.65,424,25.742490000,5.7673,0 objects
106.211.78.227,74.125.135.95,424,25.746754000,5.8846,0 objects
106.211.78.227,223.165.31.15,416,25.755208000,5.7955,0 objects
106.211.78.227,223.165.31.15,416,25.760545000,5.7903,0 objects
106.211.78.227,74.125.135.95,368,25.762177000,5.8314,0 objects
106.211.78.227,96.17.182.73,424,25.763808000,5.7464,0 objects
106.211.78.227,96.17.182.66,424,25.765616000,5.7445,0 objects
106.211.78.227,223.165.31.12,929,25.766573000,0.0930,1 objects with urls like: http://netspiderads3.indiatimes.com/ads.dll/getjso...
106.211.78.227,173.194.36.90,424,25.780835000,5.7696,0 objects
106.211.78.227,74.125.236.25,492,25.810186000,5.7396,0 objects
106.211.78.227,223.165.31.12,929,25.860573000,0.1087,1 objects with urls like: http://netspiderads3.indiatimes.com/ads.dll/getjso...
106.211.78.227,223.165.31.12,9376,26.011950000,14.6589,5 objects with urls like: http://netspiderads3.indiatimes.com/ads.dll/getjso...
106.211.78.227,173.194.36.90,25042,26.624037000,14.1452,2 objects with urls like: http://partner.googleadservices.com/gampad/google_...
106.211.78.227,23.35.36.211,1072,27.890406000,0.5501,1 objects with urls like: http://cdn3.optimizely.com/js/geo.js	28.160292000...
106.211.78.227,23.21.95.104,1603,27.899398000,71.0787,1 objects with urls like: http://83181943.log.optimizely.com/event?a=8318194...
106.211.78.227,173.194.36.77,4499,27.907682000,18.7819,2 objects with urls like: http://pubads.g.doubleclick.net/gampad/ads?gdfp_re...
106.211.78.227,184.73.178.248,424,28.144410000,6.5356,0 objects
106.211.78.227,54.235.79.95,424,28.430671000,6.2494,0 objects
106.211.78.227,23.35.36.211,424,28.442900000,6.1673,0 objects
106.211.78.227,173.194.36.91,3250,28.500158000,2.0091,2 objects with urls like: http://ad.doubleclick.net/N7176/adj/IPL2013_MKT/IP...
106.211.78.227,23.23.172.8,424,28.792412000,5.9289,0 objects
106.211.78.227,223.165.24.181,3554,28.821676000,16.3918,2 objects with urls like: http://adsmediaturf.indiatimes.com/creatives/2013/...
106.211.78.227,223.165.31.12,1874,30.095412000,0.2141,1 objects with urls like: http://netspiderads3.indiatimes.com/ads.dll/getad?...
106.211.78.227,96.17.182.65,66719,30.244340000,4.3412,4 objects with urls like: http://adscontent3.indiatimes.com/photo/18991523.c...
106.211.78.227,96.17.182.65,424,30.328387000,6.3906,0 objects
106.211.78.227,96.17.182.65,424,30.362653000,6.3561,0 objects
106.211.78.227,223.165.25.205,1247,31.075857000,0.1438,1 objects with urls like: http://geodataservice205.indiatimes.com/getGeo.asp...
