0,72.8.180.58,106.211.78.227,112,0.000000000,0.0004,0,
1,106.211.78.227,98.124.156.54,204,0.016283000,0.4696,0,
2,106.211.78.227,98.124.156.54,432,0.413599000,82.6197,0,
3,106.211.78.227,54.243.145.108,1381,0.750350000,1.2351,1,'http://ping.chartbeat.net/ping?h=timesofindia.indiatimes.com&p=%2F&u=vgx7qym1dwlreh01&d=timesofindia.indiatimes.com&g=10538&g0=Home%20Page&n=1&f=1&c=0.5&x=4071&y=5370&w=1544&j=30&R=1&W=0&I=0&E=30&b=19031&t=64hfgri3fjwdgrkz&V=8&_'::1.146007000
4,106.211.78.227,54.243.47.172,424,1.003033000,2.0060,0,
5,106.211.78.227,173.194.36.111,1613,4.015207000,94.6894,0,
6,106.211.78.227,50.22.231.38,2130,5.721163000,47.7922,0,
7,106.211.78.227,23.21.95.104,204,6.187092000,0.3473,0,
8,106.211.78.227,96.17.182.40,169858,10.748562000,104.7161,38,"'http://timesofindia.indiatimes.com/breakingnews/breakingnews.html'::10.748562000, 'http://timesofindia.indiatimes.com/breakingnews/breakingnews.html'::23.331598000, 'http://timesofindia.indiatimes.com/'::24.706906000, 'http://timesofindia.indiatimes.com/tpoint_js_v12.cms?version=6'::25.199690000, 'http://timesofindia.indiatimes.com/after_body_js.cms?version=12'::25.304308000, 'http://timesofindia.indiatimes.com/photo.cms?msid=9649288'::26.902354000, 'http://timesofindia.indiatimes.com/photo/9719649.cms'::29.908059000, 'http://timesofindia.indiatimes.com/photo/9783775.cms'::30.571501000, 'http://timesofindia.indiatimes.com/configspace/ads/TOI_home_top.html'::31.287483000, 'http://timesofindia.indiatimes.com/photo/4583284.cms'::31.708915000, 'http://timesofindia.indiatimes.com/photo/12502589.cms'::32.050426000, 'http://timesofindia.indiatimes.com/niftysensexhome1.cms'::32.532390000, 'http://timesofindia.indiatimes.com/configspace/ads/toigoogleads.html'::32.690914000, 'http://timesofindia.indiatimes.com/photo/17572538.cms'::33.213319000, 'http://timesofindia.indiatimes.com/photo/17489305.cms'::33.711492000, 'http://timesofindia.indiatimes.com/photo/11339279.cms'::35.381899000, 'http://timesofindia.indiatimes.com/shadiadcodenri.cms?section=homepage'::36.151201000, 'http://timesofindia.indiatimes.com/photo/17767460.cms'::37.983663000, 'http://timesofindia.indiatimes.com/photo/11788630.cms'::38.734256000, 'http://timesofindia.indiatimes.com/poll.cms'::40.272672000, 'http://timesofindia.indiatimes.com/photo/4410559.cms'::42.079756000, 'http://timesofindia.indiatimes.com/configspace/xml/TOI-R2I-Thumbnail2.gif'::43.634725000, 'http://timesofindia.indiatimes.com/photo/5715878.cms'::46.698545000, 'http://timesofindia.indiatimes.com/shopadcode.cms'::61.522818000, 'http://timesofindia.indiatimes.com/latestnewstab/1221656.cms'::62.608369000, 'http://timesofindia.indiatimes.com/thumb/5261288.cms?width=81&height=53'::63.221851000, 'http://timesofindia.indiatimes.com/photo/4156181.cms'::69.552318000, 'http://timesofindia.indiatimes.com/thumb/19481686.cms?width=81&height=53'::72.597108000, 'http://timesofindia.indiatimes.com/thumb/19480072.cms?width=88&height=65'::72.741398000, 'http://timesofindia.indiatimes.com/thumb/19475233.cms?width=81&height=53'::72.842730000, 'http://timesofindia.indiatimes.com/photo/4764250.cms'::72.901698000, 'http://timesofindia.indiatimes.com/ipl2013widgethome.cms'::80.115313000, 'http://timesofindia.indiatimes.com/iplwidgetcss.cms?version=4'::82.100529000, 'http://timesofindia.indiatimes.com/breakingnews/breakingnews.html'::98.408513000, 'http://timesofindia.indiatimes.com/photo/18627811.cms'::99.561429000, 'http://timesofindia.indiatimes.com/photo/18627825.cms'::101.559170000, 'http://timesofindia.indiatimes.com/breakingnews/breakingnews.html'::112.834972000, 'http://timesofindia.indiatimes.com/breakingnews/breakingnews.html'::113.733282000"
9,106.211.78.227,98.124.156.54,136,12.705114000,0.0002,0,
10,106.211.78.227,54.243.145.108,1450,15.751950000,1.0901,1,'http://ping.chartbeat.net/ping?h=timesofindia.indiatimes.com&p=%2F&u=vgx7qym1dwlreh01&d=timesofindia.indiatimes.com&g=10538&g0=Home%20Page&n=1&f=1&c=0.75&x=4071&y=5370&w=1544&j=45&R=1&W=0&I=0&E=30&b=19031&t=64hfgri3fjwdgrkz&V=8&_'::16.157886000
11,106.211.78.227,54.243.47.172,424,16.001365000,2.0438,0,
12,106.211.78.227,98.124.156.54,204,22.130511000,0.4587,0,
13,106.211.78.227,98.124.156.54,204,22.130826000,0.4586,0,
