
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: ip.src==106.211.78.227   |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |      4 |   268 |
|   0.5 <>   1.0 |      1 |    76 |
|   1.0 <>   1.5 |      4 |   780 |
|   1.5 <>   2.0 |      2 |   136 |
|   2.0 <>   2.5 |      0 |     0 |
|   2.5 <>   3.0 |      1 |    68 |
|   3.0 <>   3.5 |      0 |     0 |
|   3.5 <>   4.0 |      0 |     0 |
|   4.0 <>   4.5 |      2 |   173 |
|   4.5 <>   5.0 |      0 |     0 |
|   5.0 <>   5.5 |      0 |     0 |
|   5.5 <>   6.0 |      2 |   153 |
|   6.0 <>   6.5 |      3 |   205 |
|   6.5 <>   7.0 |      1 |   190 |
|   7.0 <>   7.5 |      4 |   273 |
|   7.5 <>   8.0 |      1 |   144 |
|   8.0 <>   8.5 |      1 |    68 |
|   8.5 <>   9.0 |      0 |     0 |
|   9.0 <>   9.5 |      0 |     0 |
|   9.5 <>  10.0 |      0 |     0 |
|  10.0 <>  10.5 |      0 |     0 |
|  10.5 <>  11.0 |      2 |  1185 |
|  11.0 <>  11.5 |      0 |     0 |
|  11.5 <>  12.0 |      0 |     0 |
|  12.0 <>  12.5 |      1 |    76 |
|  12.5 <>  13.0 |      2 |   136 |
|  13.0 <>  13.5 |      0 |     0 |
|  13.5 <>  14.0 |      0 |     0 |
|  14.0 <>  14.5 |      0 |     0 |
|  14.5 <>  15.0 |      0 |     0 |
|  15.0 <>  15.5 |      0 |     0 |
|  15.5 <>  16.0 |      1 |    76 |
|  16.0 <>  16.5 |      4 |   781 |
|  16.5 <>  17.0 |      3 |   204 |
|  17.0 <>  17.5 |      0 |     0 |
|  17.5 <>  18.0 |      2 |   136 |
|  18.0 <>  18.5 |      0 |     0 |
|  18.5 <>  19.0 |      0 |     0 |
|  19.0 <>  19.5 |      0 |     0 |
|  19.5 <>  20.0 |      0 |     0 |
|  20.0 <>  20.5 |      0 |     0 |
|  20.5 <>  21.0 |      0 |     0 |
|  21.0 <>  21.5 |      0 |     0 |
|  21.5 <>  22.0 |      0 |     0 |
|  22.0 <>  22.5 |      2 |   136 |
|  22.5 <>  23.0 |      0 |     0 |
|  23.0 <>  23.5 |      1 |  1229 |
|  23.5 <>  24.0 |      1 |    68 |
|  24.0 <>  24.5 |      0 |     0 |
|  24.5 <>  25.0 |     11 |  1721 |
|  25.0 <>  25.5 |     80 | 36154 |
|  25.5 <>  26.0 |     52 |  9030 |
|  26.0 <>  26.5 |      8 |  2201 |
|  26.5 <>  27.0 |      8 |  5251 |
|  27.0 <>  27.5 |      9 |   612 |
|  27.5 <>  28.0 |      4 |  2249 |
|  28.0 <>  28.5 |     13 |  1898 |
|  28.5 <>  29.0 |      9 |  1837 |
|  29.0 <>  29.5 |      2 |   136 |
|  29.5 <>  30.0 |      2 |  1665 |
|  30.0 <>  30.5 |     36 |  5600 |
|  30.5 <>  31.0 |      8 |  3202 |
|  31.0 <>  31.5 |     39 | 12436 |
|  31.5 <>  32.0 |     19 |  2935 |
|  32.0 <>  32.5 |     10 |  3604 |
|  32.5 <>  33.0 |     38 |  6412 |
|  33.0 <>  33.5 |     12 |  4692 |
|  33.5 <>  34.0 |     29 |  3860 |
|  34.0 <>  34.5 |     20 |  1372 |
|  34.5 <>  35.0 |     13 |   920 |
|  35.0 <>  35.5 |      2 |  1910 |
|  35.5 <>  36.0 |      3 |   204 |
|  36.0 <>  36.5 |      7 |  4524 |
|  36.5 <>  37.0 |     21 |  1428 |
|  37.0 <>  37.5 |      0 |     0 |
|  37.5 <>  38.0 |      2 |  1931 |
|  38.0 <>  38.5 |     27 |  3128 |
|  38.5 <>  39.0 |      3 |  1104 |
|  39.0 <>  39.5 |      6 |   408 |
|  39.5 <>  40.0 |      0 |     0 |
|  40.0 <>  40.5 |      6 |  4245 |
|  40.5 <>  41.0 |     29 |  1972 |
|  41.0 <>  41.5 |      0 |     0 |
|  41.5 <>  42.0 |      0 |     0 |
|  42.0 <>  42.5 |      2 |  1921 |
|  42.5 <>  43.0 |      2 |   136 |
|  43.0 <>  43.5 |      0 |     0 |
|  43.5 <>  44.0 |      4 |  2189 |
|  44.0 <>  44.5 |      1 |    68 |
|  44.5 <>  45.0 |      0 |     0 |
|  45.0 <>  45.5 |      1 |    68 |
|  45.5 <>  46.0 |      0 |     0 |
|  46.0 <>  46.5 |      1 |  1188 |
|  46.5 <>  47.0 |      8 |  1498 |
|  47.0 <>  47.5 |      0 |     0 |
|  47.5 <>  48.0 |     16 |  1184 |
|  48.0 <>  48.5 |      5 |   340 |
|  48.5 <>  49.0 |      0 |     0 |
|  49.0 <>  49.5 |      0 |     0 |
|  49.5 <>  50.0 |      0 |     0 |
|  50.0 <>  50.5 |      0 |     0 |
|  50.5 <>  51.0 |      0 |     0 |
|  51.0 <>  51.5 |      0 |     0 |
|  51.5 <>  52.0 |      0 |     0 |
|  52.0 <>  52.5 |      0 |     0 |
|  52.5 <>  53.0 |      1 |    68 |
|  53.0 <>  53.5 |     11 |  1351 |
|  53.5 <>  54.0 |     20 |  1918 |
|  54.0 <>  54.5 |     24 | 10287 |
|  54.5 <>  55.0 |      7 |   510 |
|  55.0 <>  55.5 |     10 |   560 |
|  55.5 <>  56.0 |      8 |   878 |
|  56.0 <>  56.5 |      2 |   787 |
|  56.5 <>  57.0 |      1 |    68 |
|  57.0 <>  57.5 |      2 |   855 |
|  57.5 <>  58.0 |      0 |     0 |
|  58.0 <>  58.5 |      2 |   136 |
|  58.5 <>  59.0 |      1 |   751 |
|  59.0 <>  59.5 |      0 |     0 |
|  59.5 <>  60.0 |      2 |   136 |
|  60.0 <>  60.5 |      0 |     0 |
|  60.5 <>  61.0 |      0 |     0 |
|  61.0 <>  61.5 |      0 |     0 |
|  61.5 <>  62.0 |      4 |  1881 |
|  62.0 <>  62.5 |     11 |  1929 |
|  62.5 <>  63.0 |      6 |  2829 |
|  63.0 <>  63.5 |     10 |  4159 |
|  63.5 <>  64.0 |      5 |   352 |
|  64.0 <>  64.5 |     10 |   728 |
|  64.5 <>  65.0 |      0 |     0 |
|  65.0 <>  65.5 |      0 |     0 |
|  65.5 <>  66.0 |      0 |     0 |
|  66.0 <>  66.5 |      0 |     0 |
|  66.5 <>  67.0 |      0 |     0 |
|  67.0 <>  67.5 |      0 |     0 |
|  67.5 <>  68.0 |      3 |   204 |
|  68.0 <>  68.5 |      1 |    68 |
|  68.5 <>  69.0 |      0 |     0 |
|  69.0 <>  69.5 |      0 |     0 |
|  69.5 <>  70.0 |      6 |  1327 |
|  70.0 <>  70.5 |      3 |   228 |
|  70.5 <>  71.0 |     19 |  2604 |
|  71.0 <>  71.5 |     18 | 10053 |
|  71.5 <>  72.0 |     22 |  4425 |
|  72.0 <>  72.5 |      2 |   136 |
|  72.5 <>  73.0 |     73 | 23598 |
|  73.0 <>  73.5 |      2 |   136 |
|  73.5 <>  74.0 |      0 |     0 |
|  74.0 <>  74.5 |      0 |     0 |
|  74.5 <>  75.0 |      0 |     0 |
|  75.0 <>  75.5 |      0 |     0 |
|  75.5 <>  76.0 |      0 |     0 |
|  76.0 <>  76.5 |      0 |     0 |
|  76.5 <>  77.0 |      2 |   160 |
|  77.0 <>  77.5 |      3 |   228 |
|  77.5 <>  78.0 |      1 |    68 |
|  78.0 <>  78.5 |      7 |   464 |
|  78.5 <>  79.0 |      8 |   532 |
|  79.0 <>  79.5 |      0 |     0 |
|  79.5 <>  80.0 |      0 |     0 |
|  80.0 <>  80.5 |     34 |  7779 |
|  80.5 <>  81.0 |     67 |  4844 |
|  81.0 <>  81.5 |     15 |  1820 |
|  81.5 <>  82.0 |      2 |   144 |
|  82.0 <>  82.5 |     71 | 10166 |
|  82.5 <>  83.0 |     35 |  2380 |
|  83.0 <>  83.5 |      7 |   476 |
|  83.5 <>  84.0 |      2 |   136 |
|  84.0 <>  84.5 |      1 |    68 |
|  84.5 <>  85.0 |      0 |     0 |
|  85.0 <>  85.5 |      0 |     0 |
|  85.5 <>  86.0 |      1 |    80 |
|  86.0 <>  86.5 |      7 |   927 |
|  86.5 <>  87.0 |      1 |    68 |
|  87.0 <>  87.5 |      0 |     0 |
|  87.5 <>  88.0 |      0 |     0 |
|  88.0 <>  88.5 |      1 |    68 |
|  88.5 <>  89.0 |      0 |     0 |
|  89.0 <>  89.5 |      0 |     0 |
|  89.5 <>  90.0 |      0 |     0 |
|  90.0 <>  90.5 |      0 |     0 |
|  90.5 <>  91.0 |      0 |     0 |
|  91.0 <>  91.5 |      0 |     0 |
|  91.5 <>  92.0 |      1 |    80 |
|  92.0 <>  92.5 |      1 |    80 |
|  92.5 <>  93.0 |      0 |     0 |
|  93.0 <>  93.5 |      0 |     0 |
|  93.5 <>  94.0 |      0 |     0 |
|  94.0 <>  94.5 |      0 |     0 |
|  94.5 <>  95.0 |      0 |     0 |
|  95.0 <>  95.5 |      0 |     0 |
|  95.5 <>  96.0 |      0 |     0 |
|  96.0 <>  96.5 |      0 |     0 |
|  96.5 <>  97.0 |      0 |     0 |
|  97.0 <>  97.5 |      0 |     0 |
|  97.5 <>  98.0 |      2 |   136 |
|  98.0 <>  98.5 |     26 |  3785 |
|  98.5 <>  99.0 |     31 |  2757 |
|  99.0 <>  99.5 |     31 |  3661 |
|  99.5 <> 100.0 |     21 |  2902 |
| 100.0 <> 100.5 |      9 |   696 |
| 100.5 <> 101.0 |      4 |   285 |
| 101.0 <> 101.5 |      0 |     0 |
| 101.5 <> 102.0 |      2 |  1876 |
| 102.0 <> 102.5 |      2 |   136 |
| 102.5 <> 103.0 |      0 |     0 |
| 103.0 <> 103.5 |      1 |    68 |
| 103.5 <> 104.0 |      1 |    68 |
| 104.0 <> 104.5 |     12 |   861 |
| 104.5 <> 105.0 |      6 |   408 |
| 105.0 <> 105.5 |      0 |     0 |
| 105.5 <> 106.0 |      0 |     0 |
| 106.0 <> 106.5 |      0 |     0 |
| 106.5 <> 107.0 |      0 |     0 |
| 107.0 <> 107.5 |      0 |     0 |
| 107.5 <> 108.0 |      0 |     0 |
| 108.0 <> 108.5 |      0 |     0 |
| 108.5 <> 109.0 |      0 |     0 |
| 109.0 <> 109.5 |      0 |     0 |
| 109.5 <> 110.0 |      0 |     0 |
| 110.0 <> 110.5 |      0 |     0 |
| 110.5 <> 111.0 |      0 |     0 |
| 111.0 <> 111.5 |      0 |     0 |
| 111.5 <> 112.0 |      0 |     0 |
| 112.0 <> 112.5 |      0 |     0 |
| 112.5 <> 113.0 |      1 |  1066 |
| 113.0 <> 113.5 |      0 |     0 |
| 113.5 <> 114.0 |      3 |  1234 |
| 114.0 <> 114.5 |      1 |    76 |
| 114.5 <> 115.0 |      1 |    76 |
| 115.0 <> 115.5 |      4 |   292 |
| 115.5 <> 116.0 |     10 |  1343 |
| 116.0 <> 116.5 |      1 |    68 |
| 116.5 <> 117.0 |      0 |     0 |
| 117.0 <> 117.5 |      6 |   408 |
| 117.5 <> 118.0 |      1 |    80 |
| 118.0 <> 118.5 |      4 |   296 |
| 118.5 <> 119.0 |      0 |     0 |
| 119.0 <> 119.5 |      0 |     0 |
| 119.5 <> 120.0 |      0 |     0 |
| 120.0 <> 120.5 |      0 |     0 |
| 120.5 <> 121.0 |      0 |     0 |
| 121.0 <> 121.5 |      2 |   136 |
| 121.5 <> 122.0 |      0 |     0 |
| 122.0 <> 122.5 |      2 |   136 |
| 122.5 <> 123.0 |      0 |     0 |
| 123.0 <> 123.5 |      0 |     0 |
| 123.5 <> 124.0 |      0 |     0 |
| 124.0 <> 124.5 |      0 |     0 |
| 124.5 <> 125.0 |      0 |     0 |
| 125.0 <> 125.6 |      0 |     0 |
===================================
