223.184.16.243,107.20.164.39,1571,0.001779000,1.5765,1 objects with urls like: http://data.mobclix.com/post/config?p=android&a=B2...
223.184.16.243,184.73.197.27,2330,1.397118000,1.8477,1 objects with urls like: http://ads.mobclix.com/?p=android&i=B2AA25CC-205D-...
223.184.16.243,23.23.212.172,1211,3.364112000,1.7305,1 objects with urls like: http://s.mobclix.com/imp?rid=8f056f066645409e9c4d4...
223.184.16.243,23.23.212.172,360,3.411204000,3.0050,0 objects
223.184.16.243,125.252.226.153,48534,24.068241000,7.6144,2 objects with urls like: http://timesofindia.indiatimes.com/	24.164608000...
223.184.16.243,125.252.226.153,13191,24.542898000,3.1394,2 objects with urls like: http://timesofindia.indiatimes.com/thumb/19496880....
223.184.16.243,125.252.226.153,6714,24.552487000,3.2218,2 objects with urls like: http://timesofindia.indiatimes.com/photo/19494650....
223.184.16.243,125.252.226.153,728,24.601296000,3.1231,0 objects
223.184.16.243,125.252.226.153,728,24.604740000,3.1693,0 objects
223.184.16.243,125.252.226.153,580,24.616335000,2.2062,0 objects
223.184.16.243,125.252.226.153,580,24.618273000,2.2764,0 objects
223.184.16.243,125.252.226.153,580,24.619980000,2.3250,0 objects
223.184.16.243,125.252.226.153,580,24.626592000,2.3744,0 objects
223.184.16.243,125.252.226.153,580,24.628029000,2.6531,0 objects
223.184.16.243,125.252.226.153,580,24.629290000,2.7173,0 objects
223.184.16.243,125.252.226.153,580,24.630269000,2.7362,0 objects
223.184.16.243,125.252.226.153,580,24.631582000,2.7525,0 objects
223.184.16.243,125.252.226.153,580,24.632609000,2.7523,0 objects
223.184.16.243,125.252.226.153,580,24.634523000,2.7500,0 objects
223.184.16.243,74.125.236.15,4935,25.191696000,92.2321,0 objects
223.184.16.243,23.35.36.211,1242,25.225068000,5.9795,1 objects with urls like: http://cdn.optimizely.com/js/83181943.js	26.785054...
223.184.16.243,125.252.226.153,580,25.755615000,2.4108,0 objects
223.184.16.243,125.252.226.153,580,25.756025000,2.3685,0 objects
223.184.16.243,125.252.226.153,424,25.756286000,2.3681,0 objects
223.184.16.243,125.252.226.153,424,25.756527000,5.4261,0 objects
223.184.16.243,125.252.226.153,424,25.756752000,5.3902,0 objects
223.184.16.243,125.252.226.153,424,25.756974000,5.3455,0 objects
223.184.16.243,125.252.226.153,424,25.757191000,2.5258,0 objects
223.184.16.243,125.252.226.153,580,25.757411000,5.2856,0 objects
223.184.16.243,125.252.226.153,424,25.757634000,5.2251,0 objects
223.184.16.243,125.252.226.153,580,25.757854000,5.2050,0 objects
223.184.16.243,125.252.226.153,580,25.758070000,5.1851,0 objects
223.184.16.243,125.252.226.153,580,25.758322000,7.3558,0 objects
223.184.16.243,125.252.226.153,580,25.758566000,7.3555,0 objects
