
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: ip.dst==223.184.16.243   |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |      2 |   186 |
|   0.5 <>   1.0 |      0 |     0 |
|   1.0 <>   1.5 |      4 |   910 |
|   1.5 <>   2.0 |      2 |   128 |
|   2.0 <>   2.5 |      0 |     0 |
|   2.5 <>   3.0 |      4 |  1297 |
|   3.0 <>   3.5 |      2 |   179 |
|   3.5 <>   4.0 |      2 |   120 |
|   4.0 <>   4.5 |      0 |     0 |
|   4.5 <>   5.0 |      3 |   377 |
|   5.0 <>   5.5 |      1 |    56 |
|   5.5 <>   6.0 |      0 |     0 |
|   6.0 <>   6.5 |      1 |    56 |
|   6.5 <>   7.0 |      0 |     0 |
|   7.0 <>   7.5 |      0 |     0 |
|   7.5 <>   8.0 |      0 |     0 |
|   8.0 <>   8.5 |      0 |     0 |
|   8.5 <>   9.0 |      0 |     0 |
|   9.0 <>   9.5 |      0 |     0 |
|   9.5 <>  10.0 |      0 |     0 |
|  10.0 <>  10.5 |      0 |     0 |
|  10.5 <>  11.0 |      0 |     0 |
|  11.0 <>  11.5 |      0 |     0 |
|  11.5 <>  12.0 |      0 |     0 |
|  12.0 <>  12.5 |      0 |     0 |
|  12.5 <>  13.0 |      0 |     0 |
|  13.0 <>  13.5 |      0 |     0 |
|  13.5 <>  14.0 |      0 |     0 |
|  14.0 <>  14.5 |      0 |     0 |
|  14.5 <>  15.0 |      0 |     0 |
|  15.0 <>  15.5 |      0 |     0 |
|  15.5 <>  16.0 |      0 |     0 |
|  16.0 <>  16.5 |      0 |     0 |
|  16.5 <>  17.0 |      0 |     0 |
|  17.0 <>  17.5 |      0 |     0 |
|  17.5 <>  18.0 |      0 |     0 |
|  18.0 <>  18.5 |      0 |     0 |
|  18.5 <>  19.0 |      0 |     0 |
|  19.0 <>  19.5 |      0 |     0 |
|  19.5 <>  20.0 |      0 |     0 |
|  20.0 <>  20.5 |      0 |     0 |
|  20.5 <>  21.0 |      0 |     0 |
|  21.0 <>  21.5 |      0 |     0 |
|  21.5 <>  22.0 |      0 |     0 |
|  22.0 <>  22.5 |      0 |     0 |
|  22.5 <>  23.0 |      0 |     0 |
|  23.0 <>  23.5 |      0 |     0 |
|  23.5 <>  24.0 |      0 |     0 |
|  24.0 <>  24.5 |      6 |  4657 |
|  24.5 <>  25.0 |     15 | 17464 |
|  25.0 <>  25.5 |     15 |  3974 |
|  25.5 <>  26.0 |     15 |  7161 |
|  26.0 <>  26.5 |     16 | 15763 |
|  26.5 <>  27.0 |     15 |  4364 |
|  27.0 <>  27.5 |     23 |  1709 |
|  27.5 <>  28.0 |     27 | 13060 |
|  28.0 <>  28.5 |     11 |   804 |
|  28.5 <>  29.0 |      6 |  3344 |
|  29.0 <>  29.5 |     10 |  1474 |
|  29.5 <>  30.0 |      7 |  3215 |
|  30.0 <>  30.5 |      4 |   449 |
|  30.5 <>  31.0 |      9 |  1634 |
|  31.0 <>  31.5 |     13 |   920 |
|  31.5 <>  32.0 |     23 |  3010 |
|  32.0 <>  32.5 |     13 |  1701 |
|  32.5 <>  33.0 |      8 |   832 |
|  33.0 <>  33.5 |      4 |   280 |
|  33.5 <>  34.0 |      3 |   515 |
|  34.0 <>  34.5 |     21 |  2104 |
|  34.5 <>  35.0 |     17 |  2265 |
|  35.0 <>  35.5 |      6 |  1252 |
|  35.5 <>  36.0 |      9 |   668 |
|  36.0 <>  36.5 |     21 |  4224 |
|  36.5 <>  37.0 |      0 |     0 |
|  37.0 <>  37.5 |      1 |    68 |
|  37.5 <>  38.0 |      0 |     0 |
|  38.0 <>  38.5 |      3 |   407 |
|  38.5 <>  39.0 |      6 |   838 |
|  39.0 <>  39.5 |      0 |     0 |
|  39.5 <>  40.0 |      1 |   469 |
|  40.0 <>  40.5 |      2 |  1195 |
|  40.5 <>  41.0 |      2 |   401 |
|  41.0 <>  41.5 |      2 |   877 |
|  41.5 <>  42.0 |      2 |  1140 |
