27.60.1.124,107.20.164.42,1439,0.000000000,1.3849,1 objects with urls like: http://data.mobclix.com/post/config?p=android&a=B2...
27.60.1.124,174.129.198.92,3168,0.898581000,4.0651,1 objects with urls like: http://ads.mobclix.com/?p=android&i=B2AA25CC-205D-...
27.60.1.124,23.23.212.172,1210,5.126101000,1.8439,1 objects with urls like: http://s.mobclix.com/imp?rid=bc28939519b44860bd3e6...
27.60.1.124,199.217.116.36,1706,5.325152000,5.1946,1 objects with urls like: http://falcon839.startdedicated.com/oapi/getAd.jsp...
27.60.1.124,199.217.116.36,580,5.375268000,5.1444,0 objects
27.60.1.124,23.23.212.172,360,5.375993000,3.0628,0 objects
27.60.1.124,68.232.45.253,21038,12.729605000,5.9138,1 objects with urls like: http://creative1cdn.mobfox.com/12429-30822-300x50....
27.60.1.124,173.194.36.82,4929,15.247498000,2.8279,0 objects
27.60.1.124,173.194.36.82,4630,17.864853000,1.5527,0 objects
27.60.1.124,173.194.36.82,4659,19.212962000,1.5641,0 objects
27.60.1.124,173.194.36.82,4566,20.585658000,1.5337,0 objects
27.60.1.124,173.194.36.82,4636,21.942800000,1.5343,0 objects
27.60.1.124,173.194.36.82,4574,23.286701000,1.4884,0 objects
27.60.1.124,173.194.36.82,4645,24.584383000,1.4712,0 objects
27.60.1.124,173.194.36.82,4645,25.862041000,1.7331,0 objects
27.60.1.124,96.17.182.40,119038,27.669761000,217.9125,24 objects with urls like: http://timesofindia.indiatimes.com/	27.669761000...
27.60.1.124,23.35.36.211,1242,28.122621000,10.5149,1 objects with urls like: http://cdn.optimizely.com/js/83181943.js	28.497534...
27.60.1.124,173.194.36.79,6056,28.125870000,187.4876,0 objects
27.60.1.124,173.194.36.65,2384,28.294789000,10.3166,1 objects with urls like: http://www.google-analytics.com/__utm.gif?utmwv=5....
27.60.1.124,96.17.182.41,1997,28.297814000,10.3295,1 objects with urls like: http://b.scorecardresearch.com/b?c1=2&c2=6036484&n...
27.60.1.124,173.194.36.122,16598,28.301158000,16.6481,2 objects with urls like: http://www.googletagservices.com/tag/js/gpt.js	29....
27.60.1.124,23.35.36.211,424,28.368735000,6.3308,0 objects
27.60.1.124,173.194.36.79,6555,28.371829000,188.1125,0 objects
27.60.1.124,173.194.36.65,892,28.430293000,6.2872,0 objects
27.60.1.124,96.17.182.41,1573,28.433719000,11.8158,1 objects with urls like: http://b.scorecardresearch.com/b2?c1=2&c2=6036484&...
27.60.1.124,23.35.36.211,424,28.450452000,6.2132,0 objects
27.60.1.124,173.194.36.122,736,28.450997000,7.4199,0 objects
27.60.1.124,96.17.182.57,424,28.463802000,7.3741,0 objects
27.60.1.124,223.165.31.15,1155,28.470601000,5.7629,1 objects with urls like: http://ads.indiatimes.com/ads.dll/genptypead?sloti...
27.60.1.124,74.125.135.95,640,28.475385000,7.4438,0 objects
27.60.1.124,223.165.31.12,431,28.480515000,1.4810,1 objects with urls like: http://netspiderads3.indiatimes.com/ads.dll/getjso...
27.60.1.124,223.165.31.15,416,28.498284000,7.2388,0 objects
27.60.1.124,173.194.36.65,736,28.498466000,7.3721,0 objects
27.60.1.124,96.17.182.41,424,28.498623000,7.3233,0 objects
27.60.1.124,173.194.38.162,640,28.536984000,7.3819,0 objects
27.60.1.124,96.17.182.41,424,28.540214000,7.2819,0 objects
27.60.1.124,173.194.36.122,736,28.543297000,7.3268,0 objects
27.60.1.124,173.194.38.162,640,28.674073000,9.2096,0 objects
27.60.1.124,96.17.182.41,424,28.677006000,9.1223,0 objects
27.60.1.124,23.35.36.211,424,28.695081000,9.0651,0 objects
27.60.1.124,173.194.36.122,736,28.695537000,9.1035,0 objects
27.60.1.124,96.17.182.57,424,28.707770000,9.0328,0 objects
27.60.1.124,223.165.31.15,576,28.714843000,7.0102,0 objects
27.60.1.124,74.125.135.95,776,28.719985000,9.0899,0 objects
27.60.1.124,223.165.31.15,416,28.745312000,9.2021,0 objects
27.60.1.124,173.194.38.162,776,28.746052000,9.2634,0 objects
27.60.1.124,96.17.182.41,424,28.746735000,9.0607,0 objects
27.60.1.124,223.165.31.12,431,29.963466000,3.6902,1 objects with urls like: http://netspiderads3.indiatimes.com/ads.dll/getjso...
27.60.1.124,173.194.36.77,25015,31.759719000,17.0294,2 objects with urls like: http://partner.googleadservices.com/gampad/google_...
27.60.1.124,173.194.36.89,616,32.013309000,11.9742,0 objects
27.60.1.124,173.194.36.77,616,32.380949000,11.7383,0 objects
27.60.1.124,173.194.36.89,424,32.634811000,8.7503,0 objects
27.60.1.124,223.165.31.12,431,33.655466000,0.6560,1 objects with urls like: http://netspiderads3.indiatimes.com/ads.dll/getjso...
27.60.1.124,223.165.31.12,7159,34.314362000,9.8237,4 objects with urls like: http://netspiderads3.indiatimes.com/ads.dll/getjso...
27.60.1.124,223.165.31.12,3847,34.563816000,5.7257,2 objects with urls like: http://netspiderads3.indiatimes.com/ads.dll/getad?...
27.60.1.124,23.35.36.211,2278,34.876365000,0.3909,1 objects with urls like: http://cdn3.optimizely.com/js/geo.js	35.102897000...
27.60.1.124,50.17.220.165,1943,34.878435000,61.1790,1 objects with urls like: http://83181943.log.optimizely.com/event?a=8318194...
27.60.1.124,173.194.36.123,5212,34.916776000,2.8722,2 objects with urls like: http://ad.doubleclick.net/N7176/adj/IPL2013_MKT/IP...
27.60.1.124,173.194.36.123,616,35.106828000,9.2386,0 objects
27.60.1.124,50.17.220.165,1756,35.108157000,60.9494,1 objects with urls like: http://83181943.log.optimizely.com/event?a=8318194...
27.60.1.124,50.19.107.188,424,35.124741000,10.6730,0 objects
27.60.1.124,107.22.230.82,424,35.290218000,10.4504,0 objects
27.60.1.124,107.22.230.82,580,35.343795000,10.4459,0 objects
27.60.1.124,50.19.107.188,580,35.351475000,10.4379,0 objects
27.60.1.124,223.165.24.181,3951,35.484629000,5.9542,2 objects with urls like: http://adsmediaturf.indiatimes.com/creatives/2013/...
27.60.1.124,173.194.38.180,112,35.523844000,0.2978,0 objects
27.60.1.124,50.19.107.188,424,35.534311000,10.2059,0 objects
27.60.1.124,223.165.24.181,580,35.570293000,5.8331,0 objects
27.60.1.124,223.165.24.181,580,35.582979000,6.7244,0 objects
27.60.1.124,223.165.24.181,580,35.583256000,6.7321,0 objects
27.60.1.124,50.19.107.188,424,35.587001000,10.1773,0 objects
27.60.1.124,223.165.24.181,580,35.728582000,6.5569,0 objects
27.60.1.124,223.165.24.181,648,35.826234000,10.9057,0 objects
27.60.1.124,223.165.24.181,648,35.840104000,12.0890,0 objects
27.60.1.124,223.165.24.181,648,35.841476000,12.0879,0 objects
27.60.1.124,96.17.182.66,32749,36.336248000,57.1336,2 objects with urls like: http://adscontent3.indiatimes.com/photo/11700367.c...
27.60.1.124,96.17.182.66,7703,36.588336000,56.8616,1 objects with urls like: http://adscontent3.indiatimes.com/photo/17796167.c...
27.60.1.124,96.17.182.66,424,36.711984000,10.1290,0 objects
27.60.1.124,96.17.182.66,424,36.747022000,10.0948,0 objects
27.60.1.124,96.17.182.66,424,36.770957000,10.0781,0 objects
27.60.1.124,96.17.182.66,424,36.964845000,9.8764,0 objects
27.60.1.124,96.17.182.66,424,36.999687000,9.8418,0 objects
27.60.1.124,96.17.182.66,424,37.024503000,9.8248,0 objects
27.60.1.124,96.17.182.40,16647,37.943897000,62.6531,8 objects with urls like: http://timesofindia.indiatimes.com/photo/5539187.c...
27.60.1.124,96.17.182.40,22818,37.945449000,54.4044,6 objects with urls like: http://timesofindia.indiatimes.com/photo/4748680.c...
27.60.1.124,96.17.182.40,12162,38.087987000,54.4220,5 objects with urls like: http://timesofindia.indiatimes.com/photo/5711192.c...
27.60.1.124,96.17.182.40,67289,38.194396000,53.9563,6 objects with urls like: http://timesofindia.indiatimes.com/configspace/ads...
27.60.1.124,223.165.25.20,3303,38.699440000,9.9627,2 objects with urls like: http://netspiderads2.indiatimes.com/ads.dll/getad?...
27.60.1.124,223.165.25.20,416,38.699845000,6.6990,0 objects
27.60.1.124,223.165.25.20,416,38.917941000,6.4412,0 objects
27.60.1.124,223.165.25.20,416,38.918248000,6.5896,0 objects
27.60.1.124,96.17.182.65,11267,38.994179000,10.3954,3 objects with urls like: http://adscontent2.indiatimes.com/googletiladsense...
27.60.1.124,173.194.36.90,39227,38.994897000,54.4752,4 objects with urls like: http://pagead2.googlesyndication.com/pagead/show_a...
27.60.1.124,173.194.36.90,38430,39.209522000,54.2606,4 objects with urls like: http://pagead2.googlesyndication.com/pagead/show_a...
27.60.1.124,96.17.182.40,2154,39.365573000,1.4632,1 objects with urls like: http://timesofindia.indiatimes.com/shadiadcodenri....
27.60.1.124,96.17.182.40,3321,39.366023000,1.5053,1 objects with urls like: http://timesofindia.indiatimes.com/configspace/ads...
27.60.1.124,96.17.182.40,47781,39.409383000,55.3201,4 objects with urls like: http://timesofindia.indiatimes.com/tpoint_fans2.cm...
27.60.1.124,173.194.36.90,38582,39.470987000,54.0195,4 objects with urls like: http://pagead2.googlesyndication.com/pagead/show_a...
27.60.1.124,173.194.36.90,892,39.701736000,8.9697,0 objects
27.60.1.124,96.17.182.40,2703,40.127891000,2.1013,1 objects with urls like: http://timesofindia.indiatimes.com/photo/11339279....
27.60.1.124,96.17.182.40,580,40.128956000,8.5006,0 objects
27.60.1.124,96.17.182.40,580,40.142538000,8.5864,0 objects
27.60.1.124,96.17.182.40,580,40.350038000,8.3605,0 objects
27.60.1.124,96.17.182.40,424,40.364110000,8.3650,0 objects
27.60.1.124,96.17.182.65,4315,40.887246000,4.4242,1 objects with urls like: http://adscontent2.indiatimes.com/googletiladsense...
27.60.1.124,173.194.36.122,792,40.888718000,9.5606,0 objects
27.60.1.124,173.194.36.77,860,41.126151000,9.3235,0 objects
27.60.1.124,173.194.36.122,792,41.343315000,10.2024,0 objects
27.60.1.124,173.194.36.77,792,41.582884000,9.9748,0 objects
27.60.1.124,96.17.182.57,2844,41.996823000,7.1460,1 objects with urls like: http://static.rewards.indiatimes.com/fns/daily/dai...
27.60.1.124,96.17.182.57,568,42.230334000,6.9126,0 objects
27.60.1.124,96.17.182.9,568,42.233495000,10.4919,0 objects
27.60.1.124,96.17.182.9,568,42.468165000,6.6746,0 objects
