
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: ip.dst==27.60.1.124      |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |      1 |    60 |
|   0.5 <>   1.0 |      3 |   653 |
|   1.0 <>   1.5 |      2 |   116 |
|   1.5 <>   2.0 |      0 |     0 |
|   2.0 <>   2.5 |      1 |    56 |
|   2.5 <>   3.0 |      0 |     0 |
|   3.0 <>   3.5 |      0 |     0 |
|   3.5 <>   4.0 |      1 |  1080 |
|   4.0 <>   4.5 |      2 |   999 |
|   4.5 <>   5.0 |      1 |    56 |
|   5.0 <>   5.5 |      1 |   106 |
|   5.5 <>   6.0 |      4 |   272 |
|   6.0 <>   6.5 |      1 |    56 |
|   6.5 <>   7.0 |      5 |   521 |
|   7.0 <>   7.5 |      1 |   571 |
|   7.5 <>   8.0 |      0 |     0 |
|   8.0 <>   8.5 |      1 |    56 |
|   8.5 <>   9.0 |      0 |     0 |
|   9.0 <>   9.5 |      1 |    68 |
|   9.5 <>  10.0 |      0 |     0 |
|  10.0 <>  10.5 |      0 |     0 |
|  10.5 <>  11.0 |      2 |   136 |
|  11.0 <>  11.5 |      0 |     0 |
|  11.5 <>  12.0 |      0 |     0 |
|  12.0 <>  12.5 |      0 |     0 |
|  12.5 <>  13.0 |      1 |   267 |
|  13.0 <>  13.5 |      1 |    68 |
|  13.5 <>  14.0 |      2 |   112 |
|  14.0 <>  14.5 |      1 |  1436 |
|  14.5 <>  15.0 |      0 |     0 |
|  15.0 <>  15.5 |      1 |  1436 |
|  15.5 <>  16.0 |      1 |  1436 |
|  16.0 <>  16.5 |     11 | 13255 |
|  16.5 <>  17.0 |      4 |  1843 |
|  17.0 <>  17.5 |      4 |  2395 |
|  17.5 <>  18.0 |      2 |   597 |
|  18.0 <>  18.5 |      7 |  2381 |
|  18.5 <>  19.0 |      2 |   350 |
|  19.0 <>  19.5 |      6 |   884 |
|  19.5 <>  20.0 |      3 |  2101 |
|  20.0 <>  20.5 |      1 |   294 |
|  20.5 <>  21.0 |      6 |   910 |
|  21.0 <>  21.5 |      4 |  2395 |
|  21.5 <>  22.0 |      2 |   602 |
|  22.0 <>  22.5 |      7 |  2381 |
|  22.5 <>  23.0 |      1 |   294 |
|  23.0 <>  23.5 |      5 |   805 |
|  23.5 <>  24.0 |      4 |  2177 |
|  24.0 <>  24.5 |      1 |   294 |
|  24.5 <>  25.0 |      6 |   884 |
|  25.0 <>  25.5 |      4 |  2395 |
|  25.5 <>  26.0 |      2 |   604 |
|  26.0 <>  26.5 |      7 |  2381 |
|  26.5 <>  27.0 |      1 |   294 |
|  27.0 <>  27.5 |      1 |   531 |
|  27.5 <>  28.0 |      3 |   204 |
|  28.0 <>  28.5 |     32 | 42779 |
|  28.5 <>  29.0 |      6 |   908 |
|  29.0 <>  29.5 |     11 |   950 |
|  29.5 <>  30.0 |     12 |  1041 |
|  30.0 <>  30.5 |     12 |  1097 |
|  30.5 <>  31.0 |     12 |  3319 |
|  31.0 <>  31.5 |      8 |   745 |
|  31.5 <>  32.0 |     23 |  3366 |
|  32.0 <>  32.5 |      4 |   497 |
|  32.5 <>  33.0 |      0 |     0 |
|  33.0 <>  33.5 |      3 |   216 |
|  33.5 <>  34.0 |      5 |   698 |
|  34.0 <>  34.5 |     14 |  1770 |
|  34.5 <>  35.0 |      8 |  1269 |
|  35.0 <>  35.5 |     20 |  5198 |
|  35.5 <>  36.0 |     24 |  7865 |
|  36.0 <>  36.5 |     16 |  9283 |
|  36.5 <>  37.0 |      6 |  1101 |
|  37.0 <>  37.5 |      5 |  1200 |
|  37.5 <>  38.0 |     28 |  9671 |
|  38.0 <>  38.5 |     15 | 13631 |
|  38.5 <>  39.0 |     13 |  6884 |
|  39.0 <>  39.5 |      3 |  2631 |
|  39.5 <>  40.0 |      3 |   228 |
|  40.0 <>  40.5 |     12 |  4467 |
|  40.5 <>  41.0 |     13 |  9891 |
|  41.0 <>  41.5 |     16 |  6652 |
|  41.5 <>  42.0 |      6 |  2539 |
|  42.0 <>  42.5 |      9 |  2154 |
|  42.5 <>  43.0 |      6 |  2336 |
|  43.0 <>  43.5 |      5 |   372 |
|  43.5 <>  44.0 |      7 |  2971 |
|  44.0 <>  44.5 |     20 | 21231 |
|  44.5 <>  45.0 |     11 | 14151 |
|  45.0 <>  45.5 |     11 |  3916 |
|  45.5 <>  46.0 |     21 | 13507 |
|  46.0 <>  46.5 |      2 |   152 |
|  46.5 <>  47.0 |     47 | 30023 |
|  47.0 <>  47.5 |      4 |   296 |
|  47.5 <>  48.0 |      4 |  2983 |
|  48.0 <>  48.5 |     27 | 21058 |
|  48.5 <>  49.0 |     36 | 30633 |
|  49.0 <>  49.5 |     48 | 27754 |
|  49.5 <>  50.0 |     13 | 14425 |
|  50.0 <>  50.5 |     17 | 17600 |
|  50.5 <>  51.0 |      2 |  1906 |
|  51.0 <>  51.5 |      4 |  1563 |
|  51.5 <>  52.0 |      4 |   723 |
|  52.0 <>  52.5 |      0 |     0 |
|  52.5 <>  53.0 |      4 |   272 |
|  53.0 <>  53.5 |      0 |     0 |
|  53.5 <>  54.0 |      0 |     0 |
|  54.0 <>  54.5 |      1 |   250 |
|  54.5 <>  55.0 |     13 |   848 |
|  55.0 <>  55.5 |      0 |     0 |
|  55.5 <>  56.0 |      0 |     0 |
|  56.0 <>  56.5 |      0 |     0 |
|  56.5 <>  57.0 |      0 |     0 |
|  57.0 <>  57.5 |      0 |     0 |
|  57.5 <>  58.0 |      0 |     0 |
|  58.0 <>  58.5 |      0 |     0 |
|  58.5 <>  59.0 |      0 |     0 |
|  59.0 <>  59.5 |      2 |   136 |
|  59.5 <>  60.0 |      0 |     0 |
|  60.0 <>  60.5 |      0 |     0 |
|  60.5 <>  61.0 |      0 |     0 |
|  61.0 <>  61.5 |      0 |     0 |
|  61.5 <>  62.0 |      0 |     0 |
