
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: ip.src==27.60.1.124      |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |      2 |   502 |
|   0.5 <>   1.0 |      4 |   244 |
|   1.0 <>   1.5 |      2 |   673 |
|   1.5 <>   2.0 |      0 |     0 |
|   2.0 <>   2.5 |      0 |     0 |
|   2.5 <>   3.0 |      0 |     0 |
|   3.0 <>   3.5 |      0 |     0 |
|   3.5 <>   4.0 |      1 |    56 |
|   4.0 <>   4.5 |      2 |   112 |
|   4.5 <>   5.0 |      0 |     0 |
|   5.0 <>   5.5 |      5 |   394 |
|   5.5 <>   6.0 |      6 |  1228 |
|   6.0 <>   6.5 |      0 |     0 |
|   6.5 <>   7.0 |      3 |   192 |
|   7.0 <>   7.5 |      2 |   153 |
|   7.5 <>   8.0 |      1 |    56 |
|   8.0 <>   8.5 |      1 |    56 |
|   8.5 <>   9.0 |      0 |     0 |
|   9.0 <>   9.5 |      1 |    68 |
|   9.5 <>  10.0 |      2 |   136 |
|  10.0 <>  10.5 |      0 |     0 |
|  10.5 <>  11.0 |      1 |    68 |
|  11.0 <>  11.5 |      0 |     0 |
|  11.5 <>  12.0 |      0 |     0 |
|  12.0 <>  12.5 |      1 |    85 |
|  12.5 <>  13.0 |      1 |    76 |
|  13.0 <>  13.5 |      2 |   500 |
|  13.5 <>  14.0 |      0 |     0 |
|  14.0 <>  14.5 |      1 |    56 |
|  14.5 <>  15.0 |      0 |     0 |
|  15.0 <>  15.5 |      2 |   132 |
|  15.5 <>  16.0 |      1 |    56 |
|  16.0 <>  16.5 |     11 |   700 |
|  16.5 <>  17.0 |      5 |   576 |
|  17.0 <>  17.5 |      5 |   690 |
|  17.5 <>  18.0 |      3 |   239 |
|  18.0 <>  18.5 |      6 |   608 |
|  18.5 <>  19.0 |      4 |   616 |
|  19.0 <>  19.5 |      6 |   655 |
|  19.5 <>  20.0 |      3 |   326 |
|  20.0 <>  20.5 |      2 |   373 |
|  20.5 <>  21.0 |      6 |   655 |
|  21.0 <>  21.5 |      4 |   634 |
|  21.5 <>  22.0 |      3 |   239 |
|  22.0 <>  22.5 |      5 |   552 |
|  22.5 <>  23.0 |      3 |   569 |
|  23.0 <>  23.5 |      4 |   307 |
|  23.5 <>  24.0 |      5 |   674 |
|  24.0 <>  24.5 |      1 |   314 |
|  24.5 <>  25.0 |      6 |   655 |
|  25.0 <>  25.5 |      5 |   711 |
|  25.5 <>  26.0 |      3 |   239 |
|  26.0 <>  26.5 |      6 |   742 |
|  26.5 <>  27.0 |      2 |   390 |
|  27.0 <>  27.5 |      3 |   231 |
|  27.5 <>  28.0 |      2 |   427 |
|  28.0 <>  28.5 |     53 |  4511 |
|  28.5 <>  29.0 |     21 |  3125 |
|  29.0 <>  29.5 |     14 |  1532 |
|  29.5 <>  30.0 |     13 |  1579 |
|  30.0 <>  30.5 |     11 |   772 |
|  30.5 <>  31.0 |     12 |   986 |
|  31.0 <>  31.5 |      8 |   581 |
|  31.5 <>  32.0 |     20 |  2091 |
|  32.0 <>  32.5 |      7 |   514 |
|  32.5 <>  33.0 |      1 |    76 |
|  33.0 <>  33.5 |      4 |   293 |
|  33.5 <>  34.0 |      4 |   624 |
|  34.0 <>  34.5 |      8 |   890 |
|  34.5 <>  35.0 |     19 |  1741 |
|  35.0 <>  35.5 |     29 |  3879 |
|  35.5 <>  36.0 |     39 |  8037 |
|  36.0 <>  36.5 |     15 |  1036 |
|  36.5 <>  37.0 |     19 |  1348 |
|  37.0 <>  37.5 |      5 |   372 |
|  37.5 <>  38.0 |     29 |  6024 |
|  38.0 <>  38.5 |     23 |  5841 |
|  38.5 <>  39.0 |     26 |  5041 |
|  39.0 <>  39.5 |     14 |  4427 |
|  39.5 <>  40.0 |      4 |   316 |
|  40.0 <>  40.5 |     23 |  4864 |
|  40.5 <>  41.0 |     21 |  6878 |
|  41.0 <>  41.5 |     29 |  2365 |
|  41.5 <>  42.0 |     11 |  3330 |
|  42.0 <>  42.5 |     14 |  1000 |
|  42.5 <>  43.0 |      5 |   340 |
|  43.0 <>  43.5 |     18 |  2009 |
|  43.5 <>  44.0 |     10 |  1469 |
|  44.0 <>  44.5 |     23 |  4130 |
|  44.5 <>  45.0 |     12 |   824 |
|  45.0 <>  45.5 |     11 |  1117 |
|  45.5 <>  46.0 |     15 |  1028 |
|  46.0 <>  46.5 |      6 |   464 |
|  46.5 <>  47.0 |     43 |  3906 |
|  47.0 <>  47.5 |      8 |   596 |
|  47.5 <>  48.0 |      8 |  2354 |
|  48.0 <>  48.5 |     27 |  2843 |
|  48.5 <>  49.0 |     50 |  8667 |
|  49.0 <>  49.5 |     52 |  9620 |
|  49.5 <>  50.0 |     10 |  1895 |
|  50.0 <>  50.5 |     12 |   816 |
|  50.5 <>  51.0 |      5 |  1983 |
|  51.0 <>  51.5 |      4 |   272 |
|  51.5 <>  52.0 |      4 |   272 |
|  52.0 <>  52.5 |      4 |   272 |
|  52.5 <>  53.0 |      4 |   272 |
|  53.0 <>  53.5 |      0 |     0 |
|  53.5 <>  54.0 |      1 |    87 |
|  54.0 <>  54.5 |      9 |   612 |
|  54.5 <>  55.0 |      6 |   408 |
|  55.0 <>  55.5 |      0 |     0 |
|  55.5 <>  56.0 |      0 |     0 |
|  56.0 <>  56.5 |      0 |     0 |
|  56.5 <>  57.0 |      0 |     0 |
|  57.0 <>  57.5 |      0 |     0 |
|  57.5 <>  58.0 |      0 |     0 |
|  58.0 <>  58.5 |      0 |     0 |
|  58.5 <>  59.0 |      0 |     0 |
|  59.0 <>  59.5 |      1 |    68 |
|  59.5 <>  60.0 |      0 |     0 |
|  60.0 <>  60.5 |      0 |     0 |
|  60.5 <>  61.0 |      0 |     0 |
|  61.0 <>  61.5 |      0 |     0 |
|  61.5 <>  62.0 |      0 |     0 |
|  62.0 <>  62.5 |      1 |    68 |
|  62.5 <>  63.0 |      0 |     0 |
|  63.0 <>  63.5 |      0 |     0 |
|  63.5 <>  64.0 |      0 |     0 |
|  64.0 <>  64.5 |      0 |     0 |
|  64.5 <>  65.0 |      0 |     0 |
|  65.0 <>  65.5 |      0 |     0 |
|  65.5 <>  66.0 |      0 |     0 |
|  66.0 <>  66.5 |      0 |     0 |
|  66.5 <>  67.0 |      0 |     0 |
|  67.0 <>  67.5 |      0 |     0 |
|  67.5 <>  68.0 |      0 |     0 |
|  68.0 <>  68.5 |      0 |     0 |
|  68.5 <>  69.0 |      0 |     0 |
|  69.0 <>  69.5 |      0 |     0 |
|  69.5 <>  70.0 |      0 |     0 |
|  70.0 <>  70.5 |      0 |     0 |
|  70.5 <>  71.0 |      0 |     0 |
|  71.0 <>  71.5 |      0 |     0 |
|  71.5 <>  72.0 |      0 |     0 |
|  72.0 <>  72.5 |      0 |     0 |
|  72.5 <>  73.0 |      0 |     0 |
|  73.0 <>  73.5 |      0 |     0 |
|  73.5 <>  74.0 |      0 |     0 |
|  74.0 <>  74.5 |      0 |     0 |
|  74.5 <>  75.0 |      0 |     0 |
|  75.0 <>  75.5 |      0 |     0 |
|  75.5 <>  76.0 |      0 |     0 |
|  76.0 <>  76.5 |      0 |     0 |
|  76.5 <>  77.0 |      0 |     0 |
|  77.0 <>  77.5 |      0 |     0 |
|  77.5 <>  78.0 |      1 |   912 |
|  78.0 <>  78.5 |      0 |     0 |
