
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: Frames and bytes         |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |      1 |    76 |
|   0.5 <>   1.0 |      0 |     0 |
|   1.0 <>   1.5 |      0 |     0 |
|   1.5 <>   2.0 |      0 |     0 |
|   2.0 <>   2.5 |      0 |     0 |
|   2.5 <>   3.0 |      0 |     0 |
|   3.0 <>   3.5 |      2 |   152 |
|   3.5 <>   4.0 |      0 |     0 |
|   4.0 <>   4.5 |      0 |     0 |
|   4.5 <>   5.0 |      7 |   688 |
|   5.0 <>   5.5 |      1 |    68 |
|   5.5 <>   6.0 |      0 |     0 |
|   6.0 <>   6.5 |      2 |  1504 |
|   6.5 <>   7.0 |      7 |  1652 |
|   7.0 <>   7.5 |      0 |     0 |
|   7.5 <>   8.0 |      5 |  2174 |
|   8.0 <>   8.5 |     12 |  1532 |
|   8.5 <>   9.0 |      6 |  2427 |
|   9.0 <>   9.5 |      5 |  1278 |
|   9.5 <>  10.0 |     10 |   935 |
|  10.0 <>  10.5 |      6 |  2427 |
|  10.5 <>  11.0 |      3 |   678 |
|  11.0 <>  11.5 |     12 |  1539 |
|  11.5 <>  12.0 |      6 |  2427 |
|  12.0 <>  12.5 |      3 |   684 |
|  12.5 <>  13.0 |      4 |   704 |
|  13.0 <>  13.5 |      4 |   272 |
|  13.5 <>  14.0 |      1 |    76 |
|  14.0 <>  14.5 |      3 |   424 |
|  14.5 <>  15.0 |      9 |  3110 |
|  15.0 <>  15.5 |      8 |  1045 |
|  15.5 <>  16.0 |     10 |  2919 |
|  16.0 <>  16.5 |     11 |  1722 |
|  16.5 <>  17.0 |     16 |  5847 |
|  17.0 <>  17.5 |     71 | 30357 |
|  17.5 <>  18.0 |     48 | 17284 |
|  18.0 <>  18.5 |     46 |  7074 |
|  18.5 <>  19.0 |     71 |  7705 |
|  19.0 <>  19.5 |     25 |  4816 |
|  19.5 <>  20.0 |     14 |  1276 |
|  20.0 <>  20.5 |     14 |  1701 |
|  20.5 <>  21.0 |      7 |  2493 |
|  21.0 <>  21.5 |     14 |  2700 |
|  21.5 <>  22.0 |     16 |  3662 |
|  22.0 <>  22.5 |     15 |  2603 |
|  22.5 <>  23.0 |     20 |  1812 |
|  23.0 <>  23.5 |     18 |  1789 |
|  23.5 <>  24.0 |     17 |  2255 |
|  24.0 <>  24.5 |     40 |  3888 |
|  24.5 <>  25.0 |      4 |   300 |
|  25.0 <>  25.5 |     55 |  7612 |
|  25.5 <>  26.0 |      9 |  1806 |
|  26.0 <>  26.5 |      3 |  1055 |
|  26.5 <>  27.0 |      6 |   456 |
|  27.0 <>  27.5 |     12 |  6288 |
|  27.5 <>  28.0 |      2 |  1504 |
|  28.0 <>  28.5 |     15 |  4211 |
|  28.5 <>  29.0 |      4 |  1656 |
|  29.0 <>  29.5 |     34 |  8238 |
|  29.5 <>  30.0 |     45 |  6293 |
|  30.0 <>  30.5 |     56 |  8138 |
|  30.5 <>  31.0 |     22 |  7077 |
|  31.0 <>  31.5 |      7 |  3123 |
|  31.5 <>  32.0 |     33 |  3976 |
|  32.0 <>  32.5 |     10 |  2427 |
|  32.5 <>  33.0 |     10 |  5523 |
|  33.0 <>  33.5 |      6 |  1792 |
|  33.5 <>  34.0 |     13 |  3863 |
|  34.0 <>  34.5 |      5 |   406 |
|  34.5 <>  35.0 |      7 |   708 |
|  35.0 <>  35.5 |     15 |  1969 |
|  35.5 <>  36.0 |     23 |  3705 |
|  36.0 <>  36.5 |      9 |  2349 |
|  36.5 <>  37.0 |      3 |  1047 |
|  37.0 <>  37.5 |      4 |  1132 |
|  37.5 <>  38.0 |      1 |    76 |
|  38.0 <>  38.5 |     40 | 10589 |
|  38.5 <>  39.0 |     12 |  3840 |
|  39.0 <>  39.5 |     11 |  3225 |
|  39.5 <>  40.0 |      0 |     0 |
|  40.0 <>  40.5 |      6 |  1379 |
|  40.5 <>  41.0 |      6 |   485 |
|  41.0 <>  41.5 |     12 |  3904 |
|  41.5 <>  42.0 |     13 |  2280 |
|  42.0 <>  42.5 |      9 |  2763 |
|  42.5 <>  43.0 |      9 |  1365 |
|  43.0 <>  43.5 |      3 |   220 |
|  43.5 <>  44.0 |     31 | 15975 |
|  44.0 <>  44.5 |     19 |  2115 |
|  44.5 <>  45.0 |     16 |  4098 |
|  45.0 <>  45.5 |     10 |  2517 |
|  45.5 <>  46.0 |     12 |  3956 |
|  46.0 <>  46.5 |      0 |     0 |
|  46.5 <>  47.0 |      2 |   152 |
|  47.0 <>  47.5 |      4 |  1164 |
|  47.5 <>  48.0 |     10 |  1767 |
|  48.0 <>  48.5 |      8 |  2059 |
|  48.5 <>  49.0 |     10 |  6457 |
|  49.0 <>  49.5 |     12 |  3540 |
|  49.5 <>  50.0 |      3 |  2341 |
|  50.0 <>  50.5 |     29 |  5181 |
|  50.5 <>  51.0 |     19 |  3221 |
|  51.0 <>  51.5 |     24 |  5728 |
|  51.5 <>  52.0 |     24 |  3684 |
|  52.0 <>  52.5 |     10 |   740 |
|  52.5 <>  53.0 |     17 |  3650 |
|  53.0 <>  53.5 |     15 |  2482 |
|  53.5 <>  54.0 |     10 |   744 |
|  54.0 <>  54.5 |      6 |   438 |
|  54.5 <>  55.0 |      4 |   272 |
|  55.0 <>  55.5 |      2 |   185 |
|  55.5 <>  56.0 |      5 |  1458 |
|  56.0 <>  56.5 |      5 |   340 |
|  56.5 <>  57.0 |     14 |  3745 |
|  57.0 <>  57.5 |     20 |  6916 |
|  57.5 <>  58.0 |      2 |   144 |
|  58.0 <>  58.5 |      7 |   476 |
|  58.5 <>  59.0 |     13 |  2544 |
|  59.0 <>  59.5 |      8 |   634 |
|  59.5 <>  60.0 |      2 |   152 |
|  60.0 <>  60.5 |      6 |   481 |
|  60.5 <>  61.0 |      3 |   235 |
|  61.0 <>  61.5 |     10 |  2570 |
|  61.5 <>  62.0 |      8 |  1470 |
|  62.0 <>  62.5 |     12 |   924 |
|  62.5 <>  63.0 |      7 |  2182 |
|  63.0 <>  63.5 |      7 |   666 |
|  63.5 <>  64.0 |     26 |  2515 |
|  64.0 <>  64.5 |     16 |  2023 |
|  64.5 <>  65.0 |     17 |  2141 |
|  65.0 <>  65.5 |     26 |  2714 |
|  65.5 <>  66.0 |     18 |  3766 |
|  66.0 <>  66.5 |     12 |  1655 |
