
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: Frames and bytes         |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |      6 |  2263 |
|   0.5 <>   1.0 |      1 |    56 |
|   1.0 <>   1.5 |      6 |   509 |
|   1.5 <>   2.0 |      5 |   705 |
|   2.0 <>   2.5 |      0 |     0 |
|   2.5 <>   3.0 |      7 |   625 |
|   3.0 <>   3.5 |      3 |   355 |
|   3.5 <>   4.0 |      1 |    56 |
|   4.0 <>   4.5 |      2 |   112 |
|   4.5 <>   5.0 |      0 |     0 |
|   5.0 <>   5.5 |      0 |     0 |
|   5.5 <>   6.0 |      0 |     0 |
|   6.0 <>   6.5 |      3 |   720 |
|   6.5 <>   7.0 |      3 |   659 |
|   7.0 <>   7.5 |      0 |     0 |
|   7.5 <>   8.0 |      3 |   715 |
|   8.0 <>   8.5 |      0 |     0 |
|   8.5 <>   9.0 |      0 |     0 |
|   9.0 <>   9.5 |      0 |     0 |
|   9.5 <>  10.0 |      3 |   204 |
|  10.0 <>  10.5 |      1 |    68 |
|  10.5 <>  11.0 |      0 |     0 |
|  11.0 <>  11.5 |      0 |     0 |
|  11.5 <>  12.0 |      0 |     0 |
|  12.0 <>  12.5 |      4 |   500 |
|  12.5 <>  13.0 |      8 |  2789 |
|  13.0 <>  13.5 |      7 |  1200 |
|  13.5 <>  14.0 |      7 |   696 |
|  14.0 <>  14.5 |      6 |  2427 |
|  14.5 <>  15.0 |      3 |   662 |
|  15.0 <>  15.5 |     13 |  1604 |
|  15.5 <>  16.0 |      6 |  2427 |
|  16.0 <>  16.5 |      7 |  1431 |
|  16.5 <>  17.0 |      8 |   772 |
|  17.0 <>  17.5 |      8 |  3026 |
|  17.5 <>  18.0 |      5 |   869 |
|  18.0 <>  18.5 |     12 |  2933 |
|  18.5 <>  19.0 |      4 |   860 |
|  19.0 <>  19.5 |      5 |   841 |
|  19.5 <>  20.0 |      7 |   696 |
|  20.0 <>  20.5 |      6 |  2427 |
|  20.5 <>  21.0 |      8 |  1513 |
|  21.0 <>  21.5 |      7 |   696 |
|  21.5 <>  22.0 |      8 |  2789 |
|  22.0 <>  22.5 |      6 |  1158 |
|  22.5 <>  23.0 |      7 |   696 |
|  23.0 <>  23.5 |      7 |  2786 |
|  23.5 <>  24.0 |     13 |  8200 |
|  24.0 <>  24.5 |     71 | 28717 |
|  24.5 <>  25.0 |     66 | 18130 |
|  25.0 <>  25.5 |     30 |  2461 |
|  25.5 <>  26.0 |     23 |  4496 |
|  26.0 <>  26.5 |     26 |  2184 |
|  26.5 <>  27.0 |     27 |  2602 |
|  27.0 <>  27.5 |     34 |  3819 |
