
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: ip.dst==27.60.1.124      |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |      0 |     0 |
|   0.5 <>   1.0 |      0 |     0 |
|   1.0 <>   1.5 |      0 |     0 |
|   1.5 <>   2.0 |      0 |     0 |
|   2.0 <>   2.5 |      0 |     0 |
|   2.5 <>   3.0 |      1 |    80 |
|   3.0 <>   3.5 |      0 |     0 |
|   3.5 <>   4.0 |      1 |    68 |
|   4.0 <>   4.5 |      0 |     0 |
|   4.5 <>   5.0 |      4 |   938 |
|   5.0 <>   5.5 |      0 |     0 |
|   5.5 <>   6.0 |      0 |     0 |
|   6.0 <>   6.5 |      0 |     0 |
|   6.5 <>   7.0 |      0 |     0 |
|   7.0 <>   7.5 |      0 |     0 |
|   7.5 <>   8.0 |      0 |     0 |
|   8.0 <>   8.5 |      0 |     0 |
|   8.5 <>   9.0 |      0 |     0 |
|   9.0 <>   9.5 |      0 |     0 |
|   9.5 <>  10.0 |      0 |     0 |
|  10.0 <>  10.5 |      0 |     0 |
|  10.5 <>  11.0 |      1 |    80 |
|  11.0 <>  11.5 |      0 |     0 |
|  11.5 <>  12.0 |      5 |   812 |
|  12.0 <>  12.5 |      4 |  2133 |
|  12.5 <>  13.0 |      1 |   282 |
|  13.0 <>  13.5 |      1 |   517 |
|  13.5 <>  14.0 |      3 |   180 |
|  14.0 <>  14.5 |      3 |  2065 |
|  14.5 <>  15.0 |      2 |   806 |
|  15.0 <>  15.5 |      3 |   180 |
|  15.5 <>  16.0 |      0 |     0 |
|  16.0 <>  16.5 |      4 |  2638 |
|  16.5 <>  17.0 |      3 |  2291 |
|  17.0 <>  17.5 |      0 |     0 |
|  17.5 <>  18.0 |      3 |  1647 |
|  18.0 <>  18.5 |      4 |   236 |
|  18.5 <>  19.0 |      3 |  2291 |
|  19.0 <>  19.5 |      1 |   523 |
|  19.5 <>  20.0 |      2 |   112 |
|  20.0 <>  20.5 |      2 |   136 |
|  20.5 <>  21.0 |      3 |  2065 |
|  21.0 <>  21.5 |      3 |   563 |
|  21.5 <>  22.0 |      0 |     0 |
|  22.0 <>  22.5 |      0 |     0 |
|  22.5 <>  23.0 |      2 |   589 |
|  23.0 <>  23.5 |     23 | 20311 |
|  23.5 <>  24.0 |     24 | 19621 |
|  24.0 <>  24.5 |     13 |  1451 |
|  24.5 <>  25.0 |      8 |  5773 |
|  25.0 <>  25.5 |      4 |  2141 |
|  25.5 <>  26.0 |      2 |   591 |
|  26.0 <>  26.5 |      9 |  1123 |
|  26.5 <>  27.0 |     17 | 17407 |
|  27.0 <>  27.5 |     39 | 29874 |
|  27.5 <>  28.0 |     26 |  3469 |
|  28.0 <>  28.5 |     37 | 21115 |
|  28.5 <>  29.0 |     27 | 20607 |
|  29.0 <>  29.5 |     38 |  5585 |
|  29.5 <>  30.0 |     27 |  4596 |
|  30.0 <>  30.5 |     23 |  4859 |
|  30.5 <>  31.0 |      5 |   424 |
|  31.0 <>  31.5 |     13 |  2640 |
|  31.5 <>  32.0 |      5 |   340 |
|  32.0 <>  32.5 |     16 | 10931 |
|  32.5 <>  33.0 |     11 |  5361 |
|  33.0 <>  33.5 |      5 |   356 |
|  33.5 <>  34.0 |      2 |   152 |
|  34.0 <>  34.5 |     16 | 18884 |
|  34.5 <>  35.0 |     24 |  3534 |
|  35.0 <>  35.5 |      5 |  2795 |
|  35.5 <>  36.0 |     13 |   904 |
|  36.0 <>  36.5 |      1 |   133 |
|  36.5 <>  37.0 |     11 |  2661 |
|  37.0 <>  37.5 |     12 |   768 |
|  37.5 <>  38.0 |     25 | 14852 |
|  38.0 <>  38.5 |     19 |  3234 |
|  38.5 <>  39.0 |     16 | 15826 |
|  39.0 <>  39.5 |      5 |  4995 |
|  39.5 <>  40.0 |      4 |  2768 |
|  40.0 <>  40.5 |      3 |  3466 |
|  40.5 <>  41.0 |      3 |   858 |
|  41.0 <>  41.5 |      3 |  2349 |
|  41.5 <>  42.0 |      8 |  5634 |
|  42.0 <>  42.5 |      2 |  1074 |
|  42.5 <>  43.0 |      3 |  3396 |
|  43.0 <>  43.5 |      8 |  6122 |
|  43.5 <>  44.0 |     13 |  5933 |
|  44.0 <>  44.5 |      4 |  1331 |
|  44.5 <>  45.0 |     16 | 13187 |
|  45.0 <>  45.5 |     11 |   903 |
|  45.5 <>  46.0 |     11 |  3300 |
|  46.0 <>  46.5 |     19 |  3336 |
|  46.5 <>  47.0 |      3 |   228 |
|  47.0 <>  47.5 |     23 | 14075 |
|  47.5 <>  48.0 |      9 |   604 |
|  48.0 <>  48.5 |      3 |   228 |
|  48.5 <>  49.0 |     16 |  5703 |
|  49.0 <>  49.5 |     10 |  6037 |
|  49.5 <>  50.0 |     12 |  1412 |
|  50.0 <>  50.5 |      7 |  1876 |
|  50.5 <>  51.0 |      6 |  4021 |
|  51.0 <>  51.5 |      7 |  1228 |
|  51.5 <>  52.0 |      7 |  3656 |
|  52.0 <>  52.5 |      0 |     0 |
|  52.5 <>  53.0 |      5 |   336 |
|  53.0 <>  53.5 |      9 |   632 |
|  53.5 <>  54.0 |      2 |  1492 |
|  54.0 <>  54.5 |      6 |  1921 |
|  54.5 <>  55.0 |      5 |  1720 |
|  55.0 <>  55.5 |      4 |   292 |
|  55.5 <>  56.0 |      8 |   552 |
|  56.0 <>  56.5 |      5 |  2402 |
|  56.5 <>  57.0 |      5 |   324 |
|  57.0 <>  57.5 |      6 |  1015 |
|  57.5 <>  58.0 |     10 |   752 |
|  58.0 <>  58.5 |     16 |  1084 |
|  58.5 <>  59.0 |      6 |  1760 |
|  59.0 <>  59.5 |      5 |  3039 |
|  59.5 <>  60.0 |     15 |  4364 |
|  60.0 <>  60.5 |      7 |   508 |
|  60.5 <>  61.0 |      7 |   476 |
|  61.0 <>  61.5 |     12 |   856 |
|  61.5 <>  62.0 |      4 |   288 |
|  62.0 <>  62.5 |     11 |   764 |
|  62.5 <>  63.0 |      1 |    68 |
|  63.0 <>  63.5 |     15 | 13898 |
|  63.5 <>  64.0 |      4 |   300 |
|  64.0 <>  64.5 |     10 |  1630 |
|  64.5 <>  65.0 |      1 |    68 |
|  65.0 <>  65.5 |     13 |   884 |
|  65.5 <>  66.0 |      3 |   192 |
|  66.0 <>  66.5 |      3 |  3372 |
|  66.5 <>  67.0 |      6 |   408 |
|  67.0 <>  67.5 |      5 |   622 |
|  67.5 <>  68.0 |     14 |  1960 |
|  68.0 <>  68.5 |     10 |  3561 |
|  68.5 <>  69.0 |      3 |   402 |
|  69.0 <>  69.5 |      2 |   144 |
|  69.5 <>  70.0 |     16 |  1112 |
|  70.0 <>  70.5 |      6 |   404 |
|  70.5 <>  71.0 |      7 |   452 |
|  71.0 <>  71.5 |     10 |  2470 |
|  71.5 <>  72.0 |      8 |   496 |
|  72.0 <>  72.5 |      8 |   544 |
|  72.5 <>  73.0 |      4 |   260 |
|  73.0 <>  73.5 |      3 |   605 |
|  73.5 <>  74.0 |      7 |   428 |
|  74.0 <>  74.5 |      2 |   597 |
|  74.5 <>  75.0 |      1 |    56 |
|  75.0 <>  75.5 |     13 |   972 |
|  75.5 <>  76.0 |      2 |   124 |
|  76.0 <>  76.5 |      2 |   124 |
|  76.5 <>  77.0 |      2 |   549 |
|  77.0 <>  77.5 |      2 |   148 |
|  77.5 <>  78.0 |      4 |  1114 |
|  78.0 <>  78.5 |      1 |  1116 |
|  78.5 <>  79.0 |      1 |  1084 |
|  79.0 <>  79.5 |     12 | 13335 |
|  79.5 <>  80.0 |      4 |   685 |
|  80.0 <>  80.5 |      3 |   216 |
|  80.5 <>  81.0 |      6 |  6535 |
|  81.0 <>  81.5 |     19 |  7467 |
|  81.5 <>  82.0 |     13 |  7051 |
|  82.0 <>  82.5 |      2 |   152 |
|  82.5 <>  83.0 |      4 |  1296 |
|  83.0 <>  83.5 |      6 |  4442 |
|  83.5 <>  84.0 |      0 |     0 |
|  84.0 <>  84.5 |      1 |    68 |
|  84.5 <>  85.0 |      1 |  1436 |
|  85.0 <>  85.5 |      5 |  6467 |
|  85.5 <>  86.0 |      5 |  7180 |
|  86.0 <>  86.5 |     16 |  8293 |
|  86.5 <>  87.0 |      8 | 11488 |
|  87.0 <>  87.5 |     15 | 17350 |
|  87.5 <>  88.0 |     27 | 12044 |
|  88.0 <>  88.5 |      2 |   152 |
|  88.5 <>  89.0 |      4 |  2423 |
|  89.0 <>  89.5 |      8 |  5226 |
|  89.5 <>  90.0 |     12 |  5437 |
|  90.0 <>  90.5 |      9 |  1168 |
|  90.5 <>  91.0 |      9 | 10064 |
|  91.0 <>  91.5 |     17 | 21560 |
|  91.5 <>  92.0 |      0 |     0 |
|  92.0 <>  92.5 |     23 | 19869 |
|  92.5 <>  93.0 |      4 |   296 |
|  93.0 <>  93.5 |     18 | 15193 |
|  93.5 <>  94.0 |      8 |  8954 |
|  94.0 <>  94.5 |      6 |  6207 |
|  94.5 <>  95.0 |      4 |   648 |
|  95.0 <>  95.5 |      4 |   677 |
|  95.5 <>  96.0 |     13 |   940 |
|  96.0 <>  96.5 |      9 |  7468 |
|  96.5 <>  97.0 |     19 | 13155 |
|  97.0 <>  97.5 |     16 |  1157 |
|  97.5 <>  98.0 |      7 |   484 |
|  98.0 <>  98.5 |      1 |    76 |
|  98.5 <>  99.0 |      4 |   649 |
|  99.0 <>  99.5 |      1 |    76 |
|  99.5 <> 100.0 |     10 |  9161 |
| 100.0 <> 100.5 |      4 |   454 |
| 100.5 <> 101.0 |      3 |   255 |
| 101.0 <> 101.5 |      8 |  1776 |
