
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: ip.src==27.60.1.124      |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |      1 |    76 |
|   0.5 <>   1.0 |      0 |     0 |
|   1.0 <>   1.5 |      0 |     0 |
|   1.5 <>   2.0 |      0 |     0 |
|   2.0 <>   2.5 |      0 |     0 |
|   2.5 <>   3.0 |      2 |  1451 |
|   3.0 <>   3.5 |      0 |     0 |
|   3.5 <>   4.0 |      0 |     0 |
|   4.0 <>   4.5 |      1 |    68 |
|   4.5 <>   5.0 |      3 |   168 |
|   5.0 <>   5.5 |      0 |     0 |
|   5.5 <>   6.0 |      0 |     0 |
|   6.0 <>   6.5 |      0 |     0 |
|   6.5 <>   7.0 |      0 |     0 |
|   7.0 <>   7.5 |      0 |     0 |
|   7.5 <>   8.0 |      0 |     0 |
|   8.0 <>   8.5 |      0 |     0 |
|   8.5 <>   9.0 |      0 |     0 |
|   9.0 <>   9.5 |      0 |     0 |
|   9.5 <>  10.0 |      1 |    76 |
|  10.0 <>  10.5 |      0 |     0 |
|  10.5 <>  11.0 |      2 |  1395 |
|  11.0 <>  11.5 |      1 |    76 |
|  11.5 <>  12.0 |      5 |   528 |
|  12.0 <>  12.5 |      3 |   290 |
|  12.5 <>  13.0 |      2 |   340 |
|  13.0 <>  13.5 |      3 |   215 |
|  13.5 <>  14.0 |      3 |   380 |
|  14.0 <>  14.5 |      3 |   290 |
|  14.5 <>  15.0 |      2 |   346 |
|  15.0 <>  15.5 |      7 |   651 |
|  15.5 <>  16.0 |      0 |     0 |
|  16.0 <>  16.5 |      4 |   358 |
|  16.5 <>  17.0 |      4 |   487 |
|  17.0 <>  17.5 |      0 |     0 |
|  17.5 <>  18.0 |      5 |   351 |
|  18.0 <>  18.5 |      3 |   380 |
|  18.5 <>  19.0 |      5 |   647 |
|  19.0 <>  19.5 |      0 |     0 |
|  19.5 <>  20.0 |      5 |   327 |
|  20.0 <>  20.5 |      3 |   392 |
|  20.5 <>  21.0 |      4 |   379 |
|  21.0 <>  21.5 |      5 |   865 |
|  21.5 <>  22.0 |      0 |     0 |
|  22.0 <>  22.5 |      0 |     0 |
|  22.5 <>  23.0 |      3 |   215 |
|  23.0 <>  23.5 |     44 |  3426 |
|  23.5 <>  24.0 |     35 |  5432 |
|  24.0 <>  24.5 |     24 |  2766 |
|  24.5 <>  25.0 |     40 |  3924 |
|  25.0 <>  25.5 |      5 |   426 |
|  25.5 <>  26.0 |      1 |    68 |
|  26.0 <>  26.5 |     14 |  1124 |
|  26.5 <>  27.0 |     18 |  1585 |
|  27.0 <>  27.5 |     51 |  5026 |
|  27.5 <>  28.0 |     47 |  3428 |
|  28.0 <>  28.5 |     37 |  2825 |
|  28.5 <>  29.0 |     22 |  2177 |
|  29.0 <>  29.5 |     33 |  2806 |
|  29.5 <>  30.0 |     39 |  3705 |
|  30.0 <>  30.5 |     26 |  4101 |
|  30.5 <>  31.0 |      5 |   368 |
|  31.0 <>  31.5 |     12 |   816 |
|  31.5 <>  32.0 |      7 |   452 |
|  32.0 <>  32.5 |     16 |  2417 |
|  32.5 <>  33.0 |     12 |   804 |
|  33.0 <>  33.5 |      4 |   296 |
|  33.5 <>  34.0 |     23 |  1760 |
|  34.0 <>  34.5 |     15 |   864 |
|  34.5 <>  35.0 |     32 |  2168 |
|  35.0 <>  35.5 |      5 |   498 |
|  35.5 <>  36.0 |     23 |  1958 |
|  36.0 <>  36.5 |      2 |   152 |
|  36.5 <>  37.0 |     12 |   849 |
|  37.0 <>  37.5 |     10 |  1610 |
|  37.5 <>  38.0 |     28 |  2740 |
|  38.0 <>  38.5 |     25 |  3104 |
|  38.5 <>  39.0 |     20 |  2908 |
|  39.0 <>  39.5 |     10 |  2655 |
|  39.5 <>  40.0 |     10 |  3042 |
|  40.0 <>  40.5 |      7 |  2588 |
|  40.5 <>  41.0 |      5 |   378 |
|  41.0 <>  41.5 |     12 |  1926 |
|  41.5 <>  42.0 |     23 |  3262 |
|  42.0 <>  42.5 |     13 |  1471 |
|  42.5 <>  43.0 |     19 |  2420 |
|  43.0 <>  43.5 |     25 |  2651 |
|  43.5 <>  44.0 |     14 |   972 |
|  44.0 <>  44.5 |     20 |  2455 |
|  44.5 <>  45.0 |     39 |  4653 |
|  45.0 <>  45.5 |     26 |  3243 |
|  45.5 <>  46.0 |     19 |  1392 |
|  46.0 <>  46.5 |     38 |  4054 |
|  46.5 <>  47.0 |      4 |   304 |
|  47.0 <>  47.5 |     31 |  2220 |
|  47.5 <>  48.0 |     13 |  1282 |
|  48.0 <>  48.5 |     10 |   736 |
|  48.5 <>  49.0 |     20 |  2154 |
|  49.0 <>  49.5 |     16 |  1227 |
|  49.5 <>  50.0 |      9 |   940 |
|  50.0 <>  50.5 |     10 |   748 |
|  50.5 <>  51.0 |      7 |   500 |
|  51.0 <>  51.5 |      5 |   376 |
|  51.5 <>  52.0 |     16 |  1088 |
|  52.0 <>  52.5 |      1 |    68 |
|  52.5 <>  53.0 |      4 |   284 |
|  53.0 <>  53.5 |      8 |   880 |
|  53.5 <>  54.0 |      7 |   520 |
|  54.0 <>  54.5 |     21 |  2270 |
|  54.5 <>  55.0 |     11 |  1629 |
|  55.0 <>  55.5 |      8 |   917 |
|  55.5 <>  56.0 |      3 |   204 |
|  56.0 <>  56.5 |      7 |   508 |
|  56.5 <>  57.0 |      4 |   296 |
|  57.0 <>  57.5 |     10 |   712 |
|  57.5 <>  58.0 |     12 |   888 |
|  58.0 <>  58.5 |      7 |   524 |
|  58.5 <>  59.0 |      7 |   887 |
|  59.0 <>  59.5 |      4 |   642 |
|  59.5 <>  60.0 |     17 |  1240 |
|  60.0 <>  60.5 |      6 |   408 |
|  60.5 <>  61.0 |     10 |  1019 |
|  61.0 <>  61.5 |      6 |   408 |
|  61.5 <>  62.0 |      3 |   228 |
|  62.0 <>  62.5 |     10 |  1034 |
|  62.5 <>  63.0 |      6 |   408 |
|  63.0 <>  63.5 |     17 |  1224 |
|  63.5 <>  64.0 |      8 |   580 |
|  64.0 <>  64.5 |     12 |  1380 |
|  64.5 <>  65.0 |      1 |    68 |
|  65.0 <>  65.5 |     11 |   748 |
|  65.5 <>  66.0 |      6 |   408 |
|  66.0 <>  66.5 |      4 |   782 |
|  66.5 <>  67.0 |      8 |  1211 |
|  67.0 <>  67.5 |      2 |   287 |
