
====================================
| IO Statistics                    |
|                                  |
| Interval size: 0.5 secs          |
| Col 1: ip.dst==27.60.1.124       |
|----------------------------------|
|                |1                |
| Interval
| Interval       | Frames |  Bytes |
|----------------------------------|
|   0.0 <>   0.5 |      0 |      0 |
|   0.5 <>   1.0 |      0 |      0 |
|   1.0 <>   1.5 |      0 |      0 |
|   1.5 <>   2.0 |      0 |      0 |
|   2.0 <>   2.5 |      4 |    280 |
|   2.5 <>   3.0 |      9 |   3160 |
|   3.0 <>   3.5 |      7 |   2607 |
|   3.5 <>   4.0 |     10 |   3277 |
|   4.0 <>   4.5 |     10 |   3279 |
|   4.5 <>   5.0 |      6 |    909 |
|   5.0 <>   5.5 |      6 |   3025 |
|   5.5 <>   6.0 |      3 |    204 |
|   6.0 <>   6.5 |      4 |   2177 |
|   6.5 <>   7.0 |     10 |   3305 |
|   7.0 <>   7.5 |      6 |   1136 |
|   7.5 <>   8.0 |      6 |   3024 |
|   8.0 <>   8.5 |      8 |   2675 |
|   8.5 <>   9.0 |      9 |   2983 |
|   9.0 <>   9.5 |      7 |   1174 |
|   9.5 <>  10.0 |      9 |   3200 |
|  10.0 <>  10.5 |      7 |   3072 |
|  10.5 <>  11.0 |      6 |   2313 |
|  11.0 <>  11.5 |      6 |   1098 |
|  11.5 <>  12.0 |      7 |   3074 |
|  12.0 <>  12.5 |      7 |   2381 |
|  12.5 <>  13.0 |      7 |   1178 |
|  13.0 <>  13.5 |      8 |   3135 |
|  13.5 <>  14.0 |      7 |   3075 |
|  14.0 <>  14.5 |     10 |   3279 |
|  14.5 <>  15.0 |      9 |   2743 |
|  15.0 <>  15.5 |      7 |   2253 |
|  15.5 <>  16.0 |      4 |   1556 |
|  16.0 <>  16.5 |      8 |   2917 |
|  16.5 <>  17.0 |      7 |   1175 |
|  17.0 <>  17.5 |     32 |  39099 |
|  17.5 <>  18.0 |     40 |  18130 |
|  18.0 <>  18.5 |     15 |   2407 |
|  18.5 <>  19.0 |      0 |      0 |
|  19.0 <>  19.5 |     16 |   2290 |
|  19.5 <>  20.0 |     10 |   2667 |
|  20.0 <>  20.5 |      9 |   2522 |
|  20.5 <>  21.0 |      0 |      0 |
|  21.0 <>  21.5 |      0 |      0 |
|  21.5 <>  22.0 |      0 |      0 |
|  22.0 <>  22.5 |     12 |    924 |
|  22.5 <>  23.0 |      0 |      0 |
|  23.0 <>  23.5 |      3 |    254 |
|  23.5 <>  24.0 |     51 |  23850 |
|  24.0 <>  24.5 |     30 |  25526 |
|  24.5 <>  25.0 |    105 |  98055 |
|  25.0 <>  25.5 |     49 |  48304 |
|  25.5 <>  26.0 |     40 |  32440 |
|  26.0 <>  26.5 |     45 |  58737 |
|  26.5 <>  27.0 |      2 |   2217 |
|  27.0 <>  27.5 |      2 |   2830 |
|  27.5 <>  28.0 |      0 |      0 |
|  28.0 <>  28.5 |      0 |      0 |
|  28.5 <>  29.0 |      0 |      0 |
|  29.0 <>  29.5 |     19 |   1268 |
|  29.5 <>  30.0 |      0 |      0 |
|  30.0 <>  30.5 |     10 |    632 |
|  30.5 <>  31.0 |      0 |      0 |
|  31.0 <>  31.5 |     11 |    748 |
|  31.5 <>  32.0 |      1 |     68 |
|  32.0 <>  32.5 |      3 |    204 |
|  32.5 <>  33.0 |      0 |      0 |
|  33.0 <>  33.5 |      0 |      0 |
|  33.5 <>  34.0 |      0 |      0 |
|  34.0 <>  34.5 |      0 |      0 |
|  34.5 <>  35.0 |      0 |      0 |
|  35.0 <>  35.5 |      0 |      0 |
|  35.5 <>  36.0 |      0 |      0 |
|  36.0 <>  36.5 |      0 |      0 |
|  36.5 <>  37.0 |      0 |      0 |
|  37.0 <>  37.5 |      0 |      0 |
|  37.5 <>  38.0 |      0 |      0 |
|  38.0 <>  38.5 |      0 |      0 |
|  38.5 <>  39.0 |      4 |   2413 |
|  39.0 <>  39.5 |     75 |  88124 |
|  39.5 <>  40.0 |     33 |  32931 |
|  40.0 <>  40.5 |    114 | 105868 |
|  40.5 <>  41.0 |     31 |  37453 |
|  41.0 <>  41.5 |      0 |      0 |
|  41.5 <>  42.0 |     56 |  57329 |
|  42.0 <>  42.5 |     28 |  15750 |
|  42.5 <>  43.0 |     12 |   1903 |
|  43.0 <>  43.5 |      0 |      0 |
|  43.5 <>  44.0 |      2 |    144 |
|  44.0 <>  44.5 |      1 |     68 |
|  44.5 <>  45.0 |      0 |      0 |
|  45.0 <>  45.5 |     13 |   1332 |
|  45.5 <>  46.0 |      4 |    272 |
|  46.0 <>  46.5 |      1 |    470 |
|  46.5 <>  47.0 |      0 |      0 |
|  47.0 <>  47.5 |      0 |      0 |
|  47.5 <>  48.0 |     11 |   2279 |
|  48.0 <>  48.5 |      9 |   1642 |
|  48.5 <>  49.0 |      4 |    426 |
|  49.0 <>  49.5 |      0 |      0 |
|  49.5 <>  50.0 |      0 |      0 |
|  50.0 <>  50.5 |      0 |      0 |
|  50.5 <>  51.0 |      0 |      0 |
|  51.0 <>  51.5 |      0 |      0 |
|  51.5 <>  52.0 |      1 |    424 |
|  52.0 <>  52.5 |      0 |      0 |
|  52.5 <>  53.0 |      2 |    692 |
|  53.0 <>  53.5 |      2 |    735 |
|  53.5 <>  54.0 |      4 |    458 |
|  54.0 <>  54.5 |      7 |    738 |
|  54.5 <>  55.0 |     17 |   7357 |
|  55.0 <>  55.5 |     11 |    889 |
|  55.5 <>  56.0 |     16 |   4879 |
|  56.0 <>  56.5 |     13 |   1864 |
|  56.5 <>  57.0 |      2 |   1030 |
|  57.0 <>  57.5 |      0 |      0 |
|  57.5 <>  58.0 |      1 |    485 |
|  58.0 <>  58.5 |      3 |    382 |
|  58.5 <>  59.0 |      1 |     97 |
|  59.0 <>  59.5 |      1 |    143 |
|  59.5 <>  60.0 |      4 |    373 |
|  60.0 <>  60.5 |      0 |      0 |
|  60.5 <>  61.0 |      1 |     76 |
|  61.0 <>  61.5 |      2 |    136 |
|  61.5 <>  62.0 |     12 |   1022 |
|  62.0 <>  62.5 |      0 |      0 |
|  62.5 <>  63.0 |      0 |      0 |
|  63.0 <>  63.5 |      1 |    539 |
|  63.5 <>  64.0 |      1 |    530 |
|  64.0 <>  64.5 |      1 |    424 |
|  64.5 <>  65.0 |      0 |      0 |
|  65.0 <>  65.5 |      0 |      0 |
|  65.5 <>  66.0 |      0 |      0 |
|  66.0 <>  66.5 |      0 |      0 |
|  66.5 <>  67.0 |      0 |      0 |
|  67.0 <>  67.5 |      0 |      0 |
|  67.5 <>  68.0 |      0 |      0 |
|  68.0 <>  68.5 |      0 |      0 |
|  68.5 <>  69.0 |      0 |      0 |
|  69.0 <>  69.5 |     17 |   9190 |
|  69.5 <>  70.0 |     20 |   1548 |
|  70.0 <>  70.5 |     11 |   5928 |
|  70.5 <>  71.0 |     14 |   2040 |
|  71.0 <>  71.5 |      0 |      0 |
|  71.5 <>  72.0 |      0 |      0 |
|  72.0 <>  72.5 |      0 |      0 |
|  72.5 <>  73.0 |      0 |      0 |
|  73.0 <>  73.5 |      0 |      0 |
|  73.5 <>  74.0 |      0 |      0 |
|  74.0 <>  74.5 |      0 |      0 |
|  74.5 <>  75.0 |      0 |      0 |
|  75.0 <>  75.5 |      0 |      0 |
|  75.5 <>  76.0 |      0 |      0 |
|  76.0 <>  76.5 |      3 |    597 |
|  76.5 <>  77.0 |      0 |      0 |
|  77.0 <>  77.5 |      0 |      0 |
|  77.5 <>  78.0 |      0 |      0 |
|  78.0 <>  78.5 |      0 |      0 |
|  78.5 <>  79.0 |      2 |    136 |
|  79.0 <>  79.5 |      2 |    136 |
|  79.5 <>  80.0 |      0 |      0 |
|  80.0 <>  80.5 |      0 |      0 |
|  80.5 <>  81.0 |      0 |      0 |
|  81.0 <>  81.5 |      0 |      0 |
|  81.5 <>  82.0 |      0 |      0 |
|  82.0 <>  82.5 |      0 |      0 |
|  82.5 <>  83.0 |      0 |      0 |
|  83.0 <>  83.5 |      0 |      0 |
|  83.5 <>  84.0 |      0 |      0 |
|  84.0 <>  84.5 |      0 |      0 |
|  84.5 <>  85.0 |      0 |      0 |
|  85.0 <>  85.5 |      0 |      0 |
|  85.5 <>  86.0 |      0 |      0 |
|  86.0 <>  86.5 |      0 |      0 |
|  86.5 <>  87.0 |      0 |      0 |
|  87.0 <>  87.5 |      1 |    369 |
|  87.5 <>  88.0 |      0 |      0 |
|  88.0 <>  88.5 |      0 |      0 |
|  88.5 <>  89.0 |      0 |      0 |
|  89.0 <>  89.5 |      0 |      0 |
|  89.5 <>  90.0 |      4 |    953 |
|  90.0 <>  90.5 |      2 |    272 |
|  90.5 <>  91.0 |      0 |      0 |
|  91.0 <>  91.5 |      0 |      0 |
|  91.5 <>  92.0 |      0 |      0 |
|  92.0 <>  92.5 |      0 |      0 |
|  92.5 <>  93.0 |      0 |      0 |
|  93.0 <>  93.5 |      0 |      0 |
|  93.5 <>  94.0 |      0 |      0 |
|  94.0 <>  94.5 |      0 |      0 |
|  94.5 <>  95.0 |      0 |      0 |
|  95.0 <>  95.5 |      0 |      0 |
|  95.5 <>  96.0 |      0 |      0 |
|  96.0 <>  96.5 |      0 |      0 |
|  96.5 <>  97.0 |      0 |      0 |
|  97.0 <>  97.5 |      0 |      0 |
|  97.5 <>  98.0 |      0 |      0 |
|  98.0 <>  98.5 |      0 |      0 |
|  98.5 <>  99.0 |      0 |      0 |
|  99.0 <>  99.5 |      0 |      0 |
|  99.5 <> 100.0 |      0 |      0 |
| 100.0 <> 100.5 |      0 |      0 |
| 100.5 <> 101.0 |      0 |      0 |
| 101.0 <> 101.5 |      0 |      0 |
| 101.5 <> 102.0 |      0 |      0 |
| 102.0 <> 102.5 |      0 |      0 |
