
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==27.60.1.124    |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      1 |    76 |
|  0.5 <>  1.0 |      0 |     0 |
|  1.0 <>  1.5 |      0 |     0 |
|  1.5 <>  2.0 |      0 |     0 |
|  2.0 <>  2.5 |      0 |     0 |
|  2.5 <>  3.0 |      2 |   137 |
|  3.0 <>  3.5 |      1 |   190 |
|  3.5 <>  4.0 |      4 |   273 |
|  4.0 <>  4.5 |      1 |   144 |
|  4.5 <>  5.0 |      1 |    68 |
|  5.0 <>  5.5 |      0 |     0 |
|  5.5 <>  6.0 |      0 |     0 |
|  6.0 <>  6.5 |      0 |     0 |
|  6.5 <>  7.0 |      0 |     0 |
|  7.0 <>  7.5 |      0 |     0 |
|  7.5 <>  8.0 |      1 |    56 |
|  8.0 <>  8.5 |      0 |     0 |
|  8.5 <>  9.0 |      0 |     0 |
|  9.0 <>  9.5 |      0 |     0 |
|  9.5 <> 10.0 |      0 |     0 |
| 10.0 <> 10.5 |      0 |     0 |
| 10.5 <> 11.0 |      0 |     0 |
| 11.0 <> 11.5 |      0 |     0 |
| 11.5 <> 12.0 |      0 |     0 |
| 12.0 <> 12.5 |      0 |     0 |
| 12.5 <> 13.0 |      0 |     0 |
| 13.0 <> 13.5 |      0 |     0 |
| 13.5 <> 14.0 |      1 |    76 |
| 14.0 <> 14.5 |     30 |  2464 |
| 14.5 <> 15.0 |     30 |  2533 |
| 15.0 <> 15.5 |     15 |  1061 |
| 15.5 <> 16.0 |     10 |   770 |
| 16.0 <> 16.5 |     17 |  1614 |
| 16.5 <> 17.0 |     11 |  1323 |
| 17.0 <> 17.5 |     24 |  2771 |
| 17.5 <> 18.0 |     28 |  2680 |
| 18.0 <> 18.5 |     14 |  2919 |
| 18.5 <> 19.0 |     21 |  4019 |
| 19.0 <> 19.5 |     11 |  1171 |
| 19.5 <> 20.0 |     56 |  7710 |
| 20.0 <> 20.5 |     12 |  4097 |
| 20.5 <> 21.0 |     81 | 13060 |
| 21.0 <> 21.5 |     17 |  1156 |
| 21.5 <> 22.0 |     45 |  6711 |
| 22.0 <> 22.5 |     39 |  5380 |
| 22.5 <> 23.0 |     42 |  4929 |
| 23.0 <> 23.5 |      0 |     0 |
| 23.5 <> 24.0 |     23 |  4960 |
| 24.0 <> 24.5 |     40 |  8527 |
| 24.5 <> 25.0 |      8 |   544 |
| 25.0 <> 25.5 |     28 |  4328 |
| 25.5 <> 26.0 |     45 |  3060 |
| 26.0 <> 26.5 |     14 |  6535 |
| 26.5 <> 27.0 |     13 |   884 |
| 27.0 <> 27.5 |     12 |  1966 |
| 27.5 <> 28.0 |      7 |   440 |
| 28.0 <> 28.5 |     48 |  7968 |
| 28.5 <> 29.0 |     37 |  5237 |
| 29.0 <> 29.5 |      9 |  1815 |
| 29.5 <> 30.0 |      8 |  3605 |
| 30.0 <> 30.5 |     90 | 15336 |
| 30.5 <> 31.0 |     95 |  8136 |
| 31.0 <> 31.5 |     59 |  5952 |
| 31.5 <> 32.0 |      5 |   340 |
| 32.0 <> 32.5 |     25 |  3499 |
| 32.5 <> 33.0 |     36 |  2931 |
| 33.0 <> 33.5 |     25 |  4768 |
| 33.5 <> 34.0 |     14 |  1329 |
| 34.0 <> 34.5 |      4 |   272 |
| 34.5 <> 35.0 |      4 |   284 |
| 35.0 <> 35.5 |      1 |    68 |
| 35.5 <> 36.0 |      1 |    68 |
| 36.0 <> 36.5 |     43 |  3320 |
| 36.5 <> 37.0 |      0 |     0 |
| 37.0 <> 37.5 |      0 |     0 |
| 37.5 <> 38.0 |     10 |  1307 |
| 38.0 <> 38.5 |     13 |   991 |
| 38.5 <> 39.0 |      5 |   304 |
| 39.0 <> 39.5 |      0 |     0 |
| 39.5 <> 40.0 |      0 |     0 |
| 40.0 <> 40.5 |      0 |     0 |
| 40.5 <> 41.0 |      0 |     0 |
| 41.0 <> 41.5 |      2 |   136 |
| 41.5 <> 42.0 |      0 |     0 |
| 42.0 <> 42.5 |      1 |  1120 |
| 42.5 <> 43.0 |      2 |   145 |
| 43.0 <> 43.5 |     14 |  1090 |
| 43.5 <> 44.0 |      6 |   487 |
| 44.0 <> 44.5 |      0 |     0 |
| 44.5 <> 45.0 |      0 |     0 |
| 45.0 <> 45.5 |      0 |     0 |
| 45.5 <> 46.0 |      0 |     0 |
| 46.0 <> 46.5 |      0 |     0 |
| 46.5 <> 47.0 |      0 |     0 |
| 47.0 <> 47.5 |      0 |     0 |
| 47.5 <> 48.0 |      0 |     0 |
| 48.0 <> 48.5 |      7 |   560 |
| 48.5 <> 49.0 |      4 |   352 |
| 49.0 <> 49.5 |      0 |     0 |
| 49.5 <> 50.0 |      0 |     0 |
| 50.0 <> 50.5 |      0 |     0 |
| 50.5 <> 51.0 |      0 |     0 |
| 51.0 <> 51.5 |      0 |     0 |
| 51.5 <> 52.0 |      0 |     0 |
| 52.0 <> 52.5 |      0 |     0 |
| 52.5 <> 53.0 |      0 |     0 |
| 53.0 <> 53.5 |      1 |    81 |
| 53.5 <> 54.0 |     11 |   950 |
| 54.0 <> 54.5 |      3 |   251 |
| 54.5 <> 55.0 |      2 |  1188 |
| 55.0 <> 55.5 |      0 |     0 |
| 55.5 <> 56.0 |      0 |     0 |
| 56.0 <> 56.5 |      0 |     0 |
| 56.5 <> 57.0 |      0 |     0 |
| 57.0 <> 57.5 |      0 |     0 |
| 57.5 <> 58.0 |      0 |     0 |
| 58.0 <> 58.5 |      0 |     0 |
| 58.5 <> 59.0 |      8 |   626 |
| 59.0 <> 59.5 |      1 |    92 |
| 59.5 <> 60.0 |      1 |    68 |
| 60.0 <> 60.5 |      0 |     0 |
| 60.5 <> 61.0 |      0 |     0 |
| 61.0 <> 61.5 |      0 |     0 |
| 61.5 <> 62.0 |      0 |     0 |
| 62.0 <> 62.5 |      0 |     0 |
| 62.5 <> 63.0 |      0 |     0 |
| 63.0 <> 63.5 |      6 |   456 |
| 63.5 <> 64.0 |     13 |  2609 |
| 64.0 <> 64.5 |      7 |   476 |
| 64.5 <> 65.0 |      0 |     0 |
| 65.0 <> 65.5 |      0 |     0 |
| 65.5 <> 66.0 |      0 |     0 |
| 66.0 <> 66.5 |      0 |     0 |
| 66.5 <> 67.0 |      0 |     0 |
| 67.0 <> 67.5 |      0 |     0 |
