
====================================
| IO Statistics                    |
|                                  |
| Interval size: 0.5 secs          |
| Col 1: Frames and bytes          |
|----------------------------------|
|                |1                |
| Interval
| Interval       | Frames |  Bytes |
|----------------------------------|
|   0.0 <>   0.5 |      7 |   2405 |
|   0.5 <>   1.0 |     14 |   1975 |
|   1.0 <>   1.5 |     18 |   2426 |
|   1.5 <>   2.0 |     29 |  16694 |
|   2.0 <>   2.5 |      2 |    156 |
|   2.5 <>   3.0 |      0 |      0 |
|   3.0 <>   3.5 |      6 |    408 |
|   3.5 <>   4.0 |      3 |    204 |
|   4.0 <>   4.5 |      0 |      0 |
|   4.5 <>   5.0 |      0 |      0 |
|   5.0 <>   5.5 |     12 |    780 |
|   5.5 <>   6.0 |      0 |      0 |
|   6.0 <>   6.5 |      0 |      0 |
|   6.5 <>   7.0 |      0 |      0 |
|   7.0 <>   7.5 |      0 |      0 |
|   7.5 <>   8.0 |      0 |      0 |
|   8.0 <>   8.5 |      0 |      0 |
|   8.5 <>   9.0 |      0 |      0 |
|   9.0 <>   9.5 |      0 |      0 |
|   9.5 <>  10.0 |      0 |      0 |
|  10.0 <>  10.5 |      0 |      0 |
|  10.5 <>  11.0 |      0 |      0 |
|  11.0 <>  11.5 |      0 |      0 |
|  11.5 <>  12.0 |      0 |      0 |
|  12.0 <>  12.5 |      0 |      0 |
|  12.5 <>  13.0 |      0 |      0 |
|  13.0 <>  13.5 |      0 |      0 |
|  13.5 <>  14.0 |      0 |      0 |
|  14.0 <>  14.5 |      0 |      0 |
|  14.5 <>  15.0 |      0 |      0 |
|  15.0 <>  15.5 |      0 |      0 |
|  15.5 <>  16.0 |      0 |      0 |
|  16.0 <>  16.5 |      0 |      0 |
|  16.5 <>  17.0 |      0 |      0 |
|  17.0 <>  17.5 |      0 |      0 |
|  17.5 <>  18.0 |      0 |      0 |
|  18.0 <>  18.5 |      0 |      0 |
|  18.5 <>  19.0 |      0 |      0 |
|  19.0 <>  19.5 |      0 |      0 |
|  19.5 <>  20.0 |      0 |      0 |
|  20.0 <>  20.5 |      1 |     76 |
|  20.5 <>  21.0 |      0 |      0 |
|  21.0 <>  21.5 |      0 |      0 |
|  21.5 <>  22.0 |      0 |      0 |
|  22.0 <>  22.5 |      0 |      0 |
|  22.5 <>  23.0 |      5 |    656 |
|  23.0 <>  23.5 |     14 |   3921 |
|  23.5 <>  24.0 |     16 |   3788 |
|  24.0 <>  24.5 |     20 |   4589 |
|  24.5 <>  25.0 |     21 |   4660 |
|  25.0 <>  25.5 |     18 |   3992 |
|  25.5 <>  26.0 |     21 |   4538 |
|  26.0 <>  26.5 |     17 |   2465 |
|  26.5 <>  27.0 |     20 |   4567 |
|  27.0 <>  27.5 |     14 |   3940 |
|  27.5 <>  28.0 |     21 |   4636 |
|  28.0 <>  28.5 |     18 |   4403 |
|  28.5 <>  29.0 |     20 |   4575 |
|  29.0 <>  29.5 |     20 |   4108 |
|  29.5 <>  30.0 |     21 |   4646 |
|  30.0 <>  30.5 |     26 |   8172 |
|  30.5 <>  31.0 |     81 |  47089 |
|  31.0 <>  31.5 |     52 |   7349 |
|  31.5 <>  32.0 |     26 |   4104 |
|  32.0 <>  32.5 |     42 |   7653 |
|  32.5 <>  33.0 |     28 |   4868 |
|  33.0 <>  33.5 |     22 |   5316 |
|  33.5 <>  34.0 |      0 |      0 |
|  34.0 <>  34.5 |      0 |      0 |
|  34.5 <>  35.0 |      0 |      0 |
|  35.0 <>  35.5 |      0 |      0 |
|  35.5 <>  36.0 |     39 |  15136 |
|  36.0 <>  36.5 |     49 |  14580 |
|  36.5 <>  37.0 |     27 |   2673 |
|  37.0 <>  37.5 |     65 |  38563 |
|  37.5 <>  38.0 |    110 |  57583 |
|  38.0 <>  38.5 |     10 |   6059 |
|  38.5 <>  39.0 |     14 |   4469 |
|  39.0 <>  39.5 |      0 |      0 |
|  39.5 <>  40.0 |      0 |      0 |
|  40.0 <>  40.5 |      0 |      0 |
|  40.5 <>  41.0 |      1 |     90 |
|  41.0 <>  41.5 |      1 |    541 |
|  41.5 <>  42.0 |     19 |   1232 |
|  42.0 <>  42.5 |      0 |      0 |
|  42.5 <>  43.0 |      3 |    204 |
|  43.0 <>  43.5 |      0 |      0 |
|  43.5 <>  44.0 |      0 |      0 |
|  44.0 <>  44.5 |      0 |      0 |
|  44.5 <>  45.0 |      0 |      0 |
|  45.0 <>  45.5 |      0 |      0 |
|  45.5 <>  46.0 |      0 |      0 |
|  46.0 <>  46.5 |      0 |      0 |
|  46.5 <>  47.0 |      0 |      0 |
|  47.0 <>  47.5 |      0 |      0 |
|  47.5 <>  48.0 |      0 |      0 |
|  48.0 <>  48.5 |      0 |      0 |
|  48.5 <>  49.0 |      0 |      0 |
|  49.0 <>  49.5 |      0 |      0 |
|  49.5 <>  50.0 |      0 |      0 |
|  50.0 <>  50.5 |      0 |      0 |
|  50.5 <>  51.0 |      0 |      0 |
|  51.0 <>  51.5 |      0 |      0 |
