110.225.91.4,107.20.164.39,1505,0.000000000,0.8303,1 objects with urls like: http://data.mobclix.com/post/config?p=android&a=B2...
110.225.91.4,107.21.253.152,1339,0.555880000,39.1145,1 objects with urls like: http://ads.mobclix.com/?p=android&i=B2AA25CC-205D-...
110.225.91.4,96.17.182.65,46000,11.381050000,5.1167,1 objects with urls like: http://timesofindia.indiatimes.com/	15.956079000...
110.225.91.4,96.17.182.65,93140,15.957032000,42.3982,14 objects with urls like: http://timesofindia.indiatimes.com/defaultintersti...
110.225.91.4,96.17.182.65,616,16.166745000,10.3575,0 objects
110.225.91.4,96.17.182.65,616,16.170850000,10.3535,0 objects
110.225.91.4,96.17.182.65,616,16.174897000,10.3494,0 objects
110.225.91.4,96.17.182.65,684,16.178370000,10.3562,0 objects
110.225.91.4,173.194.36.79,4558,16.499132000,59.5347,0 objects
110.225.91.4,173.194.36.78,4592,16.664487000,11.8395,3 objects with urls like: http://www.google-analytics.com/__utm.gif?utmwv=5....
110.225.91.4,223.165.25.20,7783,16.669908000,23.7630,5 objects with urls like: http://netspiderads2.indiatimes.com/ads.dll/getad?...
110.225.91.4,96.17.182.43,988,16.678032000,9.8462,0 objects
110.225.91.4,223.165.25.20,416,16.718182000,9.7433,0 objects
110.225.91.4,173.194.36.78,1172,16.797358000,9.7374,0 objects
110.225.91.4,98.124.156.54,8588,16.819955000,53.4782,4 objects with urls like: http://www9.effectivemeasure.net/v4/em_js?flag=0&v...
110.225.91.4,98.124.156.54,1719,16.820332000,32.4323,1 objects with urls like: http://www9.effectivemeasure.net/v4/em_ck_img?hl=1...
110.225.91.4,96.17.182.65,424,16.972060000,9.4902,0 objects
110.225.91.4,98.124.156.54,1809,17.099009000,32.1239,1 objects with urls like: http://www9.effectivemeasure.net/img.gif	18.469851...
110.225.91.4,98.124.156.54,492,17.099155000,9.3891,0 objects
110.225.91.4,96.17.182.40,830,17.578402000,0.1088,1 objects with urls like: http://timesofindia.indiatimes.com/favicon.ico	17....
110.225.91.4,96.17.182.65,110058,27.799451000,94.7057,17 objects with urls like: http://timesofindia.indiatimes.com/thumb/19801984....
110.225.91.4,96.17.182.65,51084,27.803033000,30.5512,12 objects with urls like: http://timesofindia.indiatimes.com/photo/19801705....
110.225.91.4,96.17.182.65,424,27.849574000,6.4543,0 objects
110.225.91.4,96.17.182.65,424,27.851714000,6.4407,0 objects
110.225.91.4,96.17.182.65,424,27.918993000,6.3732,0 objects
110.225.91.4,96.17.182.65,424,27.920310000,6.3830,0 objects
110.225.91.4,96.17.182.65,424,27.952599000,6.3330,0 objects
110.225.91.4,96.17.182.65,424,27.953833000,6.3319,0 objects
110.225.91.4,96.17.182.65,424,27.955435000,6.3300,0 objects
110.225.91.4,96.17.182.65,424,27.957186000,6.3280,0 objects
110.225.91.4,96.17.182.65,424,27.958632000,6.3267,0 objects
110.225.91.4,96.17.182.65,424,27.959959000,6.3251,0 objects
110.225.91.4,96.17.182.65,424,27.961305000,6.3234,0 objects
110.225.91.4,96.17.182.65,424,27.963257000,6.3216,0 objects
110.225.91.4,96.17.182.65,424,27.964923000,6.3196,0 objects
110.225.91.4,96.17.182.65,424,28.090591000,6.1935,0 objects
110.225.91.4,96.17.182.65,424,28.090738000,6.1936,0 objects
110.225.91.4,96.17.182.65,424,28.096760000,6.1676,0 objects
110.225.91.4,96.17.182.65,424,28.098231000,6.1855,0 objects
110.225.91.4,96.17.182.65,424,28.103259000,6.1610,0 objects
110.225.91.4,96.17.182.65,424,28.105644000,6.1585,0 objects
110.225.91.4,96.17.182.65,424,28.107047000,6.1569,0 objects
110.225.91.4,96.17.182.65,424,28.108427000,6.1557,0 objects
110.225.91.4,96.17.182.65,424,28.109836000,6.1536,0 objects
110.225.91.4,96.17.182.65,424,28.113122000,6.1506,0 objects
110.225.91.4,96.17.182.65,424,28.157966000,6.1053,0 objects
110.225.91.4,96.17.182.65,424,28.160099000,6.1029,0 objects
110.225.91.4,96.17.182.65,424,28.189289000,6.0743,0 objects
110.225.91.4,96.17.182.41,1793,28.205267000,0.3691,1 objects with urls like: http://b.scorecardresearch.com/b?c1=2&c2=6036484&n...
110.225.91.4,96.17.182.41,1369,28.205784000,0.4284,1 objects with urls like: http://b.scorecardresearch.com/b2?c1=2&c2=6036484&...
110.225.91.4,96.17.182.41,424,28.206067000,6.0578,0 objects
110.225.91.4,173.194.36.90,977,28.206893000,0.4072,1 objects with urls like: http://www.googletagservices.com/tag/js/gpt.js	28....
110.225.91.4,173.194.36.90,424,28.207227000,6.0783,0 objects
110.225.91.4,96.17.182.65,424,28.339647000,5.8943,0 objects
110.225.91.4,96.17.182.65,424,28.341635000,5.8920,0 objects
110.225.91.4,96.17.182.65,424,28.347938000,5.8858,0 objects
110.225.91.4,96.17.182.65,424,28.350191000,5.8837,0 objects
110.225.91.4,96.17.182.65,424,28.351266000,5.8821,0 objects
110.225.91.4,96.17.182.65,424,28.354812000,5.8784,0 objects
110.225.91.4,96.17.182.65,424,28.356817000,5.8762,0 objects
110.225.91.4,96.17.182.65,424,28.362131000,5.8707,0 objects
110.225.91.4,223.165.31.15,1155,28.489397000,0.3186,1 objects with urls like: http://ads.indiatimes.com/ads.dll/genptypead?sloti...
110.225.91.4,223.165.31.15,416,28.490132000,5.7938,0 objects
110.225.91.4,223.165.31.12,5507,28.496795000,10.6903,4 objects with urls like: http://netspiderads3.indiatimes.com/ads.dll/getjso...
110.225.91.4,223.165.31.12,416,28.498498000,5.7394,0 objects
110.225.91.4,74.125.135.95,368,28.500712000,5.8036,0 objects
110.225.91.4,96.17.182.66,424,28.502147000,5.6848,0 objects
110.225.91.4,96.17.182.58,424,28.504996000,5.6785,0 objects
110.225.91.4,96.17.182.58,424,28.505409000,5.6778,0 objects
110.225.91.4,96.17.182.58,424,28.506290000,5.6766,0 objects
110.225.91.4,173.194.36.77,424,28.506886000,5.7136,0 objects
110.225.91.4,173.194.36.77,424,28.507725000,5.7849,0 objects
110.225.91.4,96.17.182.57,424,34.103568000,6.1247,0 objects
