
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: Frames and bytes         |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |      9 |  1514 |
|   0.5 <>   1.0 |      6 |  1098 |
|   1.0 <>   1.5 |      1 |    56 |
|   1.5 <>   2.0 |      0 |     0 |
|   2.0 <>   2.5 |      0 |     0 |
|   2.5 <>   3.0 |      0 |     0 |
|   3.0 <>   3.5 |      4 |   362 |
|   3.5 <>   4.0 |      0 |     0 |
|   4.0 <>   4.5 |      0 |     0 |
|   4.5 <>   5.0 |      0 |     0 |
|   5.0 <>   5.5 |      0 |     0 |
|   5.5 <>   6.0 |      0 |     0 |
|   6.0 <>   6.5 |      0 |     0 |
|   6.5 <>   7.0 |      0 |     0 |
|   7.0 <>   7.5 |      0 |     0 |
|   7.5 <>   8.0 |      0 |     0 |
|   8.0 <>   8.5 |      0 |     0 |
|   8.5 <>   9.0 |      0 |     0 |
|   9.0 <>   9.5 |      0 |     0 |
|   9.5 <>  10.0 |      0 |     0 |
|  10.0 <>  10.5 |      0 |     0 |
|  10.5 <>  11.0 |      0 |     0 |
|  11.0 <>  11.5 |      1 |    76 |
|  11.5 <>  12.0 |      1 |    89 |
|  12.0 <>  12.5 |      0 |     0 |
|  12.5 <>  13.0 |      0 |     0 |
|  13.0 <>  13.5 |      0 |     0 |
|  13.5 <>  14.0 |      0 |     0 |
|  14.0 <>  14.5 |      1 |    76 |
|  14.5 <>  15.0 |      0 |     0 |
|  15.0 <>  15.5 |      0 |     0 |
|  15.5 <>  16.0 |      7 |   940 |
|  16.0 <>  16.5 |     85 | 47404 |
|  16.5 <>  17.0 |     51 | 10056 |
|  17.0 <>  17.5 |     19 |  2951 |
|  17.5 <>  18.0 |     18 |  2574 |
|  18.0 <>  18.5 |      7 |  4041 |
|  18.5 <>  19.0 |     10 |  2422 |
|  19.0 <>  19.5 |      0 |     0 |
|  19.5 <>  20.0 |      0 |     0 |
|  20.0 <>  20.5 |      0 |     0 |
|  20.5 <>  21.0 |      0 |     0 |
|  21.0 <>  21.5 |      0 |     0 |
|  21.5 <>  22.0 |      7 |   476 |
|  22.0 <>  22.5 |      1 |    68 |
|  22.5 <>  23.0 |      3 |   204 |
|  23.0 <>  23.5 |      0 |     0 |
|  23.5 <>  24.0 |      0 |     0 |
|  24.0 <>  24.5 |      1 |    68 |
|  24.5 <>  25.0 |      1 |    68 |
|  25.0 <>  25.5 |      0 |     0 |
|  25.5 <>  26.0 |     13 |   884 |
|  26.0 <>  26.5 |     27 |  1824 |
