
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: ip.src==110.225.91.4     |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |      1 |   359 |
|   0.5 <>   1.0 |      0 |     0 |
|   1.0 <>   1.5 |      0 |     0 |
|   1.5 <>   2.0 |      0 |     0 |
|   2.0 <>   2.5 |      0 |     0 |
|   2.5 <>   3.0 |     71 |  7297 |
|   3.0 <>   3.5 |    187 | 21104 |
|   3.5 <>   4.0 |    135 | 11037 |
|   4.0 <>   4.5 |     22 |  3076 |
|   4.5 <>   5.0 |     46 |  3528 |
|   5.0 <>   5.5 |      0 |     0 |
|   5.5 <>   6.0 |      0 |     0 |
|   6.0 <>   6.5 |      0 |     0 |
|   6.5 <>   7.0 |      0 |     0 |
|   7.0 <>   7.5 |      0 |     0 |
|   7.5 <>   8.0 |      0 |     0 |
|   8.0 <>   8.5 |      1 |    88 |
|   8.5 <>   9.0 |      1 |    89 |
|   9.0 <>   9.5 |     73 |  4932 |
|   9.5 <>  10.0 |     63 |  4276 |
|  10.0 <>  10.5 |     17 |  1456 |
|  10.5 <>  11.0 |      0 |     0 |
|  11.0 <>  11.5 |      0 |     0 |
|  11.5 <>  12.0 |      0 |     0 |
|  12.0 <>  12.5 |      0 |     0 |
|  12.5 <>  13.0 |      0 |     0 |
|  13.0 <>  13.5 |      0 |     0 |
|  13.5 <>  14.0 |      0 |     0 |
|  14.0 <>  14.5 |      0 |     0 |
|  14.5 <>  15.0 |      0 |     0 |
|  15.0 <>  15.5 |      5 |   359 |
|  15.5 <>  16.0 |      0 |     0 |
|  16.0 <>  16.5 |      8 |  1051 |
|  16.5 <>  17.0 |      3 |   374 |
|  17.0 <>  17.5 |      7 |  1068 |
|  17.5 <>  18.0 |      5 |  1616 |
|  18.0 <>  18.5 |      7 |   968 |
|  18.5 <>  19.0 |     41 |  5518 |
|  19.0 <>  19.5 |     59 | 11793 |
|  19.5 <>  20.0 |    153 | 21450 |
|  20.0 <>  20.5 |     71 |  6450 |
|  20.5 <>  21.0 |     19 |  1602 |
|  21.0 <>  21.5 |      5 |  2330 |
|  21.5 <>  22.0 |      5 |   743 |
|  22.0 <>  22.5 |      8 |  3357 |
|  22.5 <>  23.0 |     18 |  2290 |
|  23.0 <>  23.5 |      3 |   236 |
|  23.5 <>  24.0 |      4 |   630 |
|  24.0 <>  24.5 |     15 |  1020 |
|  24.5 <>  25.0 |      1 |    68 |
|  25.0 <>  25.5 |     33 |  2208 |
|  25.5 <>  26.0 |     35 |  2694 |
|  26.0 <>  26.5 |      0 |     0 |
|  26.5 <>  27.0 |     17 |  7249 |
|  27.0 <>  27.5 |    120 | 15103 |
|  27.5 <>  28.0 |      2 |   136 |
|  28.0 <>  28.5 |      7 |  1654 |
|  28.5 <>  29.0 |     11 |  4022 |
|  29.0 <>  29.5 |     10 |  3203 |
|  29.5 <>  30.0 |     84 |  8863 |
|  30.0 <>  30.5 |     79 |  6445 |
|  30.5 <>  31.0 |      0 |     0 |
|  31.0 <>  31.5 |      0 |     0 |
|  31.5 <>  32.0 |      0 |     0 |
|  32.0 <>  32.5 |      0 |     0 |
|  32.5 <>  33.0 |     60 | 15333 |
|  33.0 <>  33.5 |     89 | 12942 |
|  33.5 <>  34.0 |     94 |  6426 |
|  34.0 <>  34.5 |     37 |  2540 |
|  34.5 <>  35.0 |      5 |  2555 |
|  35.0 <>  35.5 |     23 |  1564 |
|  35.5 <>  36.0 |     23 |  1564 |
|  36.0 <>  36.5 |     53 |  3640 |
|  36.5 <>  37.0 |     13 |   884 |
|  37.0 <>  37.5 |      0 |     0 |
|  37.5 <>  38.0 |      0 |     0 |
|  38.0 <>  38.5 |      0 |     0 |
|  38.5 <>  39.0 |      0 |     0 |
|  39.0 <>  39.5 |     42 |  2856 |
|  39.5 <>  40.0 |     43 |  4058 |
|  40.0 <>  40.5 |      5 |   340 |
|  40.5 <>  41.0 |      0 |     0 |
|  41.0 <>  41.5 |      0 |     0 |
|  41.5 <>  42.0 |      0 |     0 |
|  42.0 <>  42.5 |      0 |     0 |
|  42.5 <>  43.0 |      0 |     0 |
|  43.0 <>  43.5 |      0 |     0 |
|  43.5 <>  44.0 |      0 |     0 |
|  44.0 <>  44.5 |      0 |     0 |
|  44.5 <>  45.0 |      2 |   164 |
|  45.0 <>  45.5 |      0 |     0 |
|  45.5 <>  46.0 |      0 |     0 |
|  46.0 <>  46.5 |      0 |     0 |
|  46.5 <>  47.0 |      5 |  1859 |
|  47.0 <>  47.5 |      0 |     0 |
|  47.5 <>  48.0 |     19 |  1292 |
|  48.0 <>  48.5 |      1 |    68 |
|  48.5 <>  49.0 |      0 |     0 |
|  49.0 <>  49.5 |      0 |     0 |
|  49.5 <>  50.0 |     11 |   844 |
|  50.0 <>  50.5 |     12 |  3898 |
|  50.5 <>  51.0 |      4 |   579 |
|  51.0 <>  51.5 |     54 |  8249 |
|  51.5 <>  52.0 |    108 | 13574 |
|  52.0 <>  52.5 |     22 |  1496 |
|  52.5 <>  53.0 |     12 |   816 |
|  53.0 <>  53.5 |     20 |  3469 |
|  53.5 <>  54.0 |     17 |  1736 |
|  54.0 <>  54.5 |      0 |     0 |
|  54.5 <>  55.0 |      7 |  1838 |
|  55.0 <>  55.5 |     62 |  7200 |
|  55.5 <>  56.0 |     15 |  1254 |
|  56.0 <>  56.5 |     20 |  1695 |
|  56.5 <>  57.0 |     11 |   748 |
|  57.0 <>  57.5 |      3 |   204 |
|  57.5 <>  58.0 |     10 |   680 |
|  58.0 <>  58.5 |      2 |   152 |
|  58.5 <>  59.0 |     18 |  1596 |
|  59.0 <>  59.5 |      0 |     0 |
|  59.5 <>  60.0 |      3 |   235 |
|  60.0 <>  60.5 |      6 |   928 |
|  60.5 <>  61.0 |     26 |  1792 |
|  61.0 <>  61.5 |     19 |  1292 |
|  61.5 <>  62.0 |      2 |   136 |
|  62.0 <>  62.5 |      0 |     0 |
|  62.5 <>  63.0 |      2 |   173 |
|  63.0 <>  63.5 |      0 |     0 |
|  63.5 <>  64.0 |      2 |   136 |
|  64.0 <>  64.5 |      0 |     0 |
|  64.5 <>  65.0 |      0 |     0 |
|  65.0 <>  65.5 |      0 |     0 |
|  65.5 <>  66.0 |      0 |     0 |
|  66.0 <>  66.5 |      0 |     0 |
|  66.5 <>  67.0 |      0 |     0 |
|  67.0 <>  67.5 |      0 |     0 |
|  67.5 <>  68.0 |      0 |     0 |
|  68.0 <>  68.5 |      0 |     0 |
|  68.5 <>  69.0 |      0 |     0 |
|  69.0 <>  69.5 |      0 |     0 |
|  69.5 <>  70.0 |      0 |     0 |
|  70.0 <>  70.5 |      0 |     0 |
|  70.5 <>  71.0 |      1 |    68 |
|  71.0 <>  71.5 |      0 |     0 |
|  71.5 <>  72.0 |      1 |    68 |
|  72.0 <>  72.5 |      0 |     0 |
|  72.5 <>  73.0 |      0 |     0 |
|  73.0 <>  73.5 |      0 |     0 |
|  73.5 <>  74.0 |      0 |     0 |
|  74.0 <>  74.5 |      0 |     0 |
|  74.5 <>  75.0 |      0 |     0 |
|  75.0 <>  75.5 |      0 |     0 |
|  75.5 <>  76.0 |      0 |     0 |
|  76.0 <>  76.5 |      0 |     0 |
|  76.5 <>  77.0 |      0 |     0 |
|  77.0 <>  77.5 |      0 |     0 |
|  77.5 <>  78.0 |      0 |     0 |
|  78.0 <>  78.5 |      0 |     0 |
|  78.5 <>  79.0 |      0 |     0 |
|  79.0 <>  79.5 |      0 |     0 |
|  79.5 <>  80.0 |      0 |     0 |
|  80.0 <>  80.5 |      0 |     0 |
|  80.5 <>  81.0 |      0 |     0 |
|  81.0 <>  81.5 |      0 |     0 |
|  81.5 <>  82.0 |      0 |     0 |
|  82.0 <>  82.5 |      0 |     0 |
|  82.5 <>  83.0 |      0 |     0 |
|  83.0 <>  83.5 |      0 |     0 |
