
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: Frames and bytes        |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      1 |    359 |
|  0.5 <>  1.0 |      0 |      0 |
|  1.0 <>  1.5 |      0 |      0 |
|  1.5 <>  2.0 |      0 |      0 |
|  2.0 <>  2.5 |      0 |      0 |
|  2.5 <>  3.0 |    163 |  96278 |
|  3.0 <>  3.5 |    307 | 133495 |
|  3.5 <>  4.0 |     87 |  53399 |
|  4.0 <>  4.5 |     72 |  70825 |
|  4.5 <>  5.0 |      0 |      0 |
|  5.0 <>  5.5 |      0 |      0 |
|  5.5 <>  6.0 |      0 |      0 |
|  6.0 <>  6.5 |      0 |      0 |
|  6.5 <>  7.0 |      0 |      0 |
|  7.0 <>  7.5 |      0 |      0 |
|  7.5 <>  8.0 |      1 |     90 |
|  8.0 <>  8.5 |      2 |    157 |
|  8.5 <>  9.0 |      0 |      0 |
|  9.0 <>  9.5 |     28 |   1880 |
|  9.5 <> 10.0 |     82 |  12507 |
| 10.0 <> 10.5 |      7 |   1035 |
| 10.5 <> 11.0 |     16 |   2772 |
| 11.0 <> 11.5 |      6 |   2714 |
| 11.5 <> 12.0 |      3 |   1480 |
| 12.0 <> 12.5 |     13 |   2691 |
| 12.5 <> 13.0 |      7 |    935 |
| 13.0 <> 13.5 |      0 |      0 |
| 13.5 <> 14.0 |      0 |      0 |
| 14.0 <> 14.5 |      0 |      0 |
| 14.5 <> 15.0 |      1 |     68 |
| 15.0 <> 15.5 |      3 |    212 |
| 15.5 <> 16.0 |      1 |     88 |
| 16.0 <> 16.5 |      0 |      0 |
| 16.5 <> 17.0 |      0 |      0 |
| 17.0 <> 17.5 |      4 |    300 |
| 17.5 <> 18.0 |      3 |    675 |
| 18.0 <> 18.5 |      5 |   1043 |
| 18.5 <> 19.0 |    344 | 175013 |
| 19.0 <> 19.5 |    277 | 150202 |
| 19.5 <> 20.0 |     15 |   9050 |
| 20.0 <> 20.5 |      0 |      0 |
| 20.5 <> 21.0 |      8 |   2617 |
| 21.0 <> 21.5 |     11 |   2545 |
| 21.5 <> 22.0 |     65 |  33070 |
| 22.0 <> 22.5 |      0 |      0 |
| 22.5 <> 23.0 |      1 |     68 |
| 23.0 <> 23.5 |      2 |    136 |
| 23.5 <> 24.0 |      6 |    408 |
| 24.0 <> 24.5 |    184 |  81604 |
| 24.5 <> 25.0 |     74 |   5421 |
| 25.0 <> 25.5 |    124 |  74827 |
| 25.5 <> 26.0 |    134 | 101361 |
| 26.0 <> 26.5 |      0 |      0 |
| 26.5 <> 27.0 |      1 |     88 |
| 27.0 <> 27.5 |     64 |  34442 |
| 27.5 <> 28.0 |      1 |    405 |
| 28.0 <> 28.5 |    195 | 124230 |
| 28.5 <> 29.0 |    257 | 132829 |
| 29.0 <> 29.5 |      0 |      0 |
| 29.5 <> 30.0 |      6 |    408 |
| 30.0 <> 30.5 |     14 |   1157 |
| 30.5 <> 31.0 |      9 |    612 |
| 31.0 <> 31.5 |      0 |      0 |
| 31.5 <> 32.0 |      0 |      0 |
| 32.0 <> 32.5 |      0 |      0 |
| 32.5 <> 33.0 |      5 |    340 |
| 33.0 <> 33.5 |     10 |    680 |
| 33.5 <> 34.0 |     36 |   2448 |
| 34.0 <> 34.5 |     79 |   5372 |
| 34.5 <> 35.0 |      0 |      0 |
| 35.0 <> 35.5 |      0 |      0 |
| 35.5 <> 36.0 |      0 |      0 |
| 36.0 <> 36.5 |      0 |      0 |
| 36.5 <> 37.0 |      0 |      0 |
| 37.0 <> 37.5 |      5 |    406 |
| 37.5 <> 38.0 |      0 |      0 |
| 38.0 <> 38.5 |      0 |      0 |
| 38.5 <> 39.0 |      2 |    112 |
| 39.0 <> 39.5 |      0 |      0 |
| 39.5 <> 40.0 |      3 |   1375 |
| 40.0 <> 40.5 |      0 |      0 |
| 40.5 <> 41.0 |     30 |  22208 |
| 41.0 <> 41.5 |      0 |      0 |
| 41.5 <> 42.0 |      0 |      0 |
| 42.0 <> 42.5 |      5 |    497 |
| 42.5 <> 43.0 |     25 |  11321 |
| 43.0 <> 43.5 |      9 |    612 |
| 43.5 <> 44.0 |     16 |   6370 |
| 44.0 <> 44.5 |     16 |   3706 |
| 44.5 <> 45.0 |     34 |   6682 |
| 45.0 <> 45.5 |     41 |  28347 |
| 45.5 <> 46.0 |      5 |   1963 |
| 46.0 <> 46.5 |      0 |      0 |
| 46.5 <> 47.0 |      1 |     68 |
| 47.0 <> 47.5 |      3 |    204 |
| 47.5 <> 48.0 |      0 |      0 |
| 48.0 <> 48.5 |     43 |  24302 |
| 48.5 <> 49.0 |    111 |  76441 |
| 49.0 <> 49.5 |     16 |   6137 |
| 49.5 <> 50.0 |      0 |      0 |
| 50.0 <> 50.5 |      6 |    408 |
| 50.5 <> 51.0 |      0 |      0 |
| 51.0 <> 51.5 |     12 |    816 |
| 51.5 <> 52.0 |      0 |      0 |
| 52.0 <> 52.5 |      0 |      0 |
| 52.5 <> 53.0 |      0 |      0 |
| 53.0 <> 53.5 |      9 |   1314 |
| 53.5 <> 54.0 |     41 |  29588 |
| 54.0 <> 54.5 |      2 |    136 |
| 54.5 <> 55.0 |      5 |    340 |
| 55.0 <> 55.5 |      2 |    136 |
| 55.5 <> 56.0 |      1 |     68 |
| 56.0 <> 56.5 |      0 |      0 |
| 56.5 <> 57.0 |      0 |      0 |
| 57.0 <> 57.5 |      0 |      0 |
| 57.5 <> 58.0 |      0 |      0 |
| 58.0 <> 58.5 |      0 |      0 |
| 58.5 <> 59.0 |      0 |      0 |
| 59.0 <> 59.5 |      1 |     68 |
| 59.5 <> 60.0 |      5 |    758 |
| 60.0 <> 60.5 |      1 |     89 |
| 60.5 <> 61.0 |     33 |  10166 |
| 61.0 <> 61.5 |      9 |    812 |
| 61.5 <> 62.0 |      0 |      0 |
| 62.0 <> 62.5 |      3 |    204 |
| 62.5 <> 63.0 |      5 |    340 |
| 63.0 <> 63.5 |      2 |    136 |
| 63.5 <> 64.0 |      0 |      0 |
| 64.0 <> 64.5 |      0 |      0 |
| 64.5 <> 65.0 |      2 |    542 |
| 65.0 <> 65.5 |      0 |      0 |
| 65.5 <> 66.0 |      0 |      0 |
| 66.0 <> 66.5 |      0 |      0 |
| 66.5 <> 67.0 |      1 |     68 |
| 67.0 <> 67.5 |      3 |    204 |
| 67.5 <> 68.0 |      0 |      0 |
| 68.0 <> 68.5 |      0 |      0 |
| 68.5 <> 69.0 |      0 |      0 |
| 69.0 <> 69.5 |      0 |      0 |
| 69.5 <> 70.0 |      0 |      0 |
| 70.0 <> 70.5 |      0 |      0 |
| 70.5 <> 71.0 |      0 |      0 |
| 71.0 <> 71.5 |      0 |      0 |
| 71.5 <> 72.0 |      0 |      0 |
| 72.0 <> 72.5 |      0 |      0 |
| 72.5 <> 73.0 |      0 |      0 |
| 73.0 <> 73.5 |      0 |      0 |
| 73.5 <> 74.0 |      0 |      0 |
| 74.0 <> 74.5 |      0 |      0 |
| 74.5 <> 75.0 |      0 |      0 |
| 75.0 <> 75.5 |      0 |      0 |
| 75.5 <> 76.0 |      0 |      0 |
| 76.0 <> 76.5 |      0 |      0 |
| 76.5 <> 77.0 |      0 |      0 |
| 77.0 <> 77.5 |      1 |    105 |
| 77.5 <> 78.0 |      0 |      0 |
| 78.0 <> 78.5 |      0 |      0 |
| 78.5 <> 79.0 |      0 |      0 |
| 79.0 <> 79.5 |      0 |      0 |
| 79.5 <> 80.0 |      0 |      0 |
| 80.0 <> 80.5 |      1 |    105 |
| 80.5 <> 81.4 |      0 |      0 |
==================================
