
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: ip.dst==110.225.91.4    |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      0 |      0 |
|  0.5 <>  1.0 |      0 |      0 |
|  1.0 <>  1.5 |      0 |      0 |
|  1.5 <>  2.0 |      0 |      0 |
|  2.0 <>  2.5 |      0 |      0 |
|  2.5 <>  3.0 |     61 |  81959 |
|  3.0 <>  3.5 |    141 | 119964 |
|  3.5 <>  4.0 |     42 |  48111 |
|  4.0 <>  4.5 |     49 |  69261 |
|  4.5 <>  5.0 |      0 |      0 |
|  5.0 <>  5.5 |      0 |      0 |
|  5.5 <>  6.0 |      0 |      0 |
|  6.0 <>  6.5 |      0 |      0 |
|  6.5 <>  7.0 |      0 |      0 |
|  7.0 <>  7.5 |      0 |      0 |
|  7.5 <>  8.0 |      0 |      0 |
|  8.0 <>  8.5 |      0 |      0 |
|  8.5 <>  9.0 |      0 |      0 |
|  9.0 <>  9.5 |      0 |      0 |
|  9.5 <> 10.0 |     45 |   9694 |
| 10.0 <> 10.5 |      2 |    179 |
| 10.5 <> 11.0 |      7 |   1920 |
| 11.0 <> 11.5 |      3 |   2001 |
| 11.5 <> 12.0 |      0 |      0 |
| 12.0 <> 12.5 |      5 |   1647 |
| 12.5 <> 13.0 |      4 |    731 |
| 13.0 <> 13.5 |      0 |      0 |
| 13.5 <> 14.0 |      0 |      0 |
| 14.0 <> 14.5 |      0 |      0 |
| 14.5 <> 15.0 |      0 |      0 |
| 15.0 <> 15.5 |      1 |     68 |
| 15.5 <> 16.0 |      0 |      0 |
| 16.0 <> 16.5 |      0 |      0 |
| 16.5 <> 17.0 |      0 |      0 |
| 17.0 <> 17.5 |      2 |    152 |
| 17.5 <> 18.0 |      1 |    539 |
| 18.0 <> 18.5 |      2 |    136 |
| 18.5 <> 19.0 |    156 | 144286 |
| 19.0 <> 19.5 |    139 | 137723 |
| 19.5 <> 20.0 |      7 |   8488 |
| 20.0 <> 20.5 |      0 |      0 |
| 20.5 <> 21.0 |      4 |    372 |
| 21.0 <> 21.5 |      5 |   1734 |
| 21.5 <> 22.0 |     27 |  25570 |
| 22.0 <> 22.5 |      0 |      0 |
| 22.5 <> 23.0 |      0 |      0 |
| 23.0 <> 23.5 |      1 |     68 |
| 23.5 <> 24.0 |      0 |      0 |
| 24.0 <> 24.5 |     76 |  60387 |
| 24.5 <> 25.0 |     26 |   2181 |
| 25.0 <> 25.5 |     61 |  64437 |
| 25.5 <> 26.0 |     71 |  92655 |
| 26.0 <> 26.5 |      0 |      0 |
| 26.5 <> 27.0 |      0 |      0 |
| 27.0 <> 27.5 |     29 |  30965 |
| 27.5 <> 28.0 |      0 |      0 |
| 28.0 <> 28.5 |     74 |  99640 |
| 28.5 <> 29.0 |    136 | 122488 |
| 29.0 <> 29.5 |      0 |      0 |
| 29.5 <> 30.0 |      0 |      0 |
| 30.0 <> 30.5 |     13 |   1066 |
| 30.5 <> 31.0 |      3 |    204 |
| 31.0 <> 31.5 |      0 |      0 |
| 31.5 <> 32.0 |      0 |      0 |
| 32.0 <> 32.5 |      0 |      0 |
| 32.5 <> 33.0 |      0 |      0 |
| 33.0 <> 33.5 |      5 |    340 |
| 33.5 <> 34.0 |      0 |      0 |
| 34.0 <> 34.5 |     43 |   2924 |
| 34.5 <> 35.0 |      0 |      0 |
| 35.0 <> 35.5 |      0 |      0 |
| 35.5 <> 36.0 |      0 |      0 |
| 36.0 <> 36.5 |      0 |      0 |
| 36.5 <> 37.0 |      0 |      0 |
| 37.0 <> 37.5 |      0 |      0 |
| 37.5 <> 38.0 |      0 |      0 |
| 38.0 <> 38.5 |      0 |      0 |
| 38.5 <> 39.0 |      2 |    112 |
| 39.0 <> 39.5 |      0 |      0 |
| 39.5 <> 40.0 |      0 |      0 |
| 40.0 <> 40.5 |      0 |      0 |
| 40.5 <> 41.0 |     19 |  21452 |
| 41.0 <> 41.5 |      0 |      0 |
| 41.5 <> 42.0 |      0 |      0 |
| 42.0 <> 42.5 |      2 |    273 |
| 42.5 <> 43.0 |      9 |   2655 |
| 43.0 <> 43.5 |      9 |    612 |
| 43.5 <> 44.0 |      5 |   2822 |
| 44.0 <> 44.5 |      9 |   2046 |
| 44.5 <> 45.0 |     15 |   2259 |
| 45.0 <> 45.5 |     19 |  25877 |
| 45.5 <> 46.0 |      2 |   1225 |
| 46.0 <> 46.5 |      0 |      0 |
| 46.5 <> 47.0 |      0 |      0 |
| 47.0 <> 47.5 |      2 |    136 |
| 47.5 <> 48.0 |      0 |      0 |
| 48.0 <> 48.5 |     15 |  17820 |
| 48.5 <> 49.0 |     61 |  72203 |
| 49.0 <> 49.5 |      8 |   5593 |
| 49.5 <> 50.0 |      0 |      0 |
| 50.0 <> 50.5 |      0 |      0 |
| 50.5 <> 51.0 |      0 |      0 |
| 51.0 <> 51.5 |      6 |    408 |
| 51.5 <> 52.0 |      0 |      0 |
| 52.0 <> 52.5 |      0 |      0 |
| 52.5 <> 53.0 |      0 |      0 |
| 53.0 <> 53.5 |      3 |    596 |
| 53.5 <> 54.0 |     21 |  28228 |
| 54.0 <> 54.5 |      0 |      0 |
| 54.5 <> 55.0 |      3 |    204 |
| 55.0 <> 55.5 |      1 |     68 |
| 55.5 <> 56.0 |      1 |     68 |
| 56.0 <> 56.5 |      0 |      0 |
| 56.5 <> 57.0 |      0 |      0 |
| 57.0 <> 57.5 |      0 |      0 |
| 57.5 <> 58.0 |      0 |      0 |
| 58.0 <> 58.5 |      0 |      0 |
| 58.5 <> 59.0 |      0 |      0 |
| 59.0 <> 59.5 |      0 |      0 |
| 59.5 <> 60.0 |      1 |     68 |
| 60.0 <> 60.5 |      0 |      0 |
| 60.5 <> 61.0 |     14 |   7724 |
| 61.0 <> 61.5 |      5 |    540 |
| 61.5 <> 62.0 |      0 |      0 |
| 62.0 <> 62.5 |      2 |    136 |
| 62.5 <> 63.0 |      3 |    204 |
| 63.0 <> 63.5 |      2 |    136 |
| 63.5 <> 64.0 |      0 |      0 |
| 64.0 <> 64.5 |      0 |      0 |
| 64.5 <> 65.0 |      1 |    461 |
| 65.0 <> 65.5 |      0 |      0 |
| 65.5 <> 66.0 |      0 |      0 |
| 66.0 <> 66.5 |      0 |      0 |
| 66.5 <> 67.0 |      0 |      0 |
| 67.0 <> 67.5 |      2 |    136 |
| 67.5 <> 68.0 |      0 |      0 |
| 68.0 <> 68.5 |      0 |      0 |
| 68.5 <> 69.0 |      0 |      0 |
| 69.0 <> 69.5 |      0 |      0 |
| 69.5 <> 70.0 |      0 |      0 |
| 70.0 <> 70.5 |      0 |      0 |
| 70.5 <> 71.0 |      0 |      0 |
| 71.0 <> 71.5 |      0 |      0 |
| 71.5 <> 72.0 |      0 |      0 |
| 72.0 <> 72.5 |      0 |      0 |
| 72.5 <> 73.0 |      0 |      0 |
| 73.0 <> 73.5 |      0 |      0 |
| 73.5 <> 74.0 |      0 |      0 |
| 74.0 <> 74.5 |      0 |      0 |
| 74.5 <> 75.0 |      0 |      0 |
| 75.0 <> 75.5 |      0 |      0 |
| 75.5 <> 76.0 |      0 |      0 |
| 76.0 <> 76.5 |      0 |      0 |
| 76.5 <> 77.0 |      0 |      0 |
| 77.0 <> 77.5 |      0 |      0 |
| 77.5 <> 78.0 |      0 |      0 |
| 78.0 <> 78.5 |      0 |      0 |
| 78.5 <> 79.0 |      0 |      0 |
| 79.0 <> 79.5 |      0 |      0 |
| 79.5 <> 80.0 |      0 |      0 |
| 80.0 <> 80.5 |      0 |      0 |
| 80.5 <> 81.4 |      0 |      0 |
==================================
