
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: Frames and bytes         |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |      2 |   448 |
|   0.5 <>   1.0 |      0 |     0 |
|   1.0 <>   1.5 |      0 |     0 |
|   1.5 <>   2.0 |      0 |     0 |
|   2.0 <>   2.5 |      0 |     0 |
|   2.5 <>   3.0 |      0 |     0 |
|   3.0 <>   3.5 |     11 |  6976 |
|   3.5 <>   4.0 |     58 |  8700 |
|   4.0 <>   4.5 |      1 |    68 |
|   4.5 <>   5.0 |     45 | 31788 |
|   5.0 <>   5.5 |     18 | 14881 |
|   5.5 <>   6.0 |    145 | 14940 |
|   6.0 <>   6.5 |      6 |  2575 |
|   6.5 <>   7.0 |      0 |     0 |
|   7.0 <>   7.5 |      0 |     0 |
|   7.5 <>   8.0 |      0 |     0 |
|   8.0 <>   8.5 |     89 | 18998 |
|   8.5 <>   9.0 |     95 | 24797 |
|   9.0 <>   9.5 |     30 | 15480 |
|   9.5 <>  10.0 |     25 |  7523 |
|  10.0 <>  10.5 |      1 |    68 |
|  10.5 <>  11.0 |     11 |  4029 |
|  11.0 <>  11.5 |     18 |  6822 |
|  11.5 <>  12.0 |      0 |     0 |
|  12.0 <>  12.5 |      0 |     0 |
|  12.5 <>  13.0 |      0 |     0 |
|  13.0 <>  13.5 |      0 |     0 |
|  13.5 <>  14.0 |      5 |  2555 |
|  14.0 <>  14.5 |     12 |  1731 |
|  14.5 <>  15.0 |     53 | 26126 |
|  15.0 <>  15.5 |     13 |  2496 |
|  15.5 <>  16.0 |      9 |  1155 |
|  16.0 <>  16.5 |      3 |   212 |
|  16.5 <>  17.0 |     12 |  2696 |
|  17.0 <>  17.5 |      6 |  1577 |
|  17.5 <>  18.0 |     10 |  1225 |
|  18.0 <>  18.5 |     12 |  2938 |
|  18.5 <>  19.0 |     16 |  3991 |
|  19.0 <>  19.5 |     11 |  2490 |
|  19.5 <>  20.0 |      2 |   136 |
|  20.0 <>  20.5 |      0 |     0 |
|  20.5 <>  21.0 |      0 |     0 |
|  21.0 <>  21.5 |      0 |     0 |
|  21.5 <>  22.0 |      0 |     0 |
|  22.0 <>  22.5 |      1 |   575 |
|  22.5 <>  23.0 |      0 |     0 |
|  23.0 <>  23.5 |      0 |     0 |
|  23.5 <>  24.0 |      0 |     0 |
|  24.0 <>  24.5 |      0 |     0 |
|  24.5 <>  25.0 |      0 |     0 |
|  25.0 <>  25.5 |      0 |     0 |
|  25.5 <>  26.0 |      1 |    68 |
|  26.0 <>  26.5 |      8 |  1287 |
|  26.5 <>  27.0 |      2 |   276 |
|  27.0 <>  27.5 |     30 | 15030 |
|  27.5 <>  28.0 |     35 | 25636 |
|  28.0 <>  28.5 |     50 | 35285 |
|  28.5 <>  29.0 |     34 | 30055 |
|  29.0 <>  29.5 |     45 | 38284 |
|  29.5 <>  30.0 |     42 | 37149 |
|  30.0 <>  30.5 |      0 |     0 |
|  30.5 <>  31.0 |      2 |   616 |
|  31.0 <>  31.5 |     46 | 38628 |
|  31.5 <>  32.0 |     35 | 17179 |
|  32.0 <>  32.5 |     43 | 31388 |
|  32.5 <>  33.0 |     13 |  5704 |
|  33.0 <>  33.5 |     21 | 15108 |
|  33.5 <>  34.0 |     22 |  8036 |
|  34.0 <>  34.5 |     30 |  6357 |
|  34.5 <>  35.0 |     12 |  1860 |
|  35.0 <>  35.5 |     36 |  6041 |
|  35.5 <>  36.0 |     36 | 21774 |
|  36.0 <>  36.5 |     24 | 17604 |
|  36.5 <>  37.0 |      9 |  2703 |
|  37.0 <>  37.5 |     11 |  2545 |
|  37.5 <>  38.0 |     38 | 16146 |
|  38.0 <>  38.5 |     29 |  7128 |
|  38.5 <>  39.0 |      5 |   871 |
|  39.0 <>  39.5 |      0 |     0 |
|  39.5 <>  40.0 |      2 |   204 |
|  40.0 <>  40.5 |      0 |     0 |
|  40.5 <>  41.0 |      0 |     0 |
|  41.0 <>  41.5 |      0 |     0 |
|  41.5 <>  42.0 |      0 |     0 |
|  42.0 <>  42.5 |      0 |     0 |
|  42.5 <>  43.0 |      0 |     0 |
|  43.0 <>  43.5 |      1 |    88 |
|  43.5 <>  44.0 |      3 |   631 |
|  44.0 <>  44.5 |      0 |     0 |
|  44.5 <>  45.0 |      0 |     0 |
|  45.0 <>  45.5 |      3 |   562 |
|  45.5 <>  46.0 |      0 |     0 |
|  46.0 <>  46.5 |     35 | 23348 |
|  46.5 <>  47.0 |      0 |     0 |
|  47.0 <>  47.5 |      0 |     0 |
|  47.5 <>  48.0 |      0 |     0 |
|  48.0 <>  48.5 |      0 |     0 |
|  48.5 <>  49.0 |      1 |    88 |
|  49.0 <>  49.5 |     34 | 10399 |
|  49.5 <>  50.0 |     13 |  3090 |
|  50.0 <>  50.5 |     12 |  2565 |
|  50.5 <>  51.0 |     23 |  3778 |
|  51.0 <>  51.5 |      7 |   978 |
|  51.5 <>  52.0 |      3 |   212 |
|  52.0 <>  52.5 |      2 |   136 |
|  52.5 <>  53.0 |      0 |     0 |
|  53.0 <>  53.5 |      0 |     0 |
|  53.5 <>  54.0 |      0 |     0 |
|  54.0 <>  54.5 |      0 |     0 |
