
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: ip.dst==110.225.91.4     |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |      0 |     0 |
|   0.5 <>   1.0 |      0 |     0 |
|   1.0 <>   1.5 |      0 |     0 |
|   1.5 <>   2.0 |      0 |     0 |
|   2.0 <>   2.5 |      0 |     0 |
|   2.5 <>   3.0 |      0 |     0 |
|   3.0 <>   3.5 |      5 |  5949 |
|   3.5 <>   4.0 |      3 |  4308 |
|   4.0 <>   4.5 |      0 |     0 |
|   4.5 <>   5.0 |     21 | 30156 |
|   5.0 <>   5.5 |     10 | 14013 |
|   5.5 <>   6.0 |     75 |  9506 |
|   6.0 <>   6.5 |      3 |  2359 |
|   6.5 <>   7.0 |      0 |     0 |
|   7.0 <>   7.5 |      0 |     0 |
|   7.5 <>   8.0 |      0 |     0 |
|   8.0 <>   8.5 |     44 | 14881 |
|   8.5 <>   9.0 |     67 | 22239 |
|   9.0 <>   9.5 |     20 | 14920 |
|   9.5 <>  10.0 |     13 |  6422 |
|  10.0 <>  10.5 |      1 |    68 |
|  10.5 <>  11.0 |      4 |  2974 |
|  11.0 <>  11.5 |      9 |  6009 |
|  11.5 <>  12.0 |      0 |     0 |
|  12.0 <>  12.5 |      0 |     0 |
|  12.5 <>  13.0 |      0 |     0 |
|  13.0 <>  13.5 |      0 |     0 |
|  13.5 <>  14.0 |      2 |  2306 |
|  14.0 <>  14.5 |      4 |   968 |
|  14.5 <>  15.0 |     26 | 23667 |
|  15.0 <>  15.5 |      5 |  1519 |
|  15.5 <>  16.0 |      4 |   315 |
|  16.0 <>  16.5 |      1 |    76 |
|  16.5 <>  17.0 |      5 |  1427 |
|  17.0 <>  17.5 |      2 |   512 |
|  17.5 <>  18.0 |      4 |   300 |
|  18.0 <>  18.5 |      5 |  2118 |
|  18.5 <>  19.0 |      6 |  2058 |
|  19.0 <>  19.5 |      5 |  1575 |
|  19.5 <>  20.0 |      1 |    68 |
|  20.0 <>  20.5 |      0 |     0 |
|  20.5 <>  21.0 |      0 |     0 |
|  21.0 <>  21.5 |      0 |     0 |
|  21.5 <>  22.0 |      0 |     0 |
|  22.0 <>  22.5 |      0 |     0 |
|  22.5 <>  23.0 |      0 |     0 |
|  23.0 <>  23.5 |      0 |     0 |
|  23.5 <>  24.0 |      0 |     0 |
|  24.0 <>  24.5 |      0 |     0 |
|  24.5 <>  25.0 |      0 |     0 |
|  25.0 <>  25.5 |      0 |     0 |
|  25.5 <>  26.0 |      1 |    68 |
|  26.0 <>  26.5 |      1 |   583 |
|  26.5 <>  27.0 |      1 |   188 |
|  27.0 <>  27.5 |     15 | 12245 |
|  27.5 <>  28.0 |     18 | 24480 |
|  28.0 <>  28.5 |     27 | 31084 |
|  28.5 <>  29.0 |     21 | 27819 |
|  29.0 <>  29.5 |     27 | 33661 |
|  29.5 <>  30.0 |     24 | 31246 |
|  30.0 <>  30.5 |      0 |     0 |
|  30.5 <>  31.0 |      1 |   536 |
|  31.0 <>  31.5 |     26 | 33245 |
|  31.5 <>  32.0 |     18 | 15264 |
|  32.0 <>  32.5 |     22 | 30212 |
|  32.5 <>  33.0 |      6 |  4989 |
|  33.0 <>  33.5 |     11 | 14428 |
|  33.5 <>  34.0 |      9 |  6830 |
|  34.0 <>  34.5 |     12 |  3150 |
|  34.5 <>  35.0 |      4 |   820 |
|  35.0 <>  35.5 |     16 |  3215 |
|  35.5 <>  36.0 |     18 | 20218 |
|  36.0 <>  36.5 |     12 | 16788 |
|  36.5 <>  37.0 |      4 |   372 |
|  37.0 <>  37.5 |      5 |  1734 |
|  37.5 <>  38.0 |     16 | 13599 |
|  38.0 <>  38.5 |     12 |  4719 |
|  38.5 <>  39.0 |      2 |   667 |
|  39.0 <>  39.5 |      0 |     0 |
|  39.5 <>  40.0 |      1 |   110 |
|  40.0 <>  40.5 |      0 |     0 |
|  40.5 <>  41.0 |      0 |     0 |
|  41.0 <>  41.5 |      0 |     0 |
|  41.5 <>  42.0 |      0 |     0 |
|  42.0 <>  42.5 |      0 |     0 |
|  42.5 <>  43.0 |      0 |     0 |
|  43.0 <>  43.5 |      0 |     0 |
|  43.5 <>  44.0 |      1 |   467 |
|  44.0 <>  44.5 |      0 |     0 |
|  44.5 <>  45.0 |      0 |     0 |
|  45.0 <>  45.5 |      1 |    76 |
|  45.5 <>  46.0 |      0 |     0 |
|  46.0 <>  46.5 |     18 | 21842 |
|  46.5 <>  47.0 |      0 |     0 |
|  47.0 <>  47.5 |      0 |     0 |
|  47.5 <>  48.0 |      0 |     0 |
|  48.0 <>  48.5 |      0 |     0 |
|  48.5 <>  49.0 |      0 |     0 |
|  49.0 <>  49.5 |     14 |  7796 |
|  49.5 <>  50.0 |      7 |  1903 |
|  50.0 <>  50.5 |      4 |  1367 |
|  50.5 <>  51.0 |      9 |  2045 |
|  51.0 <>  51.5 |      3 |   212 |
|  51.5 <>  52.0 |      1 |    76 |
|  52.0 <>  52.5 |      1 |    68 |
|  52.5 <>  53.0 |      0 |     0 |
|  53.0 <>  53.5 |      0 |     0 |
|  53.5 <>  54.0 |      0 |     0 |
|  54.0 <>  54.5 |      0 |     0 |
|  54.5 <>  55.0 |      0 |     0 |
|  55.0 <>  55.5 |      0 |     0 |
|  55.5 <>  56.0 |      0 |     0 |
|  56.0 <>  56.5 |      0 |     0 |
|  56.5 <>  57.0 |      0 |     0 |
|  57.0 <>  57.5 |     17 |  6921 |
|  57.5 <>  58.0 |     40 | 46881 |
|  58.0 <>  58.5 |     11 | 12106 |
|  58.5 <>  59.0 |     13 | 13601 |
|  59.0 <>  59.5 |     15 | 13400 |
|  59.5 <>  60.0 |      0 |     0 |
|  60.0 <>  60.5 |      0 |     0 |
|  60.5 <>  61.0 |      0 |     0 |
|  61.0 <>  61.5 |      0 |     0 |
|  61.5 <>  62.0 |      0 |     0 |
|  62.0 <>  62.5 |     17 | 12312 |
|  62.5 <>  63.0 |      0 |     0 |
|  63.0 <>  63.5 |      0 |     0 |
|  63.5 <>  64.0 |      0 |     0 |
|  64.0 <>  64.5 |      0 |     0 |
|  64.5 <>  65.0 |      1 |  1436 |
|  65.0 <>  65.5 |      1 |  1389 |
|  65.5 <>  66.0 |     16 | 16511 |
|  66.0 <>  66.5 |     41 | 45259 |
|  66.5 <>  67.0 |     63 | 78221 |
|  67.0 <>  67.5 |     38 | 44677 |
|  67.5 <>  68.0 |     20 | 27143 |
|  68.0 <>  68.5 |      0 |     0 |
|  68.5 <>  69.0 |      0 |     0 |
|  69.0 <>  69.5 |      0 |     0 |
|  69.5 <>  70.0 |      0 |     0 |
|  70.0 <>  70.5 |      0 |     0 |
|  70.5 <>  71.0 |      0 |     0 |
|  71.0 <>  71.5 |      0 |     0 |
|  71.5 <>  72.0 |      0 |     0 |
|  72.0 <>  72.5 |      1 |    76 |
|  72.5 <>  73.0 |      1 |    76 |
|  73.0 <>  73.5 |      1 |    76 |
|  73.5 <>  74.0 |     15 | 17734 |
|  74.0 <>  74.5 |     29 | 30232 |
|  74.5 <>  75.0 |     11 | 10757 |
|  75.0 <>  75.5 |      0 |     0 |
|  75.5 <>  76.0 |      0 |     0 |
|  76.0 <>  76.5 |      0 |     0 |
|  76.5 <>  77.0 |      4 |  2993 |
|  77.0 <>  77.5 |      0 |     0 |
|  77.5 <>  78.0 |      2 |   136 |
|  78.0 <>  78.5 |      2 |   152 |
|  78.5 <>  79.0 |      5 |  1631 |
|  79.0 <>  79.5 |      0 |     0 |
|  79.5 <>  80.0 |      0 |     0 |
|  80.0 <>  80.5 |      0 |     0 |
|  80.5 <>  81.0 |      0 |     0 |
|  81.0 <>  81.5 |      0 |     0 |
|  81.5 <>  82.0 |      0 |     0 |
|  82.0 <>  82.5 |      0 |     0 |
|  82.5 <>  83.0 |      0 |     0 |
|  83.0 <>  83.5 |      0 |     0 |
|  83.5 <>  84.0 |      0 |     0 |
|  84.0 <>  84.5 |      0 |     0 |
|  84.5 <>  85.0 |      2 |   587 |
|  85.0 <>  85.5 |     45 | 59199 |
|  85.5 <>  86.0 |     21 | 25019 |
|  86.0 <>  86.5 |      0 |     0 |
|  86.5 <>  87.0 |      1 |   105 |
|  87.0 <>  87.5 |      2 |   230 |
|  87.5 <>  88.0 |      9 |  1442 |
|  88.0 <>  88.5 |     19 | 17829 |
|  88.5 <>  89.0 |      0 |     0 |
|  89.0 <>  89.5 |      0 |     0 |
|  89.5 <>  90.0 |      0 |     0 |
|  90.0 <>  90.5 |      0 |     0 |
|  90.5 <>  91.0 |      0 |     0 |
|  91.0 <>  91.5 |      0 |     0 |
|  91.5 <>  92.0 |      0 |     0 |
|  92.0 <>  92.5 |      0 |     0 |
|  92.5 <>  93.0 |      0 |     0 |
|  93.0 <>  93.5 |      0 |     0 |
|  93.5 <>  94.0 |      0 |     0 |
|  94.0 <>  94.5 |      0 |     0 |
|  94.5 <>  95.0 |     14 |  5313 |
|  95.0 <>  95.5 |     32 | 40220 |
|  95.5 <>  96.0 |     23 | 25926 |
|  96.0 <>  96.5 |      9 |  5669 |
|  96.5 <>  97.0 |     35 | 40735 |
|  97.0 <>  97.5 |      3 |  2984 |
|  97.5 <>  98.0 |      0 |     0 |
|  98.0 <>  98.5 |      0 |     0 |
|  98.5 <>  99.0 |      1 |  1436 |
|  99.0 <>  99.5 |      4 |  3248 |
|  99.5 <> 100.0 |      0 |     0 |
| 100.0 <> 100.5 |      2 |  2449 |
| 100.5 <> 101.0 |      0 |     0 |
| 101.0 <> 101.5 |      0 |     0 |
| 101.5 <> 102.0 |      0 |     0 |
| 102.0 <> 102.5 |      0 |     0 |
