
====================================
| IO Statistics                    |
|                                  |
| Interval size: 0.5 secs          |
| Col 1: Frames and bytes          |
|----------------------------------|
|                |1                |
| Interval
| Interval       | Frames |  Bytes |
|----------------------------------|
|   0.0 <>   0.5 |      1 |    359 |
|   0.5 <>   1.0 |      0 |      0 |
|   1.0 <>   1.5 |      0 |      0 |
|   1.5 <>   2.0 |      0 |      0 |
|   2.0 <>   2.5 |      0 |      0 |
|   2.5 <>   3.0 |    121 |  56871 |
|   3.0 <>   3.5 |    291 | 132812 |
|   3.5 <>   4.0 |     11 |   6988 |
|   4.0 <>   4.5 |     23 |   7523 |
|   4.5 <>   5.0 |     35 |  14297 |
|   5.0 <>   5.5 |     32 |  14184 |
|   5.5 <>   6.0 |     18 |   9253 |
|   6.0 <>   6.5 |     36 |  31176 |
|   6.5 <>   7.0 |     36 |  33912 |
|   7.0 <>   7.5 |     30 |  28297 |
|   7.5 <>   8.0 |      0 |      0 |
|   8.0 <>   8.5 |      0 |      0 |
|   8.5 <>   9.0 |     17 |   1156 |
|   9.0 <>   9.5 |      0 |      0 |
|   9.5 <>  10.0 |     43 |   3141 |
|  10.0 <>  10.5 |      9 |   1168 |
|  10.5 <>  11.0 |     16 |   2395 |
|  11.0 <>  11.5 |     15 |   3545 |
|  11.5 <>  12.0 |      3 |   1947 |
|  12.0 <>  12.5 |     10 |   2422 |
|  12.5 <>  13.0 |      0 |      0 |
|  13.0 <>  13.5 |      0 |      0 |
|  13.5 <>  14.0 |      0 |      0 |
|  14.0 <>  14.5 |      0 |      0 |
|  14.5 <>  15.0 |      0 |      0 |
|  15.0 <>  15.5 |      0 |      0 |
|  15.5 <>  16.0 |      3 |    228 |
|  16.0 <>  16.5 |      0 |      0 |
|  16.5 <>  17.0 |      4 |    284 |
|  17.0 <>  17.5 |      7 |   1342 |
|  17.5 <>  18.0 |      0 |      0 |
|  18.0 <>  18.5 |      0 |      0 |
|  18.5 <>  19.0 |      0 |      0 |
|  19.0 <>  19.5 |     26 |  17184 |
|  19.5 <>  20.0 |    176 |  77850 |
|  20.0 <>  20.5 |    320 | 125699 |
|  20.5 <>  21.0 |    148 |  68974 |
|  21.0 <>  21.5 |      7 |   2457 |
|  21.5 <>  22.0 |      9 |   2332 |
|  22.0 <>  22.5 |     37 |  17425 |
|  22.5 <>  23.0 |     92 |  41389 |
|  23.0 <>  23.5 |      0 |      0 |
|  23.5 <>  24.0 |      0 |      0 |
|  24.0 <>  24.5 |      0 |      0 |
|  24.5 <>  25.0 |      2 |    172 |
|  25.0 <>  25.5 |     80 |  37847 |
|  25.5 <>  26.0 |    304 |  85621 |
|  26.0 <>  26.5 |      0 |      0 |
|  26.5 <>  27.0 |     38 |  21748 |
|  27.0 <>  27.5 |      2 |    677 |
|  27.5 <>  28.0 |     14 |   4355 |
|  28.0 <>  28.5 |    183 | 114360 |
|  28.5 <>  29.0 |    100 |  74279 |
|  29.0 <>  29.5 |      0 |      0 |
|  29.5 <>  30.0 |    114 |  80864 |
|  30.0 <>  30.5 |     64 |  38398 |
|  30.5 <>  31.0 |     83 |  36836 |
|  31.0 <>  31.5 |     13 |   4698 |
|  31.5 <>  32.0 |    248 | 116833 |
|  32.0 <>  32.5 |     20 |  14102 |
|  32.5 <>  33.0 |      0 |      0 |
|  33.0 <>  33.5 |      0 |      0 |
|  33.5 <>  34.0 |     27 |   1836 |
|  34.0 <>  34.5 |      1 |     68 |
|  34.5 <>  35.0 |     17 |   6303 |
|  35.0 <>  35.5 |    139 |  70902 |
|  35.5 <>  36.0 |     83 |  47227 |
|  36.0 <>  36.5 |     73 |  44271 |
|  36.5 <>  37.0 |     82 |  42986 |
|  37.0 <>  37.5 |     34 |   5936 |
|  37.5 <>  38.0 |     31 |   3982 |
|  38.0 <>  38.5 |     38 |  13507 |
|  38.5 <>  39.0 |     31 |  20324 |
|  39.0 <>  39.5 |     18 |  11479 |
|  39.5 <>  40.0 |      6 |   1252 |
|  40.0 <>  40.5 |     59 |  28254 |
|  40.5 <>  41.0 |      0 |      0 |
|  41.0 <>  41.5 |     21 |   1410 |
|  41.5 <>  42.0 |     58 |  17858 |
|  42.0 <>  42.5 |     25 |   3507 |
|  42.5 <>  43.0 |     38 |   4436 |
|  43.0 <>  43.5 |      4 |    272 |
|  43.5 <>  44.0 |     12 |   1945 |
|  44.0 <>  44.5 |      2 |    136 |
|  44.5 <>  45.0 |      4 |    272 |
|  45.0 <>  45.5 |      3 |    204 |
|  45.5 <>  46.0 |      0 |      0 |
|  46.0 <>  46.5 |      9 |    612 |
|  46.5 <>  47.0 |      0 |      0 |
|  47.0 <>  47.5 |      9 |    612 |
|  47.5 <>  48.0 |      1 |     76 |
|  48.0 <>  48.5 |      1 |     68 |
|  48.5 <>  49.0 |      4 |    272 |
|  49.0 <>  49.5 |     23 |   1923 |
|  49.5 <>  50.0 |      0 |      0 |
|  50.0 <>  50.5 |      0 |      0 |
|  50.5 <>  51.0 |      0 |      0 |
|  51.0 <>  51.5 |      0 |      0 |
|  51.5 <>  52.0 |      0 |      0 |
|  52.0 <>  52.5 |      0 |      0 |
|  52.5 <>  53.0 |      0 |      0 |
|  53.0 <>  53.5 |      0 |      0 |
|  53.5 <>  54.0 |      0 |      0 |
|  54.0 <>  54.5 |      0 |      0 |
|  54.5 <>  55.0 |      0 |      0 |
|  55.0 <>  55.5 |      0 |      0 |
|  55.5 <>  56.0 |      1 |    841 |
|  56.0 <>  56.5 |      0 |      0 |
|  56.5 <>  57.0 |      0 |      0 |
|  57.0 <>  57.5 |      0 |      0 |
|  57.5 <>  58.0 |      1 |    841 |
|  58.0 <>  58.5 |      3 |    572 |
|  58.5 <>  59.0 |      0 |      0 |
|  59.0 <>  59.5 |      0 |      0 |
|  59.5 <>  60.0 |      0 |      0 |
|  60.0 <>  60.5 |      0 |      0 |
|  60.5 <>  61.0 |      0 |      0 |
|  61.0 <>  61.5 |      0 |      0 |
|  61.5 <>  62.0 |      1 |     76 |
|  62.0 <>  62.5 |      1 |     76 |
|  62.5 <>  63.0 |      0 |      0 |
|  63.0 <>  63.5 |      0 |      0 |
|  63.5 <>  64.0 |      5 |    852 |
|  64.0 <>  64.5 |      0 |      0 |
|  64.5 <>  65.0 |      0 |      0 |
|  65.0 <>  65.5 |      6 |    592 |
|  65.5 <>  66.0 |      3 |    204 |
|  66.0 <>  66.5 |      0 |      0 |
|  66.5 <>  67.0 |      0 |      0 |
|  67.0 <>  67.5 |      0 |      0 |
|  67.5 <>  68.0 |      0 |      0 |
|  68.0 <>  68.5 |      0 |      0 |
|  68.5 <>  69.0 |      0 |      0 |
|  69.0 <>  69.5 |      0 |      0 |
|  69.5 <>  70.0 |      0 |      0 |
|  70.0 <>  70.5 |      0 |      0 |
|  70.5 <>  71.0 |      1 |    841 |
|  71.0 <>  71.5 |      3 |    560 |
|  71.5 <>  72.0 |      0 |      0 |
|  72.0 <>  72.5 |      0 |      0 |
|  72.5 <>  73.0 |      0 |      0 |
|  73.0 <>  73.5 |      0 |      0 |
|  73.5 <>  74.0 |      0 |      0 |
|  74.0 <>  74.5 |      0 |      0 |
|  74.5 <>  75.0 |      0 |      0 |
|  75.0 <>  75.5 |      0 |      0 |
|  75.5 <>  76.0 |      0 |      0 |
|  76.0 <>  76.5 |      0 |      0 |
|  76.5 <>  77.0 |      0 |      0 |
|  77.0 <>  77.5 |      0 |      0 |
|  77.5 <>  78.0 |      0 |      0 |
|  78.0 <>  78.5 |      1 |    105 |
|  78.5 <>  79.0 |      0 |      0 |
|  79.0 <>  79.5 |      2 |    165 |
|  79.5 <>  80.0 |      0 |      0 |
|  80.0 <>  80.5 |      0 |      0 |
|  80.5 <>  81.0 |      9 |   1394 |
|  81.0 <>  81.5 |      3 |    212 |
|  81.5 <>  82.0 |      0 |      0 |
|  82.0 <>  82.5 |      0 |      0 |
|  82.5 <>  83.0 |      0 |      0 |
|  83.0 <>  83.5 |      0 |      0 |
