
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: Frames and bytes        |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      5 |    448 |
|  0.5 <>  1.0 |      7 |   1342 |
|  1.0 <>  1.5 |      9 |   1344 |
|  1.5 <>  2.0 |      1 |     68 |
|  2.0 <>  2.5 |      0 |      0 |
|  2.5 <>  3.0 |      0 |      0 |
|  3.0 <>  3.5 |     14 |   3195 |
|  3.5 <>  4.0 |      5 |    884 |
|  4.0 <>  4.5 |      2 |    625 |
|  4.5 <>  5.0 |      0 |      0 |
|  5.0 <>  5.5 |      0 |      0 |
|  5.5 <>  6.0 |      0 |      0 |
|  6.0 <>  6.5 |      1 |     80 |
|  6.5 <>  7.0 |      2 |    300 |
|  7.0 <>  7.5 |      0 |      0 |
|  7.5 <>  8.0 |      0 |      0 |
|  8.0 <>  8.5 |      0 |      0 |
|  8.5 <>  9.0 |      5 |    712 |
|  9.0 <>  9.5 |      0 |      0 |
|  9.5 <> 10.0 |     25 |  16738 |
| 10.0 <> 10.5 |      0 |      0 |
| 10.5 <> 11.0 |      0 |      0 |
| 11.0 <> 11.5 |      0 |      0 |
| 11.5 <> 12.0 |      1 |     56 |
| 12.0 <> 12.5 |     44 |  25942 |
| 12.5 <> 13.0 |     63 |  40721 |
| 13.0 <> 13.5 |     37 |   6584 |
| 13.5 <> 14.0 |     12 |   1869 |
| 14.0 <> 14.5 |      4 |    288 |
| 14.5 <> 15.0 |      0 |      0 |
| 15.0 <> 15.5 |      0 |      0 |
| 15.5 <> 16.0 |      0 |      0 |
| 16.0 <> 16.5 |      0 |      0 |
| 16.5 <> 17.0 |      1 |     76 |
| 17.0 <> 17.5 |      1 |     77 |
| 17.5 <> 18.0 |      2 |    705 |
| 18.0 <> 18.5 |      6 |    448 |
| 18.5 <> 19.0 |     49 |  20032 |
| 19.0 <> 19.5 |    116 |  86120 |
| 19.5 <> 20.0 |     23 |   5000 |
| 20.0 <> 20.5 |      2 |    136 |
| 20.5 <> 21.0 |      5 |    340 |
| 21.0 <> 21.5 |      1 |     68 |
| 21.5 <> 22.0 |      0 |      0 |
| 22.0 <> 22.5 |      0 |      0 |
| 22.5 <> 23.0 |      0 |      0 |
| 23.0 <> 23.5 |      2 |    136 |
| 23.5 <> 24.0 |      0 |      0 |
| 24.0 <> 24.5 |      3 |    204 |
| 24.5 <> 25.0 |      4 |    272 |
| 25.0 <> 25.5 |      4 |    272 |
| 25.5 <> 26.0 |      2 |    132 |
| 26.0 <> 26.5 |      0 |      0 |
| 26.5 <> 27.0 |      0 |      0 |
| 27.0 <> 27.5 |      3 |    468 |
| 27.5 <> 28.0 |      2 |    156 |
| 28.0 <> 28.5 |      3 |    994 |
| 28.5 <> 29.0 |     15 |  11386 |
| 29.0 <> 29.5 |    201 | 145194 |
| 29.5 <> 30.0 |     83 |  36053 |
| 30.0 <> 30.5 |      3 |    365 |
| 30.5 <> 31.0 |     32 |   6221 |
| 31.0 <> 31.5 |     27 |   4485 |
| 31.5 <> 32.0 |      2 |    559 |
| 32.0 <> 32.5 |      2 |    667 |
| 32.5 <> 33.0 |      0 |      0 |
| 33.0 <> 33.5 |      0 |      0 |
| 33.5 <> 34.0 |      0 |      0 |
| 34.0 <> 34.5 |      8 |   2196 |
| 34.5 <> 35.0 |     92 |  39093 |
| 35.0 <> 35.5 |     27 |   1955 |
| 35.5 <> 36.0 |     50 |  28507 |
| 36.0 <> 36.5 |     49 |  35204 |
| 36.5 <> 37.0 |     55 |  38632 |
| 37.0 <> 37.5 |     27 |   9470 |
| 37.5 <> 38.0 |     28 |  13672 |
| 38.0 <> 38.5 |     33 |   3456 |
