
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: ip.dst==223.184.29.250  |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      2 |    240 |
|  0.5 <>  1.0 |      3 |    208 |
|  1.0 <>  1.5 |      5 |   1060 |
|  1.5 <>  2.0 |      1 |     68 |
|  2.0 <>  2.5 |      0 |      0 |
|  2.5 <>  3.0 |      0 |      0 |
|  3.0 <>  3.5 |      6 |   2337 |
|  3.5 <>  4.0 |      2 |    183 |
|  4.0 <>  4.5 |      1 |    557 |
|  4.5 <>  5.0 |      0 |      0 |
|  5.0 <>  5.5 |      0 |      0 |
|  5.5 <>  6.0 |      0 |      0 |
|  6.0 <>  6.5 |      0 |      0 |
|  6.5 <>  7.0 |      1 |    224 |
|  7.0 <>  7.5 |      0 |      0 |
|  7.5 <>  8.0 |      0 |      0 |
|  8.0 <>  8.5 |      0 |      0 |
|  8.5 <>  9.0 |      2 |    136 |
|  9.0 <>  9.5 |      0 |      0 |
|  9.5 <> 10.0 |     13 |  16066 |
| 10.0 <> 10.5 |      0 |      0 |
| 10.5 <> 11.0 |      0 |      0 |
| 11.0 <> 11.5 |      0 |      0 |
| 11.5 <> 12.0 |      0 |      0 |
| 12.0 <> 12.5 |     20 |  23381 |
| 12.5 <> 13.0 |     32 |  37727 |
| 13.0 <> 13.5 |     14 |   2903 |
| 13.5 <> 14.0 |      4 |    726 |
| 14.0 <> 14.5 |      2 |    152 |
| 14.5 <> 15.0 |      0 |      0 |
| 15.0 <> 15.5 |      0 |      0 |
| 15.5 <> 16.0 |      0 |      0 |
| 16.0 <> 16.5 |      0 |      0 |
| 16.5 <> 17.0 |      0 |      0 |
| 17.0 <> 17.5 |      0 |      0 |
| 17.5 <> 18.0 |      0 |      0 |
| 18.0 <> 18.5 |      2 |    152 |
| 18.5 <> 19.0 |     24 |  17696 |
| 19.0 <> 19.5 |     68 |  82562 |
| 19.5 <> 20.0 |     12 |   4070 |
| 20.0 <> 20.5 |      0 |      0 |
| 20.5 <> 21.0 |      2 |    136 |
| 21.0 <> 21.5 |      0 |      0 |
| 21.5 <> 22.0 |      0 |      0 |
| 22.0 <> 22.5 |      0 |      0 |
| 22.5 <> 23.0 |      0 |      0 |
| 23.0 <> 23.5 |      0 |      0 |
| 23.5 <> 24.0 |      0 |      0 |
| 24.0 <> 24.5 |      0 |      0 |
| 24.5 <> 25.0 |      2 |    136 |
| 25.0 <> 25.5 |      2 |    136 |
| 25.5 <> 26.0 |      1 |     56 |
| 26.0 <> 26.5 |      0 |      0 |
| 26.5 <> 27.0 |      0 |      0 |
| 27.0 <> 27.5 |      1 |     76 |
| 27.5 <> 28.0 |      1 |     76 |
| 28.0 <> 28.5 |      0 |      0 |
| 28.5 <> 29.0 |      8 |  10120 |
| 29.0 <> 29.5 |    106 | 131375 |
| 29.5 <> 30.0 |     42 |  31266 |
| 30.0 <> 30.5 |      2 |    297 |
| 30.5 <> 31.0 |     12 |   1693 |
| 31.0 <> 31.5 |     13 |   2484 |
| 31.5 <> 32.0 |      1 |     68 |
| 32.0 <> 32.5 |      1 |    599 |
| 32.5 <> 33.0 |      0 |      0 |
| 33.0 <> 33.5 |      0 |      0 |
| 33.5 <> 34.0 |      0 |      0 |
| 34.0 <> 34.5 |      2 |    621 |
| 34.5 <> 35.0 |     39 |  21930 |
| 35.0 <> 35.5 |     11 |    855 |
| 35.5 <> 36.0 |     23 |  23565 |
| 36.0 <> 36.5 |     25 |  28716 |
| 36.5 <> 37.0 |     28 |  34180 |
| 37.0 <> 37.5 |     12 |   7024 |
| 37.5 <> 38.0 |     13 |  10047 |
| 38.0 <> 38.5 |     14 |   2051 |
| 38.5 <> 39.0 |     21 |  18760 |
| 39.0 <> 39.5 |     33 |  36994 |
| 39.5 <> 40.0 |     56 |  53501 |
| 40.0 <> 40.5 |     18 |  16235 |
| 40.5 <> 41.0 |      3 |    192 |
| 41.0 <> 41.5 |      4 |    272 |
| 41.5 <> 42.0 |      7 |    750 |
| 42.0 <> 42.5 |     10 |   9190 |
| 42.5 <> 43.0 |     23 |  12356 |
| 43.0 <> 43.5 |      3 |    318 |
| 43.5 <> 44.0 |     20 |  12575 |
| 44.0 <> 44.5 |      0 |      0 |
| 44.5 <> 45.0 |      1 |     56 |
| 45.0 <> 45.5 |      0 |      0 |
| 45.5 <> 46.0 |      0 |      0 |
| 46.0 <> 46.5 |      0 |      0 |
| 46.5 <> 47.0 |      0 |      0 |
| 47.0 <> 47.5 |      0 |      0 |
| 47.5 <> 48.0 |      0 |      0 |
| 48.0 <> 48.5 |      0 |      0 |
| 48.5 <> 49.0 |      2 |    773 |
| 49.0 <> 49.5 |      1 |     76 |
| 49.5 <> 50.0 |     45 |  27619 |
| 50.0 <> 50.5 |     21 |  27566 |
| 50.5 <> 51.0 |      0 |      0 |
| 51.0 <> 51.5 |      0 |      0 |
| 51.5 <> 52.0 |      0 |      0 |
| 52.0 <> 52.5 |      0 |      0 |
| 52.5 <> 53.0 |      0 |      0 |
| 53.0 <> 53.5 |      0 |      0 |
| 53.5 <> 54.0 |      0 |      0 |
| 54.0 <> 54.5 |      0 |      0 |
| 54.5 <> 55.0 |      2 |    360 |
| 55.0 <> 55.5 |     11 |   6948 |
