
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==223.184.29.250 |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      3 |   208 |
|  0.5 <>  1.0 |      4 |  1134 |
|  1.0 <>  1.5 |      4 |   284 |
|  1.5 <>  2.0 |      0 |     0 |
|  2.0 <>  2.5 |      0 |     0 |
|  2.5 <>  3.0 |      0 |     0 |
|  3.0 <>  3.5 |      8 |   858 |
|  3.5 <>  4.0 |      3 |   701 |
|  4.0 <>  4.5 |      1 |    68 |
|  4.5 <>  5.0 |      0 |     0 |
|  5.0 <>  5.5 |      0 |     0 |
|  5.5 <>  6.0 |      0 |     0 |
|  6.0 <>  6.5 |      1 |    80 |
|  6.5 <>  7.0 |      1 |    76 |
|  7.0 <>  7.5 |      0 |     0 |
|  7.5 <>  8.0 |      0 |     0 |
|  8.0 <>  8.5 |      0 |     0 |
|  8.5 <>  9.0 |      3 |   576 |
|  9.0 <>  9.5 |      0 |     0 |
|  9.5 <> 10.0 |     12 |   672 |
| 10.0 <> 10.5 |      0 |     0 |
| 10.5 <> 11.0 |      0 |     0 |
| 11.0 <> 11.5 |      0 |     0 |
| 11.5 <> 12.0 |      1 |    56 |
| 12.0 <> 12.5 |     24 |  2561 |
| 12.5 <> 13.0 |     31 |  2994 |
| 13.0 <> 13.5 |     23 |  3681 |
| 13.5 <> 14.0 |      8 |  1143 |
| 14.0 <> 14.5 |      2 |   136 |
| 14.5 <> 15.0 |      0 |     0 |
| 15.0 <> 15.5 |      0 |     0 |
| 15.5 <> 16.0 |      0 |     0 |
| 16.0 <> 16.5 |      0 |     0 |
| 16.5 <> 17.0 |      1 |    76 |
| 17.0 <> 17.5 |      1 |    77 |
| 17.5 <> 18.0 |      2 |   705 |
| 18.0 <> 18.5 |      4 |   296 |
| 18.5 <> 19.0 |     25 |  2336 |
| 19.0 <> 19.5 |     48 |  3558 |
| 19.5 <> 20.0 |     11 |   930 |
| 20.0 <> 20.5 |      2 |   136 |
| 20.5 <> 21.0 |      3 |   204 |
| 21.0 <> 21.5 |      1 |    68 |
| 21.5 <> 22.0 |      0 |     0 |
| 22.0 <> 22.5 |      0 |     0 |
| 22.5 <> 23.0 |      0 |     0 |
| 23.0 <> 23.5 |      2 |   136 |
| 23.5 <> 24.0 |      0 |     0 |
| 24.0 <> 24.5 |      3 |   204 |
| 24.5 <> 25.0 |      2 |   136 |
| 25.0 <> 25.5 |      2 |   136 |
| 25.5 <> 26.0 |      1 |    76 |
| 26.0 <> 26.5 |      0 |     0 |
| 26.5 <> 27.0 |      0 |     0 |
| 27.0 <> 27.5 |      2 |   392 |
| 27.5 <> 28.0 |      1 |    80 |
| 28.0 <> 28.5 |      3 |   994 |
| 28.5 <> 29.0 |      7 |  1266 |
| 29.0 <> 29.5 |     95 | 13819 |
| 29.5 <> 30.0 |     41 |  4787 |
| 30.0 <> 30.5 |      1 |    68 |
| 30.5 <> 31.0 |     20 |  4528 |
| 31.0 <> 31.5 |     14 |  2001 |
| 31.5 <> 32.0 |      1 |   491 |
| 32.0 <> 32.5 |      1 |    68 |
| 32.5 <> 33.0 |      0 |     0 |
| 33.0 <> 33.5 |      0 |     0 |
| 33.5 <> 34.0 |      0 |     0 |
| 34.0 <> 34.5 |      6 |  1575 |
| 34.5 <> 35.0 |     53 | 17163 |
| 35.0 <> 35.5 |     16 |  1100 |
| 35.5 <> 36.0 |     27 |  4942 |
| 36.0 <> 36.5 |     24 |  6488 |
| 36.5 <> 37.0 |     27 |  4452 |
| 37.0 <> 37.5 |     15 |  2446 |
| 37.5 <> 38.0 |     15 |  3625 |
| 38.0 <> 38.5 |     19 |  1405 |
| 38.5 <> 39.0 |     31 |  9614 |
| 39.0 <> 39.5 |     35 |  2366 |
| 39.5 <> 40.0 |     57 |  5414 |
| 40.0 <> 40.5 |      9 |   612 |
| 40.5 <> 41.0 |      3 |   204 |
| 41.0 <> 41.5 |      3 |   204 |
| 41.5 <> 42.0 |      8 |   602 |
| 42.0 <> 42.5 |     17 |  5026 |
