
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: Frames and bytes        |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      6 |    567 |
|  0.5 <>  1.0 |      0 |      0 |
|  1.0 <>  1.5 |      0 |      0 |
|  1.5 <>  2.0 |      0 |      0 |
|  2.0 <>  2.5 |      0 |      0 |
|  2.5 <>  3.0 |      0 |      0 |
|  3.0 <>  3.5 |      2 |    310 |
|  3.5 <>  4.0 |      1 |     76 |
|  4.0 <>  4.5 |      1 |     76 |
|  4.5 <>  5.0 |      5 |    782 |
|  5.0 <>  5.5 |      0 |      0 |
|  5.5 <>  6.0 |      1 |     68 |
|  6.0 <>  6.5 |      9 |   1285 |
|  6.5 <>  7.0 |      6 |    854 |
|  7.0 <>  7.5 |      6 |    715 |
|  7.5 <>  8.0 |      0 |      0 |
|  8.0 <>  8.5 |      0 |      0 |
|  8.5 <>  9.0 |      2 |    136 |
|  9.0 <>  9.5 |      0 |      0 |
|  9.5 <> 10.0 |      0 |      0 |
| 10.0 <> 10.5 |      0 |      0 |
| 10.5 <> 11.0 |      5 |    340 |
| 11.0 <> 11.5 |      2 |    136 |
| 11.5 <> 12.0 |      0 |      0 |
| 12.0 <> 12.5 |      1 |     89 |
| 12.5 <> 13.0 |      0 |      0 |
| 13.0 <> 13.5 |      5 |   1703 |
| 13.5 <> 14.0 |     11 |   7588 |
| 14.0 <> 14.5 |     73 |  45716 |
| 14.5 <> 15.0 |     77 |  45873 |
| 15.0 <> 15.5 |    111 |  71026 |
| 15.5 <> 16.0 |     75 |  47987 |
| 16.0 <> 16.5 |    118 |  64086 |
| 16.5 <> 17.0 |     56 |  32950 |
| 17.0 <> 17.5 |    157 |  95260 |
| 17.5 <> 18.0 |    123 |  80975 |
| 18.0 <> 18.5 |     22 |  12204 |
| 18.5 <> 19.0 |      5 |    393 |
| 19.0 <> 19.5 |      0 |      0 |
| 19.5 <> 20.0 |     11 |   1500 |
| 20.0 <> 20.5 |     31 |   3056 |
| 20.5 <> 21.0 |     93 |  28257 |
| 21.0 <> 21.5 |     72 |  47208 |
| 21.5 <> 22.0 |    126 |  66345 |
| 22.0 <> 22.5 |     51 |  38499 |
| 22.5 <> 23.0 |      7 |   2063 |
| 23.0 <> 23.5 |      8 |   1802 |
| 23.5 <> 24.0 |      2 |    452 |
| 24.0 <> 24.5 |      0 |      0 |
| 24.5 <> 25.0 |     38 |   2584 |
| 25.0 <> 25.5 |      1 |     80 |
| 25.5 <> 26.0 |     11 |   2933 |
| 26.0 <> 26.5 |      4 |    272 |
| 26.5 <> 27.0 |      1 |     76 |
| 27.0 <> 27.5 |      4 |    431 |
| 27.5 <> 28.0 |      0 |      0 |
| 28.0 <> 28.5 |      0 |      0 |
| 28.5 <> 29.0 |      1 |     68 |
| 29.0 <> 29.5 |      1 |     76 |
| 29.5 <> 30.0 |      0 |      0 |
| 30.0 <> 30.5 |      5 |    514 |
| 30.5 <> 31.0 |     17 |   3624 |
| 31.0 <> 31.5 |     25 |   7985 |
| 31.5 <> 32.0 |     61 |  41551 |
| 32.0 <> 32.5 |     74 |  35500 |
| 32.5 <> 33.0 |    160 |  85798 |
| 33.0 <> 33.5 |    103 |  60260 |
| 33.5 <> 34.0 |     34 |  16221 |
| 34.0 <> 34.5 |    120 |  67912 |
| 34.5 <> 35.0 |     89 |  50878 |
| 35.0 <> 35.5 |     44 |   8085 |
| 35.5 <> 36.0 |     49 |  25463 |
| 36.0 <> 36.5 |     81 |  40012 |
| 36.5 <> 37.0 |     70 |  15564 |
| 37.0 <> 37.5 |     82 |  51759 |
| 37.5 <> 38.0 |     88 |  46526 |
| 38.0 <> 38.5 |     72 |  44404 |
| 38.5 <> 39.0 |    103 |  68590 |
| 39.0 <> 39.5 |     35 |  14744 |
| 39.5 <> 40.0 |     34 |   9474 |
| 40.0 <> 40.5 |     27 |   7529 |
| 40.5 <> 41.0 |     38 |  11482 |
| 41.0 <> 41.5 |     47 |  11507 |
| 41.5 <> 42.0 |     18 |   5670 |
| 42.0 <> 42.5 |     31 |   6440 |
| 42.5 <> 43.0 |     39 |  12536 |
| 43.0 <> 43.5 |     40 |  13228 |
| 43.5 <> 44.0 |    100 |  45689 |
| 44.0 <> 44.5 |     43 |  27273 |
| 44.5 <> 45.0 |    175 | 109924 |
| 45.0 <> 45.5 |     24 |   9857 |
| 45.5 <> 46.0 |     29 |  14511 |
| 46.0 <> 46.5 |     41 |  27586 |
| 46.5 <> 47.0 |     73 |  40833 |
| 47.0 <> 47.5 |    101 |  60241 |
| 47.5 <> 48.0 |     83 |  31828 |
| 48.0 <> 48.5 |     35 |   8124 |
| 48.5 <> 49.0 |     59 |  28699 |
| 49.0 <> 49.5 |    109 |  44380 |
| 49.5 <> 50.0 |    129 |  73485 |
| 50.0 <> 50.5 |     53 |  36823 |
| 50.5 <> 51.0 |      4 |   2141 |
| 51.0 <> 51.5 |      9 |   1869 |
| 51.5 <> 52.0 |     27 |  13217 |
| 52.0 <> 52.5 |     15 |   5264 |
| 52.5 <> 53.0 |      8 |    532 |
| 53.0 <> 53.5 |     26 |   3024 |
| 53.5 <> 54.0 |     31 |  10298 |
| 54.0 <> 54.5 |      6 |   2568 |
| 54.5 <> 55.0 |     18 |   8287 |
| 55.0 <> 55.5 |     11 |    806 |
| 55.5 <> 56.0 |      0 |      0 |
| 56.0 <> 56.5 |      0 |      0 |
| 56.5 <> 57.0 |      5 |    340 |
| 57.0 <> 57.5 |     10 |    680 |
| 57.5 <> 58.0 |      0 |      0 |
| 58.0 <> 58.5 |      0 |      0 |
| 58.5 <> 59.0 |      7 |   1191 |
| 59.0 <> 59.5 |      5 |    976 |
| 59.5 <> 60.0 |      7 |    668 |
| 60.0 <> 60.5 |      2 |    157 |
| 60.5 <> 61.0 |      7 |   2568 |
| 61.0 <> 61.9 |      5 |    696 |
==================================
