
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: Frames and bytes         |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |     28 |  6549 |
|   0.5 <>   1.0 |      0 |     0 |
|   1.0 <>   1.5 |      0 |     0 |
|   1.5 <>   2.0 |      0 |     0 |
|   2.0 <>   2.5 |      3 |   204 |
|   2.5 <>   3.0 |      2 |   310 |
|   3.0 <>   3.5 |      0 |     0 |
|   3.5 <>   4.0 |      0 |     0 |
|   4.0 <>   4.5 |      2 |   136 |
|   4.5 <>   5.0 |      0 |     0 |
|   5.0 <>   5.5 |      4 |   272 |
|   5.5 <>   6.0 |      0 |     0 |
|   6.0 <>   6.5 |      0 |     0 |
|   6.5 <>   7.0 |      0 |     0 |
|   7.0 <>   7.5 |      0 |     0 |
|   7.5 <>   8.0 |      0 |     0 |
|   8.0 <>   8.5 |      0 |     0 |
|   8.5 <>   9.0 |      2 |   152 |
|   9.0 <>   9.5 |      0 |     0 |
|   9.5 <>  10.0 |      1 |    76 |
|  10.0 <>  10.5 |     19 |  4349 |
|  10.5 <>  11.0 |     28 | 10909 |
|  11.0 <>  11.5 |     75 | 49343 |
|  11.5 <>  12.0 |     18 | 13536 |
|  12.0 <>  12.5 |      1 |    68 |
|  12.5 <>  13.0 |    104 | 49245 |
|  13.0 <>  13.5 |     37 | 22136 |
|  13.5 <>  14.0 |    137 | 84256 |
|  14.0 <>  14.5 |     50 | 32614 |
|  14.5 <>  15.0 |     73 | 38978 |
|  15.0 <>  15.5 |     38 | 31887 |
|  15.5 <>  16.0 |     61 | 47092 |
|  16.0 <>  16.5 |     18 |  8259 |
|  16.5 <>  17.0 |     36 | 21799 |
|  17.0 <>  17.5 |      1 |    68 |
|  17.5 <>  18.0 |     52 | 23780 |
|  18.0 <>  18.5 |    101 | 70576 |
|  18.5 <>  19.0 |     14 |  4489 |
|  19.0 <>  19.5 |     27 |  6564 |
|  19.5 <>  20.0 |      3 |  1116 |
|  20.0 <>  20.5 |      1 |   105 |
|  20.5 <>  21.0 |     53 |  3641 |
|  21.0 <>  21.5 |      0 |     0 |
|  21.5 <>  22.0 |      0 |     0 |
|  22.0 <>  22.5 |      0 |     0 |
|  22.5 <>  23.0 |      5 |   340 |
|  23.0 <>  23.5 |      4 |   272 |
|  23.5 <>  24.0 |      0 |     0 |
|  24.0 <>  24.5 |      0 |     0 |
|  24.5 <>  25.0 |      1 |    89 |
|  25.0 <>  25.5 |      4 |   433 |
|  25.5 <>  26.0 |      3 |  1132 |
|  26.0 <>  26.5 |      6 |  2264 |
|  26.5 <>  27.0 |      9 |  1680 |
|  27.0 <>  27.5 |      0 |     0 |
|  27.5 <>  28.0 |      0 |     0 |
|  28.0 <>  28.5 |      0 |     0 |
|  28.5 <>  29.0 |      1 |    68 |
|  29.0 <>  29.5 |      2 |   136 |
|  29.5 <>  30.0 |      0 |     0 |
|  30.0 <>  30.5 |      0 |     0 |
|  30.5 <>  31.0 |      2 |   136 |
|  31.0 <>  31.5 |      0 |     0 |
|  31.5 <>  32.0 |      4 |   272 |
|  32.0 <>  32.5 |      0 |     0 |
|  32.5 <>  33.0 |      0 |     0 |
|  33.0 <>  33.5 |      0 |     0 |
|  33.5 <>  34.0 |      0 |     0 |
|  34.0 <>  34.5 |      0 |     0 |
|  34.5 <>  35.0 |      0 |     0 |
|  35.0 <>  35.5 |      0 |     0 |
|  35.5 <>  36.0 |      0 |     0 |
|  36.0 <>  36.5 |      0 |     0 |
|  36.5 <>  37.0 |      0 |     0 |
|  37.0 <>  37.5 |      0 |     0 |
|  37.5 <>  38.0 |      0 |     0 |
|  38.0 <>  38.5 |      0 |     0 |
|  38.5 <>  39.0 |      1 |    89 |
|  39.0 <>  39.5 |      0 |     0 |
|  39.5 <>  40.0 |      0 |     0 |
|  40.0 <>  40.5 |      0 |     0 |
|  40.5 <>  41.0 |      0 |     0 |
|  41.0 <>  41.5 |      0 |     0 |
|  41.5 <>  42.0 |     13 |  3829 |
|  42.0 <>  42.5 |      6 |  1120 |
|  42.5 <>  43.0 |      3 |   560 |
|  43.0 <>  43.5 |      0 |     0 |
|  43.5 <>  44.0 |      1 |  1018 |
|  44.0 <>  44.5 |      1 |    68 |
|  44.5 <>  45.0 |      0 |     0 |
|  45.0 <>  45.5 |      0 |     0 |
|  45.5 <>  46.0 |      0 |     0 |
|  46.0 <>  46.5 |      2 |   136 |
|  46.5 <>  47.0 |      0 |     0 |
|  47.0 <>  47.5 |      0 |     0 |
|  47.5 <>  48.0 |     36 |  8373 |
|  48.0 <>  48.5 |      3 |   560 |
|  48.5 <>  49.0 |     39 | 20516 |
|  49.0 <>  49.5 |      2 |  1282 |
|  49.5 <>  50.0 |     27 | 14446 |
|  50.0 <>  50.5 |     19 | 11009 |
|  50.5 <>  51.0 |     35 | 23806 |
|  51.0 <>  51.5 |      4 |   931 |
|  51.5 <>  52.0 |     17 |  3265 |
|  52.0 <>  52.5 |      8 |  4925 |
|  52.5 <>  53.0 |     18 |  3503 |
|  53.0 <>  53.5 |     39 | 17492 |
|  53.5 <>  54.0 |     65 | 45728 |
|  54.0 <>  54.5 |     22 | 13314 |
|  54.5 <>  55.0 |     46 | 26343 |
|  55.0 <>  55.5 |     12 |  3924 |
|  55.5 <>  56.0 |     13 |  2142 |
|  56.0 <>  56.5 |      0 |     0 |
|  56.5 <>  57.0 |      0 |     0 |
|  57.0 <>  57.5 |      0 |     0 |
|  57.5 <>  58.0 |     24 |  1632 |
|  58.0 <>  58.5 |      0 |     0 |
|  58.5 <>  59.0 |      0 |     0 |
|  59.0 <>  59.5 |      0 |     0 |
|  59.5 <>  60.0 |      3 |   204 |
|  60.0 <>  60.5 |      1 |    76 |
|  60.5 <>  61.0 |      1 |    76 |
|  61.0 <>  61.5 |      0 |     0 |
|  61.5 <>  62.0 |      0 |     0 |
|  62.0 <>  62.5 |      5 |  1276 |
|  62.5 <>  63.0 |      4 |   636 |
|  63.0 <>  63.5 |      5 |   507 |
|  63.5 <>  64.0 |      2 |   148 |
|  64.0 <>  64.5 |      5 |  1840 |
|  64.5 <>  65.0 |      1 |    68 |
