
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: Frames and bytes         |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |     12 |  2031 |
|   0.5 <>   1.0 |     19 |  5532 |
|   1.0 <>   1.5 |     56 | 19638 |
|   1.5 <>   2.0 |    116 | 52901 |
|   2.0 <>   2.5 |     47 | 30588 |
|   2.5 <>   3.0 |     46 | 31692 |
|   3.0 <>   3.5 |     48 | 31381 |
|   3.5 <>   4.0 |     46 | 31868 |
|   4.0 <>   4.5 |     57 | 31355 |
|   4.5 <>   5.0 |     48 | 31656 |
|   5.0 <>   5.5 |     41 | 30418 |
|   5.5 <>   6.0 |     48 | 33111 |
|   6.0 <>   6.5 |    102 | 34977 |
|   6.5 <>   7.0 |     67 | 33727 |
|   7.0 <>   7.5 |     62 | 31435 |
|   7.5 <>   8.0 |     39 | 12880 |
|   8.0 <>   8.5 |      3 |   204 |
|   8.5 <>   9.0 |      6 |   408 |
|   9.0 <>   9.5 |      0 |     0 |
|   9.5 <>  10.0 |     14 |  2687 |
|  10.0 <>  10.5 |     53 | 28357 |
|  10.5 <>  11.0 |     27 |  1824 |
|  11.0 <>  11.5 |      0 |     0 |
|  11.5 <>  12.0 |      0 |     0 |
|  12.0 <>  12.5 |      2 |   112 |
|  12.5 <>  13.0 |      4 |   224 |
|  13.0 <>  13.5 |      0 |     0 |
|  13.5 <>  14.0 |      0 |     0 |
|  14.0 <>  14.5 |      1 |    56 |
|  14.5 <>  15.0 |      0 |     0 |
|  15.0 <>  15.5 |      1 |    56 |
|  15.5 <>  16.0 |      5 |   712 |
|  16.0 <>  16.5 |      0 |     0 |
|  16.5 <>  17.0 |      0 |     0 |
|  17.0 <>  17.5 |      0 |     0 |
|  17.5 <>  18.0 |      0 |     0 |
|  18.0 <>  18.5 |      0 |     0 |
|  18.5 <>  19.0 |      0 |     0 |
|  19.0 <>  19.5 |      0 |     0 |
|  19.5 <>  20.0 |      0 |     0 |
|  20.0 <>  20.5 |      0 |     0 |
|  20.5 <>  21.0 |      0 |     0 |
|  21.0 <>  21.5 |      0 |     0 |
|  21.5 <>  22.0 |      1 |    76 |
|  22.0 <>  22.5 |      3 |   363 |
|  22.5 <>  23.0 |      0 |     0 |
|  23.0 <>  23.5 |      1 |    68 |
|  23.5 <>  24.0 |      0 |     0 |
|  24.0 <>  24.5 |      0 |     0 |
|  24.5 <>  25.0 |      0 |     0 |
|  25.0 <>  25.5 |      6 |  1024 |
|  25.5 <>  26.0 |      4 |   799 |
|  26.0 <>  26.5 |      0 |     0 |
|  26.5 <>  27.0 |      0 |     0 |
|  27.0 <>  27.5 |      0 |     0 |
|  27.5 <>  28.0 |      3 |   204 |
|  28.0 <>  28.5 |      0 |     0 |
