
====================================
| IO Statistics                    |
|                                  |
| Interval size: 0.5 secs          |
| Col 1: Frames and bytes          |
|----------------------------------|
|                |1                |
| Interval
| Interval       | Frames |  Bytes |
|----------------------------------|
|   0.0 <>   0.5 |     21 |   3255 |
|   0.5 <>   1.0 |     39 |  18338 |
|   1.0 <>   1.5 |    140 |  72704 |
|   1.5 <>   2.0 |    168 | 117222 |
|   2.0 <>   2.5 |     37 |  18335 |
|   2.5 <>   3.0 |     51 |  27712 |
|   3.0 <>   3.5 |     52 |  29820 |
|   3.5 <>   4.0 |      0 |      0 |
|   4.0 <>   4.5 |     12 |    816 |
|   4.5 <>   5.0 |     18 |   1224 |
|   5.0 <>   5.5 |      0 |      0 |
|   5.5 <>   6.0 |      0 |      0 |
|   6.0 <>   6.5 |     10 |    668 |
|   6.5 <>   7.0 |      9 |    588 |
|   7.0 <>   7.5 |      0 |      0 |
|   7.5 <>   8.0 |      0 |      0 |
|   8.0 <>   8.5 |      3 |    672 |
|   8.5 <>   9.0 |      6 |   1280 |
|   9.0 <>   9.5 |      0 |      0 |
|   9.5 <>  10.0 |      0 |      0 |
|  10.0 <>  10.5 |      0 |      0 |
|  10.5 <>  11.0 |      3 |    204 |
|  11.0 <>  11.5 |      0 |      0 |
|  11.5 <>  12.0 |      0 |      0 |
|  12.0 <>  12.5 |      0 |      0 |
|  12.5 <>  13.0 |      0 |      0 |
|  13.0 <>  13.5 |      1 |     76 |
|  13.5 <>  14.0 |      3 |    363 |
|  14.0 <>  14.5 |      1 |     68 |
|  14.5 <>  15.0 |      0 |      0 |
|  15.0 <>  15.5 |      0 |      0 |
|  15.5 <>  16.0 |      0 |      0 |
|  16.0 <>  16.5 |      2 |    310 |
|  16.5 <>  17.0 |     24 |   4683 |
|  17.0 <>  17.5 |    139 |  83543 |
|  17.5 <>  18.0 |    241 | 141929 |
|  18.0 <>  18.5 |     89 |  61970 |
|  18.5 <>  19.0 |     14 |   2701 |
|  19.0 <>  19.5 |    236 | 134161 |
|  19.5 <>  20.0 |     54 |  12478 |
|  20.0 <>  20.5 |     79 |  30853 |
|  20.5 <>  21.0 |    188 |  99187 |
|  21.0 <>  21.5 |    172 | 109482 |
|  21.5 <>  22.0 |    143 |  97402 |
|  22.0 <>  22.5 |     34 |  12969 |
|  22.5 <>  23.0 |     23 |   4937 |
|  23.0 <>  23.5 |     56 |  14749 |
|  23.5 <>  24.0 |     67 |  16801 |
|  24.0 <>  24.5 |     45 |  16906 |
|  24.5 <>  25.0 |    203 | 125833 |
|  25.0 <>  25.5 |    220 | 120541 |
|  25.5 <>  26.0 |     85 |  42291 |
|  26.0 <>  26.5 |     40 |  17376 |
|  26.5 <>  27.0 |    101 |  48920 |
